Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
1187,exp,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,82.74042510986328,915828,1.1721104621818443,N/A,1.1630471871525905,1.1628384369117346,N/A,1.1628384369117346
2050,exp,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,82.88323974609375,1828500,1.1695274694623874,N/A,1.1649571316194067,1.164845501777413,N/A,1.164845501777413
2181,exp,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,83.21288299560547,3642513,1.1718527542792883,N/A,1.169576337951155,1.1694783244424933,N/A,1.1694783244424933
2194,exp,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,83.3443374633789,7273536,1.1725431007159028,N/A,1.1713985479742077,1.1713257485767583,N/A,1.1713257485767583
1078,exp,HiFi4,Float16_b,1,1,1,2,2,2,1,r,2,Float16_b,1,1,1,2,2,2,1,r,2,0,127,82.88291931152344,1828507,1.1695184082046923,N/A,1.1649500675835092,1.1648410424461049,N/A,1.1648410424461049
2035,exp,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,83.21212768554688,3642546,1.1718423573479282,N/A,1.1695656577340219,1.169467729439793,N/A,1.169467729439793
2157,exp,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,83.34434509277344,7273535,1.1725427754260829,N/A,1.171405041113613,1.1713259096161632,N/A,1.1713259096161632
1201,exp,HiFi4,Float16_b,1,1,1,2,2,4,1,r,2,Float16_b,1,1,1,2,2,4,1,r,2,0,127,83.21260833740234,3642525,1.1718488554084083,N/A,1.1695672759362008,1.169474471692027,N/A,1.169474471692027
1935,exp,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,83.34380340576172,7273582,1.1725362696675845,N/A,1.171391892581022,1.171318340811996,N/A,1.171318340811996
565,exp,HiFi4,Float16_b,1,1,1,2,2,8,1,r,2,Float16_b,1,1,1,2,2,8,1,r,2,0,127,83.34417724609375,7273550,1.1725413116241263,N/A,1.1713987103018155,1.171323494029738,N/A,1.171323494029738
