Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,1,8,r,2,Bfp8_b,1,1,1,2,7,1,8,r,2,0,127,51.79975128173828,5535162,2.9016902277090826,N/A,2.90094256305332,2.9007859209902076,N/A,2.9007859209902076
1,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,0,127,49.406185150146484,414523,2.7767217251047445,N/A,2.767133481021431,2.766746356655722,N/A,2.766746356655722
2,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,1,1,r,2,Bfp8_b,1,1,1,4,4,1,1,r,2,0,127,50.25717544555664,815008,2.8196941482277174,N/A,2.814724666933812,2.814401821822608,N/A,2.814401821822608
3,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,4,1,r,2,Bfp8_b,1,1,1,4,4,4,1,r,2,0,127,51.398895263671875,3187617,2.8798176830832665,N/A,2.878534626741266,2.8783382696227306,N/A,2.8783382696227306
4,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,4,1,r,2,Bfp8_b,1,1,1,4,7,4,1,r,2,0,127,51.43362808227539,5574563,2.8811263731841814,N/A,2.8803903083926645,2.880283171972404,N/A,2.880283171972404
5,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,2,4,1,r,2,Bfp8_b,1,1,1,4,2,4,1,r,2,0,127,51.31825637817383,1596313,2.876775358105341,N/A,2.8741922080677527,2.8738223644109895,N/A,2.8738223644109895
6,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,4,1,r,2,Bfp8_b,1,1,1,7,4,4,1,r,2,0,127,51.43360900878906,5574565,2.8811326258762056,N/A,2.8803934331380634,2.8802821386063306,N/A,2.8802821386063306
7,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,7,4,1,r,2,Bfp8_b,1,1,1,7,7,4,1,r,2,0,127,51.4533805847168,9751740,2.881874134464732,N/A,2.8814484965721157,2.8813893725632553,N/A,2.8813893725632553
8,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,2,4,1,r,2,Bfp8_b,1,1,1,7,2,4,1,r,2,0,127,51.38716125488281,2789802,2.8793720026272593,N/A,2.8778958017197773,2.8776809250262203,N/A,2.8776809250262203
9,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,4,1,r,2,Bfp8_b,1,1,1,2,4,4,1,r,2,0,127,51.317806243896484,1596327,2.8767571762820228,N/A,2.87417224397578,2.8737971606068182,N/A,2.8737971606068182
10,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,2,4,1,r,2,Bfp8_b,1,1,1,2,2,4,1,r,2,0,127,50.857852935791016,805382,2.8536713508118363,N/A,2.848727683293341,2.8480398121636687,N/A,2.8480398121636687
11,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,4,1,r,2,Bfp8_b,1,1,1,2,7,4,1,r,2,0,127,51.387142181396484,2789803,2.8793688800976294,N/A,2.8779113984648372,2.877679893526532,N/A,2.877679893526532
12,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,8,1,r,2,Bfp8_b,1,1,1,4,4,8,1,r,2,0,127,51.80570602416992,6325172,2.9019072679175646,N/A,2.9012663496529885,2.901119526868202,N/A,2.901119526868202
13,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,8,1,r,2,Bfp8_b,1,1,1,2,4,8,1,r,2,0,127,51.76385498046875,3165143,2.900366490128216,N/A,2.899065062217724,2.8987758215031674,N/A,2.8987758215031674
14,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,8,1,r,2,Bfp8_b,1,1,1,2,7,8,1,r,2,0,127,51.799720764160156,5535165,2.901683885469778,N/A,2.9009452042995716,2.9007843487953835,N/A,2.9007843487953835
15,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,8,1,r,2,Bfp8_b,1,1,1,4,7,8,1,r,2,0,127,51.82339096069336,11065274,2.902562549682913,N/A,2.9021910878871733,2.902109789599426,N/A,2.902109789599426
16,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,2,8,1,r,2,Bfp8_b,1,1,1,7,2,8,1,r,2,0,127,51.799495697021484,5535189,2.9016738436475795,N/A,2.900933582852041,2.900771771298144,N/A,2.900771771298144
17,gelu_derivative,LoFi,Bfp8_b,1,1,1,7,4,8,1,r,2,Bfp8_b,1,1,1,7,4,8,1,r,2,0,127,51.823360443115234,11065280,2.9025612275862183,N/A,2.9021879156692276,2.9021082159692297,N/A,2.9021082159692297
