Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
1192,abs,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,41.176971435546875,129315,8.302740759366356,N/A,8.247332558012472,8.235394192475738,N/A,8.235394192475738
2041,abs,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,54.975040435791016,193717,11.034943709923345,N/A,11.003629206521117,10.995008182038747,N/A,10.995008182038747
2172,abs,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,57.62583541870117,369612,11.550629106133648,N/A,11.533828718320967,11.525166931809574,N/A,11.525166931809574
2186,abs,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,56.93115997314453,748244,11.398874018137073,N/A,11.396507349719371,11.386232298555017,N/A,11.386232298555017
1086,abs,HiFi4,Float16_b,1,1,1,2,2,2,1,r,2,Float16_b,1,1,1,2,2,2,1,r,2,0,127,55.4112548828125,192192,11.12375578353397,N/A,11.091819489203573,11.082251082251082,N/A,11.082251082251082
2028,abs,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,56.78105926513672,375111,11.379891547255564,N/A,11.363461605676138,11.356211894612528,N/A,11.356211894612528
2147,abs,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,56.90500259399414,748588,11.393588787994377,N/A,11.386222233596758,11.380999962596247,N/A,11.380999962596247
1206,abs,HiFi4,Float16_b,1,1,1,2,2,4,1,r,2,Float16_b,1,1,1,2,2,4,1,r,2,0,127,57.37235641479492,371245,11.499873480060186,N/A,11.482253222673494,11.474471036646959,N/A,11.474471036646959
1926,abs,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,56.9412841796875,748111,11.401579985945489,N/A,11.399458152459014,11.388256555511147,N/A,11.388256555511147
571,abs,HiFi4,Float16_b,1,1,1,2,2,8,1,r,2,Float16_b,1,1,1,2,2,8,1,r,2,0,127,56.99018859863281,747469,11.40799641556745,N/A,11.409028026156847,11.398037911940161,N/A,11.398037911940161
1262,abs,HiFi4,Float16_b,1,1,1,2,4,1,1,r,2,Float16_b,1,1,1,2,4,1,1,r,2,0,127,43.71649169921875,243606,8.781732427434603,N/A,8.753469029334527,8.743298605124668,N/A,8.743298605124668
2085,abs,HiFi4,Float16_b,1,1,1,2,4,1,2,r,2,Float16_b,1,1,1,2,4,1,2,r,2,0,127,57.0540771484375,373316,11.433920103016089,N/A,11.417179687352274,11.410815502148314,N/A,11.410815502148314
1666,abs,HiFi4,Float16_b,1,1,1,2,4,1,4,r,2,Float16_b,1,1,1,2,4,1,4,r,2,0,127,58.05534744262695,733755,11.62428234517564,N/A,11.616055846422338,11.611069089818809,N/A,11.611069089818809
1543,abs,HiFi4,Float16_b,1,1,1,2,4,1,8,r,2,Float16_b,1,1,1,2,4,1,8,r,2,0,127,56.899375915527344,1497324,11.385440096976227,N/A,11.383262949237267,11.379875030387545,N/A,11.379875030387545
1072,abs,HiFi4,Float16_b,1,1,1,2,4,2,1,r,2,Float16_b,1,1,1,2,4,2,1,r,2,0,127,56.41021728515625,377577,11.30356178158614,N/A,11.286296416955507,11.28204313292388,N/A,11.28204313292388
2057,abs,HiFi4,Float16_b,1,1,1,2,4,2,2,r,2,Float16_b,1,1,1,2,4,2,2,r,2,0,127,58.06199264526367,733671,11.625689203927346,N/A,11.617460714491866,11.612398472884985,N/A,11.612398472884985
2117,abs,HiFi4,Float16_b,1,1,1,2,4,2,4,r,2,Float16_b,1,1,1,2,4,2,4,r,2,0,127,56.811500549316406,1499640,11.366655147328746,N/A,11.365715234588501,11.36230028540183,N/A,11.36230028540183
1136,abs,HiFi4,Float16_b,1,1,1,2,4,4,1,r,2,Float16_b,1,1,1,2,4,4,1,r,2,0,127,57.683658599853516,738483,11.549145678661503,N/A,11.540883336746536,11.536731380410924,N/A,11.536731380410924
1899,abs,HiFi4,Float16_b,1,1,1,2,4,4,2,r,2,Float16_b,1,1,1,2,4,4,2,r,2,0,127,56.81127166748047,1499646,11.3667010007073,N/A,11.364149058737015,11.362254825472144,N/A,11.362254825472144
623,abs,HiFi4,Float16_b,1,1,1,2,4,8,1,r,2,Float16_b,1,1,1,2,4,8,1,r,2,0,127,56.91925811767578,1496801,11.388615318702904,N/A,11.388891508639563,11.383851293525325,N/A,11.383851293525325
982,abs,HiFi4,Float16_b,1,1,1,2,8,1,1,r,2,Float16_b,1,1,1,2,8,1,1,r,2,0,127,43.6109619140625,488391,8.739242809585841,N/A,8.72742290180369,8.722191850382174,N/A,8.722191850382174
2099,abs,HiFi4,Float16_b,1,1,1,2,8,1,2,r,2,Float16_b,1,1,1,2,8,1,2,r,2,0,127,57.42200469970703,741848,11.49613559617082,N/A,11.487917676301631,11.484401117209995,N/A,11.484401117209995
1568,abs,HiFi4,Float16_b,1,1,1,2,8,1,4,r,2,Float16_b,1,1,1,2,8,1,4,r,2,0,127,58.07711410522461,1466960,11.622140736860485,N/A,11.61776408288586,11.61542237007144,N/A,11.61542237007144
1488,abs,HiFi4,Float16_b,1,1,1,2,8,1,8,r,2,Float16_b,1,1,1,2,8,1,8,r,2,0,127,56.76303482055664,3001841,11.35343425430096,N/A,11.355352122751052,11.352606617072656,N/A,11.352606617072656
923,abs,HiFi4,Float16_b,1,1,1,2,8,2,1,r,2,Float16_b,1,1,1,2,8,2,1,r,2,0,127,55.93453598022461,761576,11.195859193506944,N/A,11.187798286317808,11.186907150435413,N/A,11.186907150435413
2071,abs,HiFi4,Float16_b,1,1,1,2,8,2,2,r,2,Float16_b,1,1,1,2,8,2,2,r,2,0,127,58.080238342285156,1466881,11.622708026401996,N/A,11.618330945238759,11.616047927541498,N/A,11.616047927541498
2128,abs,HiFi4,Float16_b,1,1,1,2,8,2,4,r,2,Float16_b,1,1,1,2,8,2,4,r,2,0,127,56.89875030517578,2994681,11.381347134911413,N/A,11.382278140122029,11.379749629426307,N/A,11.379749629426307
938,abs,HiFi4,Float16_b,1,1,1,2,8,4,1,r,2,Float16_b,1,1,1,2,8,4,1,r,2,0,127,58.06863784790039,1467174,11.620471149596492,N/A,11.6161037340578,11.613728160395427,N/A,11.613728160395427
1523,abs,HiFi4,Float16_b,1,1,1,2,8,4,2,r,2,Float16_b,1,1,1,2,8,4,2,r,2,0,127,56.86954116821289,2996219,11.375106055580188,N/A,11.376579558045067,11.37390824902986,N/A,11.37390824902986
608,abs,HiFi4,Float16_b,1,1,1,2,8,8,1,r,2,Float16_b,1,1,1,2,8,8,1,r,2,0,127,56.8320198059082,2998197,11.367385024190481,N/A,11.368994141413054,11.366404542463354,N/A,11.366404542463354
1220,abs,HiFi4,Float16_b,1,1,1,4,2,1,1,r,2,Float16_b,1,1,1,4,2,1,1,r,2,0,127,43.19483184814453,246548,8.674671099891222,N/A,8.648507071765323,8.638966854324513,N/A,8.638966854324513
1696,abs,HiFi4,Float16_b,1,1,1,4,2,1,2,r,2,Float16_b,1,1,1,4,2,1,2,r,2,0,127,56.845314025878906,374687,11.391546684059877,N/A,11.374623901307396,11.369062711009455,N/A,11.369062711009455
1594,abs,HiFi4,Float16_b,1,1,1,4,2,1,4,r,2,Float16_b,1,1,1,4,2,1,4,r,2,0,127,58.059852600097656,733698,11.62538542150879,N/A,11.616885954665516,11.611971137988654,N/A,11.611971137988654
1451,abs,HiFi4,Float16_b,1,1,1,4,2,1,8,r,2,Float16_b,1,1,1,4,2,1,8,r,2,0,127,56.91606521606445,1496885,11.388853148125069,N/A,11.384819065025074,11.383212471231925,N/A,11.383212471231925
1024,abs,HiFi4,Float16_b,1,1,1,4,2,2,1,r,2,Float16_b,1,1,1,4,2,2,1,r,2,0,127,56.91549301147461,374225,11.405810633578186,N/A,11.388753411996756,11.383098403366958,N/A,11.383098403366958
1707,abs,HiFi4,Float16_b,1,1,1,4,2,2,2,r,2,Float16_b,1,1,1,4,2,2,2,r,2,0,127,58.061279296875,733680,11.62557728224185,N/A,11.616885954665516,11.612256024424818,N/A,11.612256024424818
1578,abs,HiFi4,Float16_b,1,1,1,4,2,2,4,r,2,Float16_b,1,1,1,4,2,2,4,r,2,0,127,56.84990310668945,1498627,11.37571071950046,N/A,11.375680102060727,11.369980655626783,N/A,11.369980655626783
1234,abs,HiFi4,Float16_b,1,1,1,4,2,4,1,r,2,Float16_b,1,1,1,4,2,4,1,r,2,0,127,58.05842971801758,733716,11.625033693278397,N/A,11.61647088571413,11.611686265530532,N/A,11.611686265530532
1640,abs,HiFi4,Float16_b,1,1,1,4,2,4,2,r,2,Float16_b,1,1,1,4,2,4,2,r,2,0,127,56.86770248413086,1498158,11.378489938464417,N/A,11.37476165550019,11.373540040503071,N/A,11.373540040503071
586,abs,HiFi4,Float16_b,1,1,1,4,2,8,1,r,2,Float16_b,1,1,1,4,2,8,1,r,2,0,127,56.995487213134766,1494799,11.403725685809086,N/A,11.400957192056802,11.399097805122963,N/A,11.399097805122963
1120,abs,HiFi4,Float16_b,1,1,1,4,4,1,1,r,2,Float16_b,1,1,1,4,4,1,1,r,2,0,127,45.00604248046875,473252,9.02232013252045,N/A,9.009261726368743,9.001208658389189,N/A,9.001208658389189
1603,abs,HiFi4,Float16_b,1,1,1,4,4,1,2,r,2,Float16_b,1,1,1,4,4,1,2,r,2,0,127,57.43268585205078,741710,11.498481264393302,N/A,11.48983830453552,11.486537865203381,N/A,11.486537865203381
1431,abs,HiFi4,Float16_b,1,1,1,4,4,1,4,r,2,Float16_b,1,1,1,4,4,1,4,r,2,0,127,58.07976531982422,1466893,11.622684055300807,N/A,11.618195212596348,11.61595290181356,N/A,11.61595290181356
1419,abs,HiFi4,Float16_b,1,1,1,4,4,1,8,r,2,Float16_b,1,1,1,4,4,1,8,r,2,0,127,56.924407958984375,2993331,11.385992182259494,N/A,11.386003684605575,11.384881925854508,N/A,11.384881925854508
1012,abs,HiFi4,Float16_b,1,1,1,4,4,2,1,r,2,Float16_b,1,1,1,4,4,2,1,r,2,0,127,57.42881774902344,741760,11.497730546423485,N/A,11.488901332492484,11.485763589301122,N/A,11.485763589301122
1621,abs,HiFi4,Float16_b,1,1,1,4,4,2,2,r,2,Float16_b,1,1,1,4,4,2,2,r,2,0,127,58.08122634887695,1466856,11.622939752144637,N/A,11.618610404783176,11.616245902801639,N/A,11.616245902801639
1478,abs,HiFi4,Float16_b,1,1,1,4,4,2,4,r,2,Float16_b,1,1,1,4,4,2,4,r,2,0,127,56.83755874633789,2997905,11.368630999152375,N/A,11.370167822935656,11.367511645632533,N/A,11.367511645632533
1106,abs,HiFi4,Float16_b,1,1,1,4,4,4,1,r,2,Float16_b,1,1,1,4,4,4,1,r,2,0,127,58.07976531982422,1466893,11.622580181671562,N/A,11.618306992189057,11.61595290181356,N/A,11.61595290181356
1551,abs,HiFi4,Float16_b,1,1,1,4,4,4,2,r,2,Float16_b,1,1,1,4,4,4,2,r,2,0,127,56.844364166259766,2997546,11.370412529739637,N/A,11.371632397324818,11.368873071505826,N/A,11.368873071505826
684,abs,HiFi4,Float16_b,1,1,1,4,4,8,1,r,2,Float16_b,1,1,1,4,4,8,1,r,2,0,127,56.942142486572266,2992399,11.389793055127473,N/A,11.391895939412091,11.388427813269553,N/A,11.388427813269553
908,abs,HiFi4,Float16_b,1,1,1,4,8,1,1,r,2,Float16_b,1,1,1,4,8,1,1,r,2,0,127,45.21566390991211,942116,9.054346731676803,N/A,9.04981018471928,9.043132692789422,N/A,9.043132692789422
760,abs,HiFi4,Float16_b,1,1,1,4,8,1,2,r,2,Float16_b,1,1,1,4,8,1,2,r,2,0,127,57.43899917602539,1483257,11.493744000304574,N/A,11.489244871164077,11.487800158704797,N/A,11.487800158704797
746,abs,HiFi4,Float16_b,1,1,1,4,8,1,4,r,2,Float16_b,1,1,1,4,8,1,4,r,2,0,127,58.091426849365234,2933197,11.621625430279659,N/A,11.619436885243367,11.618285440766508,N/A,11.618285440766508
878,abs,HiFi4,Float16_b,1,1,1,4,8,2,1,r,2,Float16_b,1,1,1,4,8,2,1,r,2,0,127,57.43354034423828,1483398,11.492806391176783,N/A,11.488222123313502,11.486708219911312,N/A,11.486708219911312
772,abs,HiFi4,Float16_b,1,1,1,4,8,2,2,r,2,Float16_b,1,1,1,4,8,2,2,r,2,0,127,58.09079360961914,2933229,11.621557525068209,N/A,11.61934504827465,11.61815869132618,N/A,11.61815869132618
833,abs,HiFi4,Float16_b,1,1,1,4,8,4,1,r,2,Float16_b,1,1,1,4,8,4,1,r,2,0,127,58.08693313598633,2933424,11.62077866910086,N/A,11.618582458223763,11.617386371693966,N/A,11.617386371693966
1178,abs,HiFi4,Float16_b,1,1,1,8,2,1,1,r,2,Float16_b,1,1,1,8,2,1,1,r,2,0,127,44.76399230957031,475811,8.972826086956522,N/A,8.960765274320824,8.952798485112787,N/A,8.952798485112787
1741,abs,HiFi4,Float16_b,1,1,1,8,2,1,2,r,2,Float16_b,1,1,1,8,2,1,2,r,2,0,127,57.39763259887695,742163,11.49127529186582,N/A,11.482752343926167,11.479526734693053,N/A,11.479526734693053
1680,abs,HiFi4,Float16_b,1,1,1,8,2,1,4,r,2,Float16_b,1,1,1,8,2,1,4,r,2,0,127,58.074378967285156,1467029,11.621637413634643,N/A,11.617332985171034,11.614876052211647,N/A,11.614876052211647
1469,abs,HiFi4,Float16_b,1,1,1,8,2,1,8,r,2,Float16_b,1,1,1,8,2,1,8,r,2,0,127,56.844932556152344,2997516,11.37055782938823,N/A,11.3698466612394,11.368986854448817,N/A,11.368986854448817
1054,abs,HiFi4,Float16_b,1,1,1,8,2,2,1,r,2,Float16_b,1,1,1,8,2,2,1,r,2,0,127,57.37050247192383,742514,11.48566995166929,N/A,11.477233229058047,11.474100151646972,N/A,11.474100151646972
1735,abs,HiFi4,Float16_b,1,1,1,8,2,2,2,r,2,Float16_b,1,1,1,8,2,2,2,r,2,0,127,58.081825256347656,1466841,11.623107559312688,N/A,11.61853854247345,11.616364691196933,N/A,11.616364691196933
1729,abs,HiFi4,Float16_b,1,1,1,8,2,2,4,r,2,Float16_b,1,1,1,8,2,2,4,r,2,0,127,56.792266845703125,3000296,11.359991237892888,N/A,11.362274035529285,11.358452632673576,N/A,11.358452632673576
