Test-ID,quant_type,zero_point,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,dequantization,1,HiFi4,Int32,1,1,1,4,4,1,1,r,2,Float32,1,1,1,4,4,1,1,r,2,Float32,1,1,1,4,4,1,1,r,2,0,127,26.036277770996094,1510262,5.598296770404383,5.598296770404383,5.596466553688902,5.597799587091512,5.597799587091512,5.597799587091512
1,dequantization,1,HiFi4,Int32,1,1,1,2,2,1,1,r,2,Float32,1,1,1,2,2,1,1,r,2,Float32,1,1,1,2,2,1,1,r,2,0,127,23.731285095214844,414238,5.102906214183338,5.102906214183338,5.09929529858622,5.102226256403323,5.102226256403323,5.102226256403323
2,dequantization,1,HiFi4,Int32,1,1,1,2,4,1,1,r,2,Float32,1,1,1,2,4,1,1,r,2,Float32,1,1,1,2,4,1,1,r,2,0,127,26.36117935180664,745824,5.670253008822996,5.670253008822996,5.669432860435409,5.667653494658257,5.667653494658257,5.667653494658257
3,dequantization,1,HiFi4,Int32,1,1,1,4,4,4,1,r,2,Float32,1,1,1,4,4,4,1,r,2,Float32,1,1,1,4,4,4,1,r,2,0,127,28.008703231811523,5615626,6.022328237184256,6.022328237184256,6.021745661689882,6.021871114636196,6.021871114636196,6.021871114636196
4,dequantization,1,HiFi4,Int32,1,1,1,4,2,4,1,r,2,Float32,1,1,1,4,2,4,1,r,2,Float32,1,1,1,4,2,4,1,r,2,0,127,27.96704864501953,2811995,6.0139334101437,6.0139334101437,6.0126574021574495,6.01291538569592,6.01291538569592,6.01291538569592
5,dequantization,1,HiFi4,Int32,1,1,1,4,4,2,2,r,2,Float32,1,1,1,4,4,2,2,r,2,Float32,1,1,1,4,4,2,2,r,2,0,127,28.00108528137207,5617154,6.020589491363625,6.020589491363625,6.020142269807373,6.020233021918217,6.020233021918217,6.020233021918217
6,dequantization,1,HiFi4,Int32,1,1,1,4,2,2,2,r,2,Float32,1,1,1,4,2,2,2,r,2,Float32,1,1,1,4,2,2,2,r,2,0,127,27.970958709716797,2811602,6.014627682458827,6.014627682458827,6.013920474913607,6.0137558587595255,6.0137558587595255,6.0137558587595255
7,dequantization,1,HiFi4,Int32,1,1,1,2,2,2,2,r,2,Float32,1,1,1,2,2,2,2,r,2,Float32,1,1,1,2,2,2,2,r,2,0,127,27.527151107788086,1428466,5.919586847489109,5.919586847489109,5.917799405263733,5.91833757331291,5.91833757331291,5.91833757331291
8,dequantization,1,HiFi4,Int32,1,1,1,2,4,2,2,r,2,Float32,1,1,1,2,4,2,2,r,2,Float32,1,1,1,2,4,2,2,r,2,0,127,27.972370147705078,2811460,6.015024481471814,6.015024481471814,6.014252496768129,6.014059598927248,6.014059598927248,6.014059598927248
9,dequantization,1,HiFi4,Int32,1,1,1,2,4,2,1,r,2,Float32,1,1,1,2,4,2,1,r,2,Float32,1,1,1,2,4,2,1,r,2,0,127,27.446914672851562,1432642,5.9025623920725865,5.9025623920725865,5.900934655705368,5.901086244853913,5.901086244853913,5.901086244853913
10,dequantization,1,HiFi4,Int32,1,1,1,4,4,2,1,r,2,Float32,1,1,1,4,4,2,1,r,2,Float32,1,1,1,4,4,2,1,r,2,0,127,27.549243927001953,2854641,5.923683658574307,5.923683658574307,5.9224686555098,5.923087351439288,5.923087351439288,5.923087351439288
11,dequantization,1,HiFi4,Int32,1,1,1,4,2,2,1,r,2,Float32,1,1,1,4,2,2,1,r,2,Float32,1,1,1,4,2,2,1,r,2,0,127,27.15250015258789,1448176,5.838946328668773,5.838946328668773,5.837073201961257,5.837787672216637,5.837787672216637,5.837787672216637
