Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
1184,lrelu,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,49.10997009277344,179320,5.981782465198168,N/A,5.942623181314572,5.938880214142316,N/A,5.938880214142316
2053,lrelu,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,50.936729431152344,345778,6.184407291541683,N/A,6.162998909296642,6.159790385738827,N/A,6.159790385738827
2184,lrelu,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,52.349639892578125,672891,6.3444238462289,N/A,6.333111069488668,6.330653850326427,N/A,6.330653850326427
2197,lrelu,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,52.95195770263672,1330474,6.4113489808579995,N/A,6.405640338972005,6.40349228921422,N/A,6.40349228921422
1079,lrelu,HiFi4,Float16_b,1,1,1,2,2,2,1,r,2,Float16_b,1,1,1,2,2,2,1,r,2,0,127,50.8833122253418,346141,6.177808440229657,N/A,6.156409770876728,6.153330579157049,N/A,6.153330579157049
2038,lrelu,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,52.35002517700195,672886,6.344347659011728,N/A,6.333224946543336,6.330700891384276,N/A,6.330700891384276
2159,lrelu,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,52.9522705078125,1330466,6.411344118113288,N/A,6.405790819380936,6.403530792970282,N/A,6.403530792970282
1198,lrelu,HiFi4,Float16_b,1,1,1,2,2,4,1,r,2,Float16_b,1,1,1,2,2,4,1,r,2,0,127,52.349327087402344,672895,6.344338135738238,N/A,6.333272396524804,6.330616217983489,N/A,6.330616217983489
1934,lrelu,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,52.950645446777344,1330507,6.4112954910718685,N/A,6.4056209226600265,6.4033334661147965,N/A,6.4033334661147965
562,lrelu,HiFi4,Float16_b,1,1,1,2,2,8,1,r,2,Float16_b,1,1,1,2,2,8,1,r,2,0,127,52.95207595825195,1330471,6.411310079106843,N/A,6.405732568061363,6.403506728068481,N/A,6.403506728068481
1254,lrelu,HiFi4,Float16_b,1,1,1,2,4,1,1,r,2,Float16_b,1,1,1,2,4,1,1,r,2,0,127,50.610618591308594,348006,6.143595140429268,N/A,6.122787193973634,6.12035424676586,N/A,6.12035424676586
2097,lrelu,HiFi4,Float16_b,1,1,1,2,4,1,2,r,2,Float16_b,1,1,1,2,4,1,2,r,2,0,127,51.39774703979492,685353,6.228067978032245,N/A,6.217257443613004,6.215541480083986,N/A,6.215541480083986
2165,lrelu,HiFi4,Float16_b,1,1,1,2,4,1,4,r,2,Float16_b,1,1,1,2,4,1,4,r,2,0,127,52.49411392211914,1342078,6.355003037246871,N/A,6.349461020811785,6.3481258168303185,N/A,6.3481258168303185
2170,lrelu,HiFi4,Float16_b,1,1,1,2,4,1,8,r,2,Float16_b,1,1,1,2,4,1,8,r,2,0,127,53.02935791015625,2657064,6.41676335702864,N/A,6.413985674396018,6.412852682509717,N/A,6.412852682509717
1065,lrelu,HiFi4,Float16_b,1,1,1,2,4,2,1,r,2,Float16_b,1,1,1,2,4,2,1,r,2,0,127,51.45608139038086,684576,6.235206991476041,N/A,6.224206688147594,6.222596176319357,N/A,6.222596176319357
2069,lrelu,HiFi4,Float16_b,1,1,1,2,4,2,2,r,2,Float16_b,1,1,1,2,4,2,2,r,2,0,127,52.49407958984375,1342079,6.355026925595442,N/A,6.349437174288938,6.348121086761658,N/A,6.348121086761658
2126,lrelu,HiFi4,Float16_b,1,1,1,2,4,2,4,r,2,Float16_b,1,1,1,2,4,2,4,r,2,0,127,53.029579162597656,2657053,6.416780405451567,N/A,6.413946740641371,6.412879231238518,N/A,6.412879231238518
1129,lrelu,HiFi4,Float16_b,1,1,1,2,4,4,1,r,2,Float16_b,1,1,1,2,4,4,1,r,2,0,127,52.494388580322266,1342071,6.3550317032867065,N/A,6.349489636875642,6.348158927508306,N/A,6.348158927508306
1915,lrelu,HiFi4,Float16_b,1,1,1,2,4,4,2,r,2,Float16_b,1,1,1,2,4,4,2,r,2,0,127,53.029239654541016,2657070,6.416773098973506,N/A,6.413932140605237,6.412838201477568,N/A,6.412838201477568
613,lrelu,HiFi4,Float16_b,1,1,1,2,4,8,1,r,2,Float16_b,1,1,1,2,4,8,1,r,2,0,127,53.02922058105469,2657071,6.416765792512083,N/A,6.413980807650838,6.412835787978567,N/A,6.412835787978567
975,lrelu,HiFi4,Float16_b,1,1,1,2,8,1,1,r,2,Float16_b,1,1,1,2,8,1,1,r,2,0,127,50.9086799621582,691937,6.168161559319461,N/A,6.157638554006232,6.156398631667334,N/A,6.156398631667334
2111,lrelu,HiFi4,Float16_b,1,1,1,2,8,1,2,r,2,Float16_b,1,1,1,2,8,1,2,r,2,0,127,51.59241485595703,1365534,6.245406333533802,N/A,6.239933977076522,6.239083025395193,N/A,6.239083025395193
