test_id,input0_df,input1_df,output_df,math_fidelity,output_t,output_mb_r,output_mb_c,output_ub_r,output_ub_c,mblock_k,ublock_kt,nz_strips,nz_ublocks,nz_tiles,runtime
134,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,2,4,23,103,16752
135,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,2,4,23,103,13588
136,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,2,4,23,103,17000
137,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,2,4,23,103,13354
138,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,2,4,23,103,17440
139,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,2,4,23,103,13633
140,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,2,4,11,55,33523
141,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,2,4,11,55,27271
142,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,2,2,4,11,55,35080
143,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,2,2,4,11,55,28501
144,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,2,4,11,55,45725
145,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,2,4,11,55,44447
146,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,2,4,23,103,48372
147,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,2,4,23,103,49633
148,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,2,4,11,55,27136
149,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,2,2,4,11,55,28338
150,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,4,4,11,123,14592
151,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,4,4,11,123,14566
152,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,23,243,26772
153,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,23,103,17484
154,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,23,243,26822
155,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,23,103,17188
156,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,23,243,18559
157,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,23,103,13347
158,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,23,243,18544
159,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,23,103,13346
160,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,11,123,19960
161,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,11,123,19884
162,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,11,55,15494
163,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,11,55,15498
164,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,11,123,13983
165,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,11,123,13984
166,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,11,55,12084
167,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,11,55,12126
168,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,11,123,19583
169,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,11,55,15833
170,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,11,123,14841
171,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,11,55,12412
172,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,23,103,13591
173,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,23,103,17681
174,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,23,243,20497
175,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,23,243,27038
176,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,23,103,13300
177,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,23,103,13308
178,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,23,243,19410
179,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,23,243,19399
180,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,23,103,13539
181,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,23,243,19995
182,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,11,55,12373
183,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,11,123,14666
184,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,11,55,12044
185,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,11,55,12067
186,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,11,123,14030
187,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,11,123,14009
188,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,23,103,16392
189,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,23,103,16382
190,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,23,243,19737
191,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,23,243,19750
192,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,11,55,14741
193,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,11,123,16388
194,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,11,55,14768
195,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,11,123,16389
196,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,23,103,16781
197,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,23,243,21840
198,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,11,55,15201
199,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,11,123,17415
200,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,23,103,48425
201,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,23,103,48379
202,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,11,55,44460
203,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,11,55,44445
204,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,23,243,71940
205,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,11,123,55308
206,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,23,243,71826
207,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,23,243,73917
208,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,11,123,57062
209,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,23,103,49638
210,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,11,55,45648
211,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,11,123,55214
212,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,4,4,11,55,10039
213,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,4,4,11,55,10020
214,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,2,4,4,11,55,10474
215,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,2,4,4,11,123,14938
216,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,2,4,4,11,55,28334
217,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,2,4,4,11,123,40293
218,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,2,4,4,11,55,8046
219,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,2,4,4,11,123,11022
220,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,2,4,4,11,55,35063
221,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,2,4,4,11,55,9715
222,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,2,4,4,11,123,44057
223,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,2,4,4,11,123,11942
224,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,2,4,4,11,55,28535
225,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,2,4,4,11,123,39785
226,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,2,4,4,11,55,7881
227,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,2,4,4,11,123,10854
228,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,4,4,11,55,7718
229,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,4,4,11,55,7776
230,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,4,4,11,123,10447
231,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,4,4,11,123,10455
232,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,4,4,11,123,10414
233,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,4,4,11,123,10405
234,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,4,4,11,55,7716
235,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,4,4,11,55,7710
236,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,4,4,11,123,38365
237,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,4,4,11,55,27147
238,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,4,4,11,123,37264
239,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,4,4,11,123,37232
240,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,4,4,11,55,27241
241,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,4,4,11,55,27184
242,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,4,4,11,123,40992
243,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,4,4,11,55,33507
244,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,4,4,11,55,9371
245,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,4,4,11,123,11148
246,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,7,4,4,11,123,11100
247,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,7,4,4,11,55,9353
248,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,16,2,3,9,47,11922
249,Bfp2,Float16,Float16,HiFi2,1,7,1,4,2,16,2,2,7,39,7775
250,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,16,2,3,19,87,13714
251,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,16,2,5,27,119,21919
252,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,16,2,5,13,63,16145
253,Bfp2,Bfp8,Bfp8,LoFi,2,7,1,4,2,16,2,5,13,63,14642
254,Bfp2,Bfp8,Bfp8,LoFi,2,7,1,4,2,16,2,5,27,119,19105
255,Bfp2,Float16,Float16,HiFi2,2,4,1,4,2,16,2,5,13,63,11836
256,Bfp2,Bfp8,Bfp8,LoFi,2,4,1,4,2,16,2,5,13,63,10195
257,Bfp2,Float16,Float16,HiFi2,2,4,1,4,2,16,4,5,13,143,17580
258,Bfp2,Bfp8,Bfp8,LoFi,2,4,1,4,2,16,4,5,13,143,14688
259,Bfp2,Bfp8,Bfp8,LoFi,2,4,1,4,2,16,4,5,13,63,10324
260,Bfp2,Bfp8,Bfp8,LoFi,1,4,1,4,2,16,4,2,7,39,4989
261,Bfp2,Bfp8,Bfp8,LoFi,1,4,1,4,2,16,4,4,11,55,9112
262,Bfp2,Bfp8,Bfp8,LoFi,1,4,1,4,2,16,2,2,7,39,4961
263,Bfp2,Bfp8,Bfp8,LoFi,1,4,1,4,2,16,2,4,11,55,9116
264,Bfp2,Bfp8,Bfp8,LoFi,2,4,1,4,2,16,2,3,9,47,7251
265,Bfp2,Bfp8,Bfp8,LoFi,2,4,1,4,2,16,4,3,9,47,7297
266,Bfp2,Bfp8,Bfp8,LoFi,1,4,1,4,2,16,4,2,7,83,7598
267,Bfp2,Bfp8,Bfp8,LoFi,2,4,1,4,2,16,4,3,9,103,9409
268,Bfp2,Bfp8,Bfp8,LoFi,1,4,1,4,2,16,4,4,11,123,13151
269,Bfp2,Float16,Float16,HiFi2,2,4,1,4,2,16,4,5,13,63,11991
270,Bfp2,Float16,Float16,HiFi2,3,7,4,2,1,7,4,6,31,135,59705
271,Bfp2,Float16,Float16,HiFi2,2,7,4,2,1,7,4,5,27,119,53071
272,Bfp2,Float16,Float16,HiFi2,3,7,4,2,1,2,4,4,23,103,45157
273,Bfp2,Float16,Float16,HiFi2,3,7,4,2,1,7,4,6,15,71,50945
274,Bfp2,Bfp8,Bfp8,LoFi,2,7,4,4,1,7,4,5,27,283,95996
275,Bfp2,Float16,Float16,HiFi2,2,7,1,4,1,7,4,5,27,283,25000
276,Bfp2,Float16,Float16,HiFi2,3,7,1,2,1,7,4,6,31,135,16389
277,Bfp2,Float16,Float16,HiFi2,3,7,1,2,1,7,4,6,15,71,13927
278,Bfp2,Float16,Float16,HiFi2,2,7,4,2,1,7,4,5,13,63,41456
279,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,2,1,7,4,6,15,71,50736
280,Bfp2,Bfp8,Bfp8,LoFi,2,7,4,4,1,7,4,5,13,143,63251
281,Bfp2,Bfp8,Bfp8,LoFi,2,7,4,4,1,7,4,5,27,119,58613
282,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,7,4,5,27,283,33602
283,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,16,4,5,13,143,21556
284,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,16,4,5,13,63,16269
285,Bfp2,Float16,Float16,HiFi2,2,7,1,4,2,7,4,5,13,143,21684
286,Bfp2,Bfp8,Bfp8,LoFi,2,7,1,4,1,7,4,5,27,283,25803
287,Bfp2,Bfp8,Bfp8,LoFi,2,7,1,4,1,16,4,5,27,283,25750
288,Bfp2,Float16,Float16,HiFi2,3,4,1,2,2,16,4,6,15,71,11368
289,Bfp2,Float16,Float16,HiFi2,3,4,1,2,2,7,4,6,15,71,11506
290,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,2,1,16,4,6,15,71,50778
292,Bfp2,Bfp8,Bfp8,LoFi,2,7,4,4,1,16,2,5,13,63,45297
293,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,2,2,7,4,6,15,71,56693
294,Bfp2,Bfp8,Bfp8,LoFi,2,4,4,4,2,16,2,5,13,63,36762
295,Bfp2,Bfp8,Bfp8,LoFi,2,4,1,4,1,16,2,5,13,63,8804
