input0_df,input1_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,m_k,u_kt,math_utilization,runtime,tile_runtime
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,32,1,25.6323184967041,32459,2028
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,32,2,43.62374496459961,37850,2365
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,16,1,25.44610595703125,16599,1037
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,1,25.129695892333984,8659,541
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,1,24.47414779663086,4707,294
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,1,15.787546157836914,1621,101
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,1,23.47943878173828,2725,170
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,2,42.26915740966797,9993,624
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,4,50.13815689086914,16594,1037
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,8,58.32334899902344,28311,1769
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,16,2,43.088924407958984,19308,1206
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,2,38.055519104003906,3027,189
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,2,31.790599822998047,1610,100
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,2,40.76492691040039,5337,333
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,16,60.999900817871094,13639,852
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,4,50.63022232055664,4297,268
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,8,56.433929443359375,7484,467
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,16,61.56610107421875,26819,1676
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,16,61.816280364990234,6626,414
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,4,60.54105758666992,1691,105
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,8,67.15889739990234,3049,190
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,16,4,50.57851791381836,32646,2040
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,4,49.776100158691406,8486,530
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,8,57.696388244628906,14420,901
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,32,1,29.302820205688477,56786,1774
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,16,1,29.340177536010742,28793,899
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,8,1,29.43824005126953,14783,461
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,1,29.64273452758789,7772,242
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,1,24.377779006958008,2100,65
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,1,30.56482696533203,4187,130
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,8,2,50.52213668823242,16721,522
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,8,4,67.30970001220703,24721,772
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,16,2,51.20642852783203,32495,1015
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,2,46.675994873046875,4936,154
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,2,47.3681755065918,2161,67
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,2,49.23768997192383,8838,276
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,16,71.30014038085938,23337,729
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,4,61.375057220458984,7090,221
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,8,68.18943786621094,12389,387
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,4,65.35107421875,12927,403
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,8,70.97171783447266,23445,732
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,4,71.3722915649414,2869,89
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,8,76.66352081298828,5342,166
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,16,75.91011810302734,10791,337
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,1,1,24.389480590820312,2099,65
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,32,1,28.63316535949707,58114,1816
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,16,1,28.736940383911133,29397,918
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,8,1,28.936620712280273,15039,469
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,4,1,29.376279830932617,7843,245
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,2,1,30.41435432434082,4208,131
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,8,4,56.06809997558594,29678,927
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,8,2,46.51262283325195,18162,567
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,16,2,47.06611251831055,35354,1104
Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,2,2,46.469913482666016,4958,154
