input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,1,1,2,1,381
Bfp8_b,LoFi,1,1,1,2,8,1406
Bfp8_b,LoFi,1,1,1,8,1,554
Bfp8_b,LoFi,1,1,1,8,8,3630
Bfp8_b,LoFi,1,1,1,16,1,1200
Bfp8_b,LoFi,1,1,1,16,8,7266
Bfp8_b,LoFi,1,1,4,2,1,978
Bfp8_b,LoFi,1,1,4,2,8,5112
Bfp8_b,LoFi,1,1,4,8,1,1931
Bfp8_b,LoFi,1,1,4,8,8,14600
Bfp8_b,LoFi,1,1,4,16,1,4392
Bfp8_b,LoFi,1,1,4,16,8,29282
Bfp8_b,LoFi,1,4,1,2,1,589
Bfp8_b,LoFi,1,4,1,2,8,4530
Bfp8_b,LoFi,1,4,1,8,1,1899
Bfp8_b,LoFi,1,4,1,8,8,14501
Bfp8_b,LoFi,1,4,1,16,1,4393
Bfp8_b,LoFi,1,4,1,16,8,29243
Bfp8_b,LoFi,1,4,4,2,1,2100
Bfp8_b,LoFi,1,4,4,2,8,18188
Bfp8_b,LoFi,1,4,4,8,1,7287
Bfp8_b,LoFi,1,4,4,16,1,17561
Bfp8_b,LoFi,1,8,1,2,1,1006
Bfp8_b,LoFi,1,8,1,2,8,8893
Bfp8_b,LoFi,1,8,1,8,1,3639
Bfp8_b,LoFi,1,8,1,8,8,28904
Bfp8_b,LoFi,1,8,1,16,1,8737
Bfp8_b,LoFi,1,8,4,2,1,4133
Bfp8_b,LoFi,1,8,4,2,8,35599
Bfp8_b,LoFi,1,8,4,8,1,14569
Bfp8_b,LoFi,1,8,4,16,1,35082
