Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
1197,log,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,88.9425048828125,373023,2.877269991858119,N/A,2.8563241694374613,2.854944601271235,N/A,2.854944601271235
2054,log,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,89.45292663574219,741789,2.8828356905884407,N/A,2.872225333123121,2.8713286392761286,N/A,2.8713286392761286
2185,log,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,89.713623046875,1479267,2.885606921261907,N/A,2.8802856733973465,2.879696498333296,N/A,2.879696498333296
2198,log,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,89.84356689453125,2954255,2.886991577535952,N/A,2.8843535000909344,2.883867506359471,N/A,2.883867506359471
1091,log,HiFi4,Float16_b,1,1,1,2,2,2,1,r,2,Float16_b,1,1,1,2,2,2,1,r,2,0,127,89.45329284667969,741786,2.882890748415507,N/A,2.872209718280762,2.8713402517707265,N/A,2.8713402517707265
2039,log,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,89.71410369873047,1479259,2.885616771773586,N/A,2.8803033390327526,2.879712072057699,N/A,2.879712072057699
2160,log,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,89.84161376953125,2954319,2.8869353770073016,N/A,2.884290513163035,2.8838050325641884,N/A,2.8838050325641884
1211,log,HiFi4,Float16_b,1,1,1,2,2,4,1,r,2,Float16_b,1,1,1,2,2,4,1,r,2,0,127,89.71513366699219,1479242,2.885656174492841,N/A,2.88034652260936,2.879745166781365,N/A,2.879745166781365
1936,log,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,89.84292602539062,2954276,2.8869846755987854,N/A,2.88431019628249,2.8838470068470246,N/A,2.8838470068470246
564,log,HiFi4,Float16_b,1,1,1,2,2,8,1,r,2,Float16_b,1,1,1,2,2,8,1,r,2,0,127,89.84268188476562,2954284,2.8869718578030295,N/A,2.884304291318446,2.883839197585608,N/A,2.883839197585608
1267,log,HiFi4,Float16_b,1,1,1,2,4,1,1,r,2,Float16_b,1,1,1,2,4,1,1,r,2,0,127,88.9620590209961,745882,2.8666849343313627,N/A,2.856250819390738,2.8555723291351716,N/A,2.8555723291351716
2098,log,HiFi4,Float16_b,1,1,1,2,4,1,2,r,2,Float16_b,1,1,1,2,4,1,2,r,2,0,127,89.47006225585938,1483294,2.877628483794208,N/A,2.872313169774982,2.8718784003710662,N/A,2.8718784003710662
2166,log,HiFi4,Float16_b,1,1,1,2,4,1,4,r,2,Float16_b,1,1,1,2,4,1,4,r,2,0,127,89.72953796386719,2958009,2.8831700026331193,N/A,2.8805192698653506,2.880207599097907,N/A,2.880207599097907
