Test-ID,quant_type,zero_point,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,requantization,1,HiFi4,Int8,1,1,1,4,4,1,1,r,2,Float32,1,1,1,4,4,1,1,r,2,Int8,1,1,1,4,4,1,1,r,2,0,127,35.43666458129883,1155865,1.871182822516017,7.314623760744429,1.8710147707653941,1.8710558759024627,7.314127514891445,1.8710558759024627
1,requantization,1,HiFi4,Int8,1,1,1,2,2,1,1,r,2,Float32,1,1,1,2,2,1,1,r,2,Int8,1,1,1,2,2,1,1,r,2,0,127,32.30242919921875,317004,1.705825489697278,6.668226914271178,1.704865933381428,1.7055683839951545,6.667221864708332,1.7055683839951545
2,requantization,1,HiFi4,Int8,1,1,1,2,2,1,2,r,2,Float32,1,1,1,2,2,1,2,r,2,Int8,1,1,1,2,2,1,2,r,2,0,127,36.60574722290039,559475,1.9327141323380002,7.555155244594,1.9324426064747606,1.9327834130211359,7.555426069082622,1.9327834130211359
3,requantization,1,HiFi4,Int8,1,1,1,4,2,1,2,r,2,Float32,1,1,1,4,2,1,2,r,2,Int8,1,1,1,4,2,1,2,r,2,0,127,38.67018508911133,1059214,2.041929267793675,7.98208713773891,2.0416456155073543,2.041785701472979,7.981525923939827,2.041785701472979
4,requantization,1,HiFi4,Int8,1,1,1,4,4,1,2,r,2,Float32,1,1,1,4,4,1,2,r,2,Int8,1,1,1,4,4,1,2,r,2,0,127,39.50834655761719,2073486,2.086350821908418,8.155735031096544,2.086115535921657,2.0860406098714916,8.154522384043105,2.0860406098714916
5,requantization,1,HiFi4,Int8,1,1,1,2,4,1,2,r,2,Float32,1,1,1,2,4,1,2,r,2,Int8,1,1,1,2,4,1,2,r,2,0,127,38.36139678955078,1067740,2.0255588762250345,7.91809378887968,2.0253160733752718,2.0254818588795027,7.917792721074419,2.0254818588795027
6,requantization,1,HiFi4,Int8,1,1,1,2,4,1,1,r,2,Float32,1,1,1,2,4,1,1,r,2,Int8,1,1,1,2,4,1,1,r,2,0,127,33.65885543823242,608458,1.777079906781219,6.946766908326584,1.7766796880821756,1.7771875790933802,6.947187809183214,1.7771875790933802
7,requantization,1,HiFi4,Int8,1,1,1,2,2,2,1,r,2,Float32,1,1,1,2,2,2,1,r,2,Int8,1,1,1,2,2,2,1,r,2,0,127,36.99268341064453,553623,1.9532627930178195,7.635481827251477,1.9529143655962518,1.9532136489994094,7.635289718815873,1.9532136489994094
8,requantization,1,HiFi4,Int8,1,1,1,2,4,2,1,r,2,Float32,1,1,1,2,4,2,1,r,2,Int8,1,1,1,2,4,2,1,r,2,0,127,38.60923767089844,1060886,2.0386855758989944,7.969407251241524,2.038488028659398,2.0385677631715375,7.968946710579647,2.0385677631715375
9,requantization,1,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Float32,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,0,127,38.5185432434082,1063384,2.0339222105740085,7.950786823152942,2.033669689034463,2.0337789547331915,7.95022682304793,2.0337789547331915
