Test-ID,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,mblock_k,ublock_kt,l1_acc,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
137,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,1,4,False,0,127,86.7518081665039,604354,3.5860621354680213,3.5860621354680213,13.993360403313792,3.578511931748611,3.578511931748611,13.988728460471842
138,HiFi4,Int8,1,1,1,4,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,1,4,False,0,127,89.85889434814453,1166914,3.7105940292726114,1.8552970146363057,14.49208067304129,3.706679326839853,1.8533396634199264,14.489746459464879
139,HiFi4,Int8,1,1,1,4,8,2,2,r,2,Int8,1,1,1,8,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,1,16,False,0,127,88.75094604492188,4725926,3.6603728364114465,1.8301864182057233,3.5763985975970867,3.6609764943420613,1.8304882471710306,3.5777724831070143
140,HiFi4,Int8,1,1,1,4,1,2,2,r,2,Int8,1,1,1,1,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,1,2,False,0,127,67.25572967529297,779544,2.7830995268531584,1.3915497634265792,21.66861961003131,2.7742988208491117,1.3871494104245559,21.689972599365785
141,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,4,8,2,2,r,2,Int32,1,1,1,2,8,2,2,r,2,1,8,False,0,127,91.9448013305664,4561763,0.9483075863784906,3.793230345513962,7.412339353654587,0.9481807801062878,3.7927231204251513,7.413049735376433
142,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,8,2,2,r,2,Int32,1,1,1,2,8,2,2,r,2,1,16,False,0,127,90.07859802246094,9312543,0.9287271331253377,3.714908532501351,3.6300644049924933,0.928935522767519,3.715742091070076,3.63129340718212
143,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,4,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,1,8,False,0,127,93.0560073852539,2253645,1.9204261503984421,3.8408523007968842,7.503567911074613,1.9192800995720267,3.8385601991440534,7.502640389236104
144,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,1,16,False,0,127,92.20430755615234,4548924,1.9019665457214234,3.803933091442847,3.7166079030183803,1.9017138998145495,3.803427799629099,3.7169862587284377
145,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,8,2,2,r,2,Int32,1,1,1,2,8,2,2,r,2,1,4,False,0,127,92.38213348388672,2270084,0.9532409112373831,3.8129636449495323,14.898245772950881,0.9526907374352667,3.8107629497410667,14.896618803533261
146,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,1,4,False,0,127,90.8997573852539,1153552,1.876976986871259,3.753953973742518,14.66128672817415,1.8748075509383193,3.7496151018766386,14.65758630733595
148,HiFi4,Int8,1,1,1,4,8,2,2,r,2,Int8,1,1,1,8,4,2,2,r,2,Int32,1,1,1,4,4,2,2,r,2,2,8,False,0,127,78.34735870361328,10706944,1.6159299751025893,1.6159299751025893,3.1581014936994,1.6159143075745983,1.6159143075745983,3.1583779648048966
149,HiFi4,Int8,1,1,1,8,8,2,2,r,2,Int8,1,1,1,8,2,2,2,r,2,Int32,1,1,1,8,2,2,2,r,2,2,8,False,0,127,75.22655487060547,11151127,3.1021314221908107,0.7755328555477027,3.0313767209520104,3.1030951400696987,0.7757737850174247,3.03257025052266
155,HiFi4,Int8,1,1,1,4,8,2,2,r,2,Int8,1,1,1,8,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,2,8,False,0,127,76.9720458984375,5449126,3.175104530770315,1.5875522653851575,3.1024380934204876,3.1750970706127917,1.5875485353063958,3.10293577355341
156,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,8,2,2,r,2,Int32,1,1,1,2,8,2,2,r,2,2,8,False,0,127,77.77592468261719,10785610,0.8020126263824939,3.2080505055299757,3.1349050471561797,0.8020642318793281,3.2082569275173123,3.1353419973464645
157,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,2,8,False,0,127,77.84880828857422,2693878,3.212515953723908,3.212515953723908,3.1384470327647427,3.2112634647894227,3.2112634647894227,3.1382802042260267
158,HiFi4,Int8,1,1,1,2,8,2,2,r,2,Int8,1,1,1,8,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,2,8,False,0,127,78.53697204589844,5340547,1.620086795541234,3.240173591082468,3.1659745422779015,1.6198250853330192,3.2396501706660383,3.1660217576963556
159,HiFi4,Int8,1,1,1,2,16,2,2,r,2,Int8,1,1,1,16,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,2,16,False,0,127,84.42166137695312,9936559,1.74108822882681,3.48217645765362,1.7013691219845184,1.7411967261503705,3.482393452300741,1.7016240732833168
160,HiFi4,Int8,1,1,1,2,16,2,2,r,2,Int8,1,1,1,16,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,2,16,False,0,127,83.5206298828125,5021878,3.4452539274644343,3.4452539274644343,1.6831601632574436,3.445225869684608,3.445225869684608,1.6834626408686153
161,HiFi4,Int8,1,1,1,4,4,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,2,4,False,0,127,67.24955749511719,3118462,2.77457616051173,1.387288080255865,5.422058956136317,2.7740443846998937,1.3870221923499468,5.421995842822519
162,HiFi4,Int8,1,1,1,8,4,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,Int32,1,1,1,8,2,2,2,r,2,2,4,False,0,127,66.64006042480469,6293968,2.748742826243495,0.6871857065608737,5.372126456795561,2.7489024411944896,0.6872256102986224,5.372854771425594
163,HiFi4,Int8,1,1,1,4,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,2,2,False,0,127,52.957313537597656,1980040,2.1851019847048403,1.0925509923524201,8.540805604203152,2.1844892022383386,1.0922446011191693,8.539366881477141
164,HiFi4,Int8,1,1,1,8,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,Int32,1,1,1,8,2,2,2,r,2,2,2,False,0,127,53.355289459228516,3930542,2.201188767412273,0.5502971918530682,8.60415493456178,2.20090562573813,0.5502264064345325,8.603540173339962
168,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,4,8,2,2,r,2,Int32,1,1,1,2,8,2,2,r,2,2,4,False,0,127,67.80165100097656,6186138,0.6992490979105546,2.7969963916422182,5.466513669467723,0.6992045764255501,2.7968183057022005,5.466508506599756
169,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,4,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,2,4,False,0,127,68.08895111083984,3080018,1.4047549607353877,2.8095099214707755,5.490412669695697,1.4043346499923053,2.8086692999846106,5.489671813606284
173,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,2,4,False,0,127,66.66400146484375,1572927,2.7512023252862052,2.7512023252862052,5.375520130733614,2.749889855028237,2.749889855028237,5.3747847166461
176,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,2,2,False,0,127,53.07243347167969,1975745,1.0949102658042604,2.189820531608521,8.559172459534954,1.0946189918233376,2.189237983646675,8.55793029970973
177,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,8,2,2,r,2,Int32,1,1,1,2,8,2,2,r,2,2,2,False,0,127,53.63041687011719,3910378,0.5531600720982318,2.2126402883929273,8.648763237402894,0.5530636680136806,2.2122546720547223,8.647904627123005
178,HiFi4,Int8,1,1,1,2,32,2,2,r,2,Int8,1,1,1,32,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,32,2,False,0,127,38.58265686035156,21741913,1.5915566632591245,1.5915566632591245,0.3888431839068604,1.5915346547472617,1.5915346547472617,0.3888408531484787
179,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,2,2,False,0,127,51.678531646728516,1014518,2.132813827857487,2.132813827857487,8.33556526768306,2.131739407285036,2.131739407285036,8.333163137568777
