input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,1,3,1,1,887
Bfp8_b,LoFi,1,1,3,1,4,1181
Bfp8_b,LoFi,1,1,3,1,8,1887
Bfp8_b,LoFi,1,1,6,1,1,1555
Bfp8_b,LoFi,1,1,6,1,4,2125
Bfp8_b,LoFi,1,1,6,1,8,3647
Bfp8_b,LoFi,1,1,9,1,1,2181
Bfp8_b,LoFi,1,1,9,1,4,2957
Bfp8_b,LoFi,1,1,9,1,8,5329
Bfp8_b,LoFi,1,1,12,1,1,2829
Bfp8_b,LoFi,1,1,12,1,4,3820
Bfp8_b,LoFi,1,1,12,1,8,6998
Bfp8_b,LoFi,1,2,3,1,1,1577
Bfp8_b,LoFi,1,2,3,1,4,2142
Bfp8_b,LoFi,1,2,3,1,8,3635
Bfp8_b,LoFi,1,2,6,1,1,2868
Bfp8_b,LoFi,1,2,6,1,4,3880
Bfp8_b,LoFi,1,2,6,1,8,7021
Bfp8_b,LoFi,1,2,9,1,1,4144
Bfp8_b,LoFi,1,2,9,1,4,5686
Bfp8_b,LoFi,1,2,9,1,8,10533
Bfp8_b,LoFi,1,2,12,1,1,5439
Bfp8_b,LoFi,1,2,12,1,4,7486
Bfp8_b,LoFi,1,2,12,1,8,13933
Bfp8_b,LoFi,1,1,3,1,1,860
Bfp8_b,LoFi,1,1,3,1,4,1200
Bfp8_b,LoFi,1,1,3,1,8,2144
Bfp8_b,LoFi,1,1,6,1,1,1510
Bfp8_b,LoFi,1,1,6,1,4,2180
Bfp8_b,LoFi,1,1,6,1,8,4169
Bfp8_b,LoFi,1,1,9,1,1,2160
Bfp8_b,LoFi,1,1,9,1,4,3165
Bfp8_b,LoFi,1,1,9,1,8,6215
Bfp8_b,LoFi,1,1,12,1,1,2772
Bfp8_b,LoFi,1,1,12,1,4,4208
Bfp8_b,LoFi,1,1,12,1,8,8279
Bfp8_b,LoFi,1,2,3,1,1,1558
Bfp8_b,LoFi,1,2,3,1,4,2210
Bfp8_b,LoFi,1,2,3,1,8,4260
Bfp8_b,LoFi,1,2,6,1,1,2831
Bfp8_b,LoFi,1,2,6,1,4,4277
Bfp8_b,LoFi,1,2,6,1,8,8311
Bfp8_b,LoFi,1,2,9,1,1,4159
Bfp8_b,LoFi,1,2,9,1,4,6276
Bfp8_b,LoFi,1,2,9,1,8,12549
Bfp8_b,LoFi,1,2,12,1,1,5389
Bfp8_b,LoFi,1,2,12,1,4,8312
Bfp8_b,LoFi,1,2,12,1,8,16705
Bfp8_b,LoFi,1,1,3,1,1,739
Bfp8_b,LoFi,1,1,3,1,4,1047
Bfp8_b,LoFi,1,1,3,1,8,2207
Bfp8_b,LoFi,1,1,6,1,1,1394
Bfp8_b,LoFi,1,1,6,1,4,2255
Bfp8_b,LoFi,1,1,6,1,8,4629
Bfp8_b,LoFi,1,1,9,1,1,2047
Bfp8_b,LoFi,1,1,9,1,4,3454
Bfp8_b,LoFi,1,1,9,1,8,6928
Bfp8_b,LoFi,1,1,12,1,1,2710
Bfp8_b,LoFi,1,1,12,1,4,4684
Bfp8_b,LoFi,1,1,12,1,8,9219
Bfp8_b,LoFi,1,2,3,1,1,1437
Bfp8_b,LoFi,1,2,3,1,4,2262
Bfp8_b,LoFi,1,2,3,1,8,4652
Bfp8_b,LoFi,1,2,6,1,1,2751
Bfp8_b,LoFi,1,2,6,1,4,4692
Bfp8_b,LoFi,1,2,6,1,8,9217
Bfp8_b,LoFi,1,2,9,1,1,4064
Bfp8_b,LoFi,1,2,9,1,4,6947
Bfp8_b,LoFi,1,2,9,1,8,13959
Bfp8_b,LoFi,1,2,12,1,1,5379
Bfp8_b,LoFi,1,2,12,1,4,9314
Bfp8_b,LoFi,1,2,12,1,8,18489
Bfp8_b,LoFi,1,1,3,1,1,740
Bfp8_b,LoFi,1,1,3,1,4,1038
Bfp8_b,LoFi,1,1,3,1,8,2279
Bfp8_b,LoFi,1,1,6,1,1,1390
Bfp8_b,LoFi,1,1,6,1,4,2261
Bfp8_b,LoFi,1,1,6,1,8,4612
Bfp8_b,LoFi,1,1,9,1,1,2046
Bfp8_b,LoFi,1,1,9,1,4,3440
Bfp8_b,LoFi,1,1,9,1,8,6886
Bfp8_b,LoFi,1,1,12,1,1,2705
Bfp8_b,LoFi,1,1,12,1,4,4657
Bfp8_b,LoFi,1,1,12,1,8,9235
Bfp8_b,LoFi,1,2,3,1,1,1437
Bfp8_b,LoFi,1,2,3,1,4,2308
Bfp8_b,LoFi,1,2,3,1,8,4640
Bfp8_b,LoFi,1,2,6,1,1,2750
Bfp8_b,LoFi,1,2,6,1,4,4680
Bfp8_b,LoFi,1,2,6,1,8,9229
Bfp8_b,LoFi,1,2,9,1,1,4064
Bfp8_b,LoFi,1,2,9,1,4,6976
Bfp8_b,LoFi,1,2,9,1,8,14038
Bfp8_b,LoFi,1,2,12,1,1,5376
Bfp8_b,LoFi,1,2,12,1,4,9306
Bfp8_b,LoFi,1,2,12,1,8,18623
