Test-ID,quant_type,zero_point,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,requantization,1,HiFi4,Int32,1,1,1,4,4,1,1,r,2,Float32,1,1,1,4,4,1,1,r,2,Int8,1,1,1,4,4,1,1,r,2,0,127,28.316953659057617,1388624,6.088937540469049,6.088937540469049,1.5574916002708816,6.08814481097835,6.08814481097835,1.5574323935060894
1,requantization,1,HiFi4,Int32,1,1,1,2,2,1,1,r,2,Float32,1,1,1,2,2,1,1,r,2,Int8,1,1,1,2,2,1,1,r,2,0,127,25.496620178222656,385557,5.481126009566377,5.481126009566377,1.401566039362611,5.481773123040173,5.481773123040173,1.402314054731207
2,requantization,1,HiFi4,Int32,1,1,1,2,2,1,2,r,2,Float32,1,1,1,2,2,1,2,r,2,Int8,1,1,1,2,2,1,2,r,2,0,127,28.83060646057129,681942,6.199563345242548,6.199563345242548,1.585609018600568,6.19857993788328,6.19857993788328,1.5856832399236298
3,requantization,1,HiFi4,Int32,1,1,1,4,2,1,2,r,2,Float32,1,1,1,4,2,1,2,r,2,Int8,1,1,1,4,2,1,2,r,2,0,127,29.16262435913086,1348356,6.270418808050982,6.270418808050982,1.603794470184544,6.2699643120956186,6.2699643120956186,1.6039443589081814
4,requantization,1,HiFi4,Int32,1,1,1,4,2,1,4,r,2,Float32,1,1,1,4,2,1,4,r,2,Int8,1,1,1,4,2,1,4,r,2,0,127,29.798662185668945,2639152,6.407262091678255,6.407262091678255,1.6387747558401329,6.406712459153546,6.406712459153546,1.6389264430392794
5,requantization,1,HiFi4,Int32,1,1,1,2,2,1,4,r,2,Float32,1,1,1,2,2,1,4,r,2,Int8,1,1,1,2,2,1,4,r,2,0,127,29.287933349609375,1342587,6.297274815693458,6.297274815693458,1.6105897912034959,6.296905898835607,6.296905898835607,1.6108363927253877
6,requantization,1,HiFi4,Int32,1,1,1,2,4,1,4,r,2,Float32,1,1,1,2,4,1,4,r,2,Int8,1,1,1,2,4,1,4,r,2,0,127,29.806476593017578,2638460,6.408958380449997,6.408958380449997,1.6392993264164393,6.408392774573047,6.408392774573047,1.6393562911698492
7,requantization,1,HiFi4,Int32,1,1,1,4,4,1,4,r,2,Float32,1,1,1,4,4,1,4,r,2,Int8,1,1,1,4,4,1,4,r,2,0,127,29.839506149291992,5271079,6.415829815713364,6.415829815713364,1.6410921586277731,6.41549405728884,6.41549405728884,1.6411728983762148
8,requantization,1,HiFi4,Int32,1,1,1,4,4,1,2,r,2,Float32,1,1,1,4,4,1,2,r,2,Int8,1,1,1,4,4,1,2,r,2,0,127,29.661767959594727,2651332,6.377735055585948,6.377735055585948,1.6313033826598295,6.377280551813202,6.377280551813202,1.6313973504638424
9,requantization,1,HiFi4,Int32,1,1,1,2,4,1,2,r,2,Float32,1,1,1,2,4,1,2,r,2,Int8,1,1,1,2,4,1,2,r,2,0,127,29.499658584594727,1332951,6.343157249968806,6.343157249968806,1.6222117894669996,6.3424266908536024,6.3424266908536024,1.6224812464974332
