Test-ID,quant_type,zero_point,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
10,quantization,1,HiFi4,Float32,1,1,1,2,4,2,2,r,2,Float32,1,1,1,2,4,2,2,r,2,Int8,1,1,1,2,4,2,2,r,2,0,127,26.376211166381836,2484663,6.8054675155825,6.8054675155825,1.7407986708289795,6.805062899878172,6.805062899878172,1.7408300441548814
11,quantization,1,HiFi4,Float32,1,1,1,2,2,2,2,r,2,Float32,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,0,127,26.21649742126465,1249900,6.764964530312953,6.764964530312953,1.7302025404028554,6.76385630850468,6.76385630850468,1.7302888231058484
12,quantization,1,HiFi4,Float32,1,1,1,2,2,4,1,r,2,Float32,1,1,1,2,2,4,1,r,2,Int8,1,1,1,2,2,4,1,r,2,0,127,26.31084632873535,1245418,6.788775824853531,6.788775824853531,1.7363909507945203,6.78819801865719,6.78819801865719,1.73651577221463
13,quantization,1,HiFi4,Float32,1,1,1,4,2,4,1,r,2,Float32,1,1,1,4,2,4,1,r,2,Int8,1,1,1,4,2,4,1,r,2,0,127,26.3819580078125,2484122,6.806939298182402,6.806939298182402,1.741175115011058,6.806544928147652,6.806544928147652,1.7412091676656782
14,quantization,1,HiFi4,Float32,1,1,1,4,4,4,1,r,2,Float32,1,1,1,4,4,4,1,r,2,Int8,1,1,1,4,4,4,1,r,2,0,127,26.419612884521484,4961163,6.816394020121053,6.816394020121053,1.7436096828472023,6.816259816498672,6.816259816498672,1.743694371662451
15,quantization,1,HiFi4,Float32,1,1,1,2,4,4,1,r,2,Float32,1,1,1,2,4,4,1,r,2,Int8,1,1,1,2,4,4,1,r,2,0,127,26.385557174682617,2483783,6.8080359552385685,6.8080359552385685,1.741309346487201,6.807473921836167,6.807473921836167,1.741446817213903
16,quantization,1,HiFi4,Float32,1,1,1,2,4,1,4,r,2,Float32,1,1,1,2,4,1,4,r,2,Int8,1,1,1,2,4,1,4,r,2,0,127,26.38252067565918,2484069,6.807430954628197,6.807430954628197,1.7412153822808887,6.806690152326687,6.806690152326687,1.7412463180370594
17,quantization,1,HiFi4,Float32,1,1,1,2,2,1,4,r,2,Float32,1,1,1,2,2,1,4,r,2,Int8,1,1,1,2,2,1,4,r,2,0,127,25.872325897216797,1266527,6.674987227906666,6.674987227906666,1.7071907863226918,6.6750602237457235,6.6750602237457235,1.7075735456093712
18,quantization,1,HiFi4,Float32,1,1,1,4,4,1,4,r,2,Float32,1,1,1,4,4,1,4,r,2,Int8,1,1,1,4,4,1,4,r,2,0,127,26.421266555786133,4960852,6.816873193428392,6.816873193428392,1.7437442899739408,6.816687133581087,6.816687133581087,1.7438036853346965
19,quantization,1,HiFi4,Float32,1,1,1,4,4,2,1,r,2,Float32,1,1,1,4,4,2,1,r,2,Int8,1,1,1,4,4,2,1,r,2,0,127,26.07169532775879,2513684,6.727108904054384,6.727108904054384,1.7205199103735518,6.726497045770272,6.726497045770272,1.7207318024063487
20,quantization,1,HiFi4,Float32,1,1,1,4,2,2,1,r,2,Float32,1,1,1,4,2,2,1,r,2,Int8,1,1,1,4,2,2,1,r,2,0,127,25.92005157470703,1264195,6.6884477285612105,6.6884477285612105,1.7106258819027576,6.6873733878080515,6.6873733878080515,1.7107234247881062
21,quantization,1,HiFi4,Float32,1,1,1,2,2,2,1,r,2,Float32,1,1,1,2,2,2,1,r,2,Int8,1,1,1,2,2,2,1,r,2,0,127,25.832002639770508,634252,6.665969455141909,6.665969455141909,1.7044867456557589,6.664656950234292,6.664656950234292,1.704912243083191
22,quantization,1,HiFi4,Float32,1,1,1,2,4,2,1,r,2,Float32,1,1,1,2,4,2,1,r,2,Int8,1,1,1,2,4,2,1,r,2,0,127,25.653972625732422,1277307,6.618699268463774,6.618699268463774,1.692864429123562,6.6187251772674855,6.6187251772674855,1.693162254649822
23,quantization,1,HiFi4,Float32,1,1,1,2,4,1,1,r,2,Float32,1,1,1,2,4,1,1,r,2,Int8,1,1,1,2,4,1,1,r,2,0,127,24.289865493774414,674520,6.267134679093203,6.267134679093203,1.602801364828769,6.266785269524996,6.266785269524996,1.6031311154598826
