input0_df,input1_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,m_k,u_kt,math_utilization,runtime,tile_runtime
Float16_b,Float16_b,HiFi4,1,2,2,2,2,32,1,88.19307708740234,37154,2322
Float16_b,Float16_b,HiFi4,1,2,2,2,2,16,1,87.10539245605469,18809,1175
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,1,65.10953521728516,1572,98
Float16_b,Float16_b,HiFi4,1,2,2,2,2,8,1,85.08427429199219,9628,601
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,1,80.7681655883789,5071,316
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,1,73.90833282470703,2771,173
Float16_b,Float16_b,HiFi4,1,2,2,2,2,8,2,90.90133666992188,18023,1126
Float16_b,Float16_b,HiFi4,1,2,2,2,2,8,4,93.37493133544922,35092,2193
Float16_b,Float16_b,HiFi4,1,2,2,2,2,16,2,91.19872283935547,35930,2245
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,2,90.12364959716797,9089,568
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,2,92.36309051513672,4434,277
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,2,92.66214752197266,2210,138
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,16,91.93631744384766,35642,2227
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,8,92.8567886352539,17644,1102
Float16_b,Float16_b,HiFi4,1,2,2,2,2,2,4,93.60163116455078,8751,546
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,16,92.30726623535156,17749,1109
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,8,92.71214294433594,35343,2208
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,8,93.24604034423828,8785,549
Float16_b,Float16_b,HiFi4,1,2,2,2,2,4,4,93.4462661743164,17533,1095
Float16_b,Float16_b,HiFi4,1,2,2,2,2,1,4,93.8148422241211,4366,272
Float16_b,Float16_b,HiFi4,1,2,2,2,4,16,1,92.23592376708984,35526,1110
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,1,73.79847717285156,2775,86
Float16_b,Float16_b,HiFi4,1,2,2,2,4,8,1,92.27668762207031,17755,554
Float16_b,Float16_b,HiFi4,1,2,2,2,4,4,1,92.33503723144531,8872,277
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,1,92.23521423339844,4440,138
Float16_b,Float16_b,HiFi4,1,2,2,2,4,8,2,93.75321197509766,34951,1092
Float16_b,Float16_b,HiFi4,1,2,2,2,4,4,2,93.78828430175781,17469,545
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,2,93.94865417480469,8719,272
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,2,94.08758544921875,4353,136
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,4,94.10987854003906,17409,544
Float16_b,Float16_b,HiFi4,1,2,2,2,4,2,8,93.87818908691406,34904,1090
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,8,94.10160064697266,17410,544
Float16_b,Float16_b,HiFi4,1,2,2,2,4,4,4,93.9726333618164,34869,1089
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,4,94.2618179321289,8690,271
Float16_b,Float16_b,HiFi4,1,2,2,2,4,1,16,93.2880630493164,35125,1097
Float16_b,Float16_b,HiFi4,1,2,2,4,2,16,1,90.05964660644531,36384,1137
Float16_b,Float16_b,HiFi4,1,2,2,4,2,8,1,89.35221862792969,18336,573
Float16_b,Float16_b,HiFi4,1,2,2,4,2,4,1,87.76309967041016,9334,291
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,1,72.86940002441406,2810,87
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,1,86.71980285644531,4723,147
Float16_b,Float16_b,HiFi4,1,2,2,4,2,8,2,93.59172821044922,35011,1094
Float16_b,Float16_b,HiFi4,1,2,2,4,2,4,2,93.6696548461914,17491,546
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,2,93.84028625488281,8729,272
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,2,94.00390625,4357,136
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,8,88.9374008178711,36843,1151
Float16_b,Float16_b,HiFi4,1,2,2,4,2,2,4,91.16692352294922,17971,561
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,16,85.36685180664062,38384,1199
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,8,89.50777435302734,18304,572
Float16_b,Float16_b,HiFi4,1,2,2,4,2,4,4,90.8740234375,36058,1126
Float16_b,Float16_b,HiFi4,1,2,2,4,2,1,4,91.66851806640625,8936,279
Float16_b,Float16_b,HiFi4,1,2,4,2,2,16,1,88.04901885986328,37215,1162
Float16_b,Float16_b,HiFi4,1,2,4,2,2,8,1,86.1705322265625,19013,594
Float16_b,Float16_b,HiFi4,1,2,4,2,2,4,1,82.69859313964844,9905,309
Float16_b,Float16_b,HiFi4,1,2,4,2,2,1,1,70.92237854003906,2887,90
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,1,76.5920639038086,5347,167
Float16_b,Float16_b,HiFi4,1,2,4,2,2,8,2,92.49789428710938,35425,1107
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,2,92.58794403076172,8847,276
Float16_b,Float16_b,HiFi4,1,2,4,2,2,4,2,92.57392120361328,17698,553
Float16_b,Float16_b,HiFi4,1,2,4,2,2,1,2,92.75312805175781,4416,138
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,8,93.39791107177734,35084,1096
Float16_b,Float16_b,HiFi4,1,2,4,2,2,2,4,93.80380249023438,17466,545
