Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,add,LoFi,Bfp8_b,1,1,1,4,4,8,1,r,2,Bfp8_b,1,1,1,4,4,8,1,r,2,Bfp8_b,1,1,1,4,4,8,1,r,2,0,127,9.538689613342285,1374109,13.336292604532227,13.336292604532227,13.349062794423324,13.354166226987815,13.354166226987815,13.354166226987815
1,add,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,2.4770946502685547,165355,3.498256897092369,3.498256897092369,3.4654436262417696,3.4679326297964983,3.4679326297964983,3.4679326297964983
2,add,LoFi,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,0,127,2.542023181915283,322263,3.5747675295300327,3.5747675295300327,3.5592700793854353,3.5588323822467984,3.5588323822467984,3.5588323822467984
3,add,LoFi,Bfp8_b,1,1,1,8,2,1,1,r,2,Bfp8_b,1,1,1,8,2,1,1,r,2,Bfp8_b,1,1,1,8,2,1,1,r,2,0,127,2.558868646621704,640283,3.590746078853657,3.590746078853657,3.5828546149813523,3.5824159004690115,3.5824159004690115,3.5824159004690115
4,add,LoFi,Bfp8_b,1,1,1,8,4,1,1,r,2,Bfp8_b,1,1,1,8,4,1,1,r,2,Bfp8_b,1,1,1,8,4,1,1,r,2,0,127,2.5656023025512695,1277205,3.5960027208928067,3.5960027208928067,3.594591307616615,3.5918431262013537,3.5918431262013537,3.5918431262013537
5,add,LoFi,Bfp8_b,1,1,1,4,4,1,1,r,2,Bfp8_b,1,1,1,4,4,1,1,r,2,Bfp8_b,1,1,1,4,4,1,1,r,2,0,127,2.558680534362793,640330,3.590326891009511,3.590326891009511,3.582707968307492,3.582152952383927,3.582152952383927,3.582152952383927
6,add,LoFi,Bfp8_b,1,1,1,4,8,1,1,r,2,Bfp8_b,1,1,1,4,8,1,1,r,2,Bfp8_b,1,1,1,4,8,1,1,r,2,0,127,2.567823886871338,1276100,3.599241512483572,3.599241512483572,3.595783978676576,3.594953373560066,3.594953373560066,3.594953373560066
7,add,LoFi,Bfp8_b,1,1,1,2,8,1,1,r,2,Bfp8_b,1,1,1,2,8,1,1,r,2,Bfp8_b,1,1,1,2,8,1,1,r,2,0,127,2.557933807373047,640517,3.589222743015033,3.589222743015033,3.583238209199619,3.58110713689098,3.58110713689098,3.58110713689098
8,add,LoFi,Bfp8_b,1,1,1,8,8,1,1,r,2,Bfp8_b,1,1,1,8,8,1,1,r,2,Bfp8_b,1,1,1,8,8,1,1,r,2,0,127,2.5715034008026123,2548548,3.602366395599612,3.602366395599612,3.601618151785803,3.6001048440131402,3.6001048440131402,3.6001048440131402
9,add,LoFi,Bfp8_b,1,1,1,2,4,1,1,r,2,Bfp8_b,1,1,1,2,4,1,1,r,2,Bfp8_b,1,1,1,2,4,1,1,r,2,0,127,2.5430173873901367,322137,3.5761830832762405,3.5761830832762405,3.559492752263158,3.5602243765851176,3.5602243765851176,3.5602243765851176
