input0_df,input1_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,m_k,u_kt,math_utilization,runtime,tile_runtime
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,2,35.356624603271484,6878,429
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,8,54.99553680419922,15593,974
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,16,60.08238983154297,27908,1744
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,4,46.010990142822266,9736,608
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,1,24.932212829589844,5647,352
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,32,1,24.08488655090332,50488,3155
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,32,2,32.499691009521484,62622,3913
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,8,54.05949783325195,31964,1997
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,4,45.17182540893555,20118,1257
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,16,4,44.76203155517578,40891,2555
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,2,33.649600982666016,14835,927
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,16,2,32.856136322021484,30776,1923
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,8,67.1033706665039,3052,190
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,4,61.37421798706055,1668,104
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,16,61.66106414794922,6642,415
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,2,34.92329025268555,1466,91
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,2,39.7769660949707,2896,181
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,8,56.579261779785156,7465,466
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,4,50.79541015625,4283,267
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,1,25.534408569335938,2506,156
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,16,61.016048431396484,13635,852
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,1,24.441978454589844,12044,752
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,16,1,24.196657180786133,24862,1553
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,1,17.964223861694336,1425,89
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,2,48.443878173828125,10040,313
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,4,60.03340530395508,14925,466
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,8,66.77476501464844,25686,802
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,1,35.686153411865234,7891,246
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,2,50.00373077392578,4607,143
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,8,4,58.094905853271484,31286,977
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,8,2,46.8701286315918,21301,665
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,16,2,46.70587158203125,43300,1353
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,4,73.095947265625,2801,87
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,8,76.53917694091797,5351,167
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,16,75.99488830566406,10779,336
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,2,54.47148132324219,1879,58
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,1,27.362531661987305,1871,58
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,8,69.30586242675781,12189,380
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,4,62.56342697143555,6956,217
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,16,71.9073715209961,23140,723
Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,8,1,35.45744705200195,16605,518
