input0_df,math_fidelity,z,t,mblock_m,mblock_n,ublock_rt,ublock_ct,math_utilization,runtime,tile_runtime,ublock_size,blocks
Bfp8_b,LoFi,04,1,3,1,1,2,59.56155014038086,6366,1061,02,03
Bfp8_b,LoFi,08,1,3,1,1,2,61.674564361572266,14242,2373,02,03
Bfp8_b,LoFi,16,1,3,1,1,2,62.574241638183594,29993,4998,02,03
Bfp8_b,LoFi,32,1,3,1,1,2,62.992977142333984,61492,10248,02,03
Bfp8_b,LoFi,01,1,4,1,1,2,5.912837982177734,1082,135,02,04
Bfp8_b,LoFi,02,1,4,1,1,2,54.03324508666992,3198,399,02,04
Bfp8_b,LoFi,04,1,4,1,1,2,59.78755187988281,8456,1057,02,04
Bfp8_b,LoFi,08,1,4,1,1,2,61.74213409423828,18969,2371,02,04
Bfp8_b,LoFi,16,1,4,1,1,2,62.6119499206543,39966,4995,02,04
Bfp8_b,LoFi,32,1,4,1,1,2,63.01309585571289,81963,10245,02,04
Bfp8_b,LoFi,01,1,5,1,1,2,5.998687744140625,1333,133,02,05
Bfp8_b,LoFi,02,1,5,1,1,2,54.24867248535156,3981,398,02,05
Bfp8_b,LoFi,04,1,5,1,1,2,59.81874465942383,10565,1056,02,05
Bfp8_b,LoFi,08,1,5,1,1,2,61.79938888549805,23689,2368,02,05
Bfp8_b,LoFi,16,1,5,1,1,2,62.637882232666016,49937,4993,02,05
Bfp8_b,LoFi,32,1,5,1,1,2,63.025726318359375,102434,10243,02,05
Bfp8_b,LoFi,01,1,6,1,1,2,5.947033882141113,1614,134,02,06
Bfp8_b,LoFi,02,1,6,1,1,2,54.34950637817383,4769,397,02,06
Bfp8_b,LoFi,04,1,6,1,1,2,59.87834930419922,12665,1055,02,06
Bfp8_b,LoFi,08,1,6,1,1,2,61.8316535949707,28412,2367,02,06
Bfp8_b,LoFi,16,1,6,1,1,2,62.65577697753906,59908,4992,02,06
Bfp8_b,LoFi,01,1,1,1,1,3,6.154709339141846,389,129,03,01
Bfp8_b,LoFi,02,1,1,1,1,3,42.624786376953125,1520,506,03,01
Bfp8_b,LoFi,04,1,1,1,1,3,49.22737503051758,3851,1283,03,01
Bfp8_b,LoFi,08,1,1,1,1,3,51.59016799926758,8513,2837,03,01
Bfp8_b,LoFi,16,1,1,1,1,3,52.63237762451172,17829,5943,03,01
Bfp8_b,LoFi,32,1,1,1,1,3,53.11656188964844,36463,12154,03,01
Bfp8_b,LoFi,01,1,2,1,1,3,5.908089637756348,812,135,03,02
Bfp8_b,LoFi,02,1,2,1,1,3,52.066654205322266,2489,414,03,02
Bfp8_b,LoFi,04,1,2,1,1,3,58.98409652709961,6428,1071,03,02
Bfp8_b,LoFi,08,1,2,1,1,3,61.549781799316406,14271,2378,03,02
Bfp8_b,LoFi,16,1,2,1,1,3,62.65398406982422,29955,4992,03,02
Bfp8_b,LoFi,32,1,2,1,1,3,63.17012405395508,61320,10220,03,02
Bfp8_b,LoFi,01,1,3,1,1,3,7.4165873527526855,970,107,03,03
Bfp8_b,LoFi,02,1,3,1,1,3,55.1414794921875,3525,391,03,03
Bfp8_b,LoFi,04,1,3,1,1,3,60.30964279174805,9431,1047,03,03
Bfp8_b,LoFi,08,1,3,1,1,3,62.17364501953125,21192,2354,03,03
Bfp8_b,LoFi,16,1,3,1,1,3,62.95682144165039,44716,4968,03,03
Bfp8_b,LoFi,32,1,3,1,1,3,63.3176155090332,91765,10196,03,03
Bfp8_b,LoFi,01,1,4,1,1,3,7.458709239959717,1287,107,03,04
Bfp8_b,LoFi,02,1,4,1,1,3,55.606746673583984,4661,388,03,04
Bfp8_b,LoFi,04,1,4,1,1,3,60.53873825073242,12527,1043,03,04
Bfp8_b,LoFi,08,1,4,1,1,3,62.27406311035156,28210,2350,03,04
Bfp8_b,LoFi,16,1,4,1,1,3,63.005184173583984,59576,4964,03,04
Bfp8_b,LoFi,01,1,5,1,1,3,7.592759132385254,1580,105,03,05
Bfp8_b,LoFi,02,1,5,1,1,3,55.70045852661133,5816,387,03,05
Bfp8_b,LoFi,04,1,5,1,1,3,60.681068420410156,15622,1041,03,05
Bfp8_b,LoFi,08,1,5,1,1,3,62.33745193481445,35227,2348,03,05
Bfp8_b,LoFi,16,1,5,1,1,3,63.03493881225586,74434,4962,03,05
Bfp8_b,LoFi,01,1,6,1,1,3,7.667699337005615,1878,104,03,06
Bfp8_b,LoFi,02,1,6,1,1,3,56.118255615234375,6928,384,03,06
Bfp8_b,LoFi,04,1,6,1,1,3,60.76397705078125,18721,1040,03,06
Bfp8_b,LoFi,08,1,6,1,1,3,62.37631607055664,42246,2347,03,06
Bfp8_b,LoFi,16,1,6,1,1,3,63.052284240722656,89297,4960,03,06
Bfp8_b,LoFi,01,1,1,1,1,4,7.388166904449463,433,108,04,01
Bfp8_b,LoFi,02,1,1,1,1,4,45.212486267089844,1910,477,04,01
Bfp8_b,LoFi,04,1,1,1,1,4,51.09562683105469,4947,1236,04,01
Bfp8_b,LoFi,08,1,1,1,1,4,53.33473587036133,10979,2744,04,01
Bfp8_b,LoFi,16,1,1,1,1,4,54.268733978271484,23055,5763,04,01
Bfp8_b,LoFi,32,1,1,1,1,4,54.7166633605957,47195,11798,04,01
Bfp8_b,LoFi,01,1,2,1,1,4,7.608009338378906,841,105,04,02
Bfp8_b,LoFi,02,1,2,1,1,4,53.83950424194336,3209,401,04,02
Bfp8_b,LoFi,04,1,2,1,1,4,59.84383773803711,8448,1056,04,02
Bfp8_b,LoFi,08,1,2,1,1,4,62.01047134399414,18887,2360,04,02
Bfp8_b,LoFi,16,1,2,1,1,4,62.946502685546875,39754,4969,04,02
Bfp8_b,LoFi,32,1,2,1,1,4,63.378334045410156,81491,10186,04,02
Bfp8_b,LoFi,01,1,3,1,1,4,8.419379234313965,1140,95,04,03
Bfp8_b,LoFi,02,1,3,1,1,4,56.16420364379883,4615,384,04,03
Bfp8_b,LoFi,04,1,3,1,1,4,60.875396728515625,12458,1038,04,03
Bfp8_b,LoFi,08,1,3,1,1,4,62.500614166259766,28108,2342,04,03
Bfp8_b,LoFi,16,1,3,1,1,4,63.18197250366211,59409,4950,04,03
Bfp8_b,LoFi,01,1,4,1,1,4,7.471964359283447,1713,107,04,04
Bfp8_b,LoFi,02,1,4,1,1,4,56.32598876953125,6135,383,04,04
Bfp8_b,LoFi,04,1,4,1,1,4,60.89703369140625,16605,1037,04,04
Bfp8_b,LoFi,08,1,4,1,1,4,62.54322052001953,37452,2340,04,04
Bfp8_b,LoFi,16,1,4,1,1,4,63.19541931152344,79195,4949,04,04
Bfp8_b,LoFi,01,1,5,1,1,4,9.32723617553711,1715,85,04,05
Bfp8_b,LoFi,02,1,5,1,1,4,56.209861755371094,7685,384,04,05
Bfp8_b,LoFi,04,1,5,1,1,4,61.0518798828125,20703,1035,04,05
Bfp8_b,LoFi,08,1,5,1,1,4,62.56352615356445,46800,2340,04,05
Bfp8_b,LoFi,16,1,5,1,1,4,63.20094299316406,98985,4949,04,05
Bfp8_b,LoFi,01,1,6,1,1,4,9.293988227844238,2065,86,04,06
Bfp8_b,LoFi,02,1,6,1,1,4,56.06521224975586,9246,385,04,06
Bfp8_b,LoFi,04,1,6,1,1,4,60.91572189331055,24899,1037,04,06
Bfp8_b,LoFi,08,1,6,1,1,4,62.543575286865234,56178,2340,04,06
Bfp8_b,LoFi,01,1,1,1,1,5,8.364372253417969,478,95,05,01
Bfp8_b,LoFi,02,1,1,1,1,5,49.992584228515625,2160,432,05,01
Bfp8_b,LoFi,04,1,1,1,1,5,55.250186920166016,5719,1143,05,01
Bfp8_b,LoFi,08,1,1,1,1,5,56.997764587402344,12842,2568,05,01
Bfp8_b,LoFi,16,1,1,1,1,5,57.731319427490234,27091,5418,05,01
Bfp8_b,LoFi,32,1,1,1,1,5,58.07229995727539,55585,11117,05,01
Bfp8_b,LoFi,01,1,2,1,1,5,8.394956588745117,952,95,05,02
Bfp8_b,LoFi,02,1,2,1,1,5,55.357337951660156,3901,390,05,02
Bfp8_b,LoFi,04,1,2,1,1,5,60.49085998535156,10447,1044,05,02
Bfp8_b,LoFi,08,1,2,1,1,5,62.19062805175781,23540,2354,05,02
Bfp8_b,LoFi,16,1,2,1,1,5,62.90156173706055,49728,4972,05,02
Bfp8_b,LoFi,32,1,2,1,1,5,63.232994079589844,102098,10209,05,02
Bfp8_b,LoFi,01,1,3,1,1,5,9.457429885864258,1268,84,05,03
Bfp8_b,LoFi,02,1,3,1,1,5,55.855751037597656,5800,386,05,03
Bfp8_b,LoFi,04,1,3,1,1,5,60.72142791748047,15612,1040,05,03
Bfp8_b,LoFi,08,1,3,1,1,5,62.28609848022461,35256,2350,05,03
Bfp8_b,LoFi,16,1,3,1,1,5,62.94442367553711,74541,4969,05,03
Bfp8_b,LoFi,01,1,4,1,1,5,9.812423706054688,1630,81,05,04
Bfp8_b,LoFi,02,1,4,1,1,5,56.11294937133789,7698,384,05,04
Bfp8_b,LoFi,04,1,4,1,1,5,60.84025573730469,20775,1038,05,04
Bfp8_b,LoFi,08,1,4,1,1,5,62.34562301635742,46964,2348,05,04
Bfp8_b,LoFi,16,1,4,1,1,5,62.97439193725586,99341,4967,05,04
Bfp8_b,LoFi,01,1,5,1,1,5,9.67757797241211,2066,82,05,05
Bfp8_b,LoFi,02,1,5,1,1,5,56.144046783447266,9618,384,05,05
Bfp8_b,LoFi,04,1,5,1,1,5,60.8698844909668,25957,1038,05,05
Bfp8_b,LoFi,08,1,5,1,1,5,62.3584098815918,58692,2347,05,05
Bfp8_b,LoFi,01,1,6,1,1,5,9.563985824584961,2509,83,05,06
Bfp8_b,LoFi,02,1,6,1,1,5,56.05487060546875,11560,385,05,06
Bfp8_b,LoFi,04,1,6,1,1,5,60.87912368774414,31143,1038,05,06
Bfp8_b,LoFi,08,1,6,1,1,5,62.381141662597656,70405,2346,05,06
Bfp8_b,LoFi,01,1,1,1,1,6,9.316854476928711,515,85,06,01
Bfp8_b,LoFi,02,1,1,1,1,6,51.082069396972656,2537,422,06,01
Bfp8_b,LoFi,04,1,1,1,1,6,55.717403411865234,6805,1134,06,01
Bfp8_b,LoFi,08,1,1,1,1,6,57.36521911621094,15312,2552,06,01
Bfp8_b,LoFi,16,1,1,1,1,6,58.050392150878906,32330,5388,06,01
Bfp8_b,LoFi,32,1,1,1,1,6,58.37428665161133,66357,11059,06,01
Bfp8_b,LoFi,01,1,2,1,1,6,9.123442649841309,1052,87,06,02
Bfp8_b,LoFi,02,1,2,1,1,6,56.267269134521484,4606,383,06,02
Bfp8_b,LoFi,04,1,2,1,1,6,60.9306526184082,12446,1037,06,02
Bfp8_b,LoFi,08,1,2,1,1,6,62.44682693481445,28132,2344,06,02
Bfp8_b,LoFi,16,1,2,1,1,6,63.08659744262695,59499,4958,06,02
Bfp8_b,LoFi,01,1,3,1,1,6,10.312300682067871,1396,77,06,03
Bfp8_b,LoFi,02,1,3,1,1,6,56.258331298828125,6910,383,06,03
Bfp8_b,LoFi,04,1,3,1,1,6,60.854740142822266,18693,1038,06,03
Bfp8_b,LoFi,08,1,3,1,1,6,62.46186065673828,42188,2343,06,03
Bfp8_b,LoFi,16,1,3,1,1,6,63.09829330444336,89232,4957,06,03
Bfp8_b,LoFi,01,1,4,1,1,6,10.263691902160645,1870,77,06,04
Bfp8_b,LoFi,02,1,4,1,1,6,56.18270492553711,9227,384,06,04
Bfp8_b,LoFi,04,1,4,1,1,6,61.01190948486328,24860,1035,06,04
Bfp8_b,LoFi,08,1,4,1,1,6,62.50951385498047,56209,2342,06,04
Bfp8_b,LoFi,01,1,5,1,1,6,9.665088653564453,2483,82,06,05
Bfp8_b,LoFi,02,1,5,1,1,6,55.976112365722656,11576,385,06,05
Bfp8_b,LoFi,04,1,5,1,1,6,60.94559860229492,31109,1036,06,05
Bfp8_b,LoFi,08,1,5,1,1,6,62.46440505981445,70312,2343,06,05
Bfp8_b,LoFi,01,1,6,1,1,6,10.448713302612305,2756,76,06,06
Bfp8_b,LoFi,02,1,6,1,1,6,55.938045501708984,13901,386,06,06
Bfp8_b,LoFi,04,1,6,1,1,6,60.75790023803711,37446,1040,06,06
Bfp8_b,LoFi,08,1,6,1,1,6,62.39794921875,84464,2346,06,06
Bfp8_b,LoFi,01,1,1,1,1,7,10.360177993774414,540,77,07,01
Bfp8_b,LoFi,02,1,1,1,1,7,50.735862731933594,2980,425,07,01
Bfp8_b,LoFi,04,1,1,1,1,7,55.865806579589844,7918,1131,07,01
Bfp8_b,LoFi,08,1,1,1,1,7,57.513160705566406,17818,2545,07,01
Bfp8_b,LoFi,16,1,1,1,1,7,58.209598541259766,37615,5373,07,01
Bfp8_b,LoFi,32,1,1,1,1,7,58.52678298950195,77215,11030,07,01
Bfp8_b,LoFi,01,1,2,1,1,7,10.237879753112793,1093,78,07,02
Bfp8_b,LoFi,02,1,2,1,1,7,56.266029357910156,5374,383,07,02
Bfp8_b,LoFi,04,1,2,1,1,7,60.983856201171875,14508,1036,07,02
Bfp8_b,LoFi,08,1,2,1,1,7,62.55552291870117,32764,2340,07,02
Bfp8_b,LoFi,16,1,2,1,1,7,63.15885925292969,69336,4952,07,02
Bfp8_b,LoFi,01,1,3,1,1,7,11.873512268066406,1414,67,07,03
Bfp8_b,LoFi,02,1,3,1,1,7,56.768131256103516,7990,380,07,03
Bfp8_b,LoFi,04,1,3,1,1,7,61.20234298706055,21685,1032,07,03
Bfp8_b,LoFi,08,1,3,1,1,7,62.646629333496094,49075,2336,07,03
Bfp8_b,LoFi,16,1,3,1,1,7,63.20531463623047,103927,4948,07,03
Bfp8_b,LoFi,01,1,4,1,1,7,12.06556224822998,1856,66,07,04
Bfp8_b,LoFi,02,1,4,1,1,7,56.584842681884766,10688,381,07,04
Bfp8_b,LoFi,04,1,4,1,1,7,61.290653228759766,28872,1031,07,04
Bfp8_b,LoFi,08,1,4,1,1,7,62.69139099121094,65386,2335,07,04
Bfp8_b,LoFi,01,1,5,1,1,7,9.891153335571289,2830,80,07,05
Bfp8_b,LoFi,02,1,5,1,1,7,56.404327392578125,13403,382,07,05
Bfp8_b,LoFi,04,1,5,1,1,7,61.19324493408203,36147,1032,07,05
Bfp8_b,LoFi,08,1,5,1,1,7,62.666500091552734,81766,2336,07,05
Bfp8_b,LoFi,01,1,6,1,1,7,12.25246810913086,2742,65,07,06
Bfp8_b,LoFi,02,1,6,1,1,7,56.22551345825195,16135,384,07,06
Bfp8_b,LoFi,04,1,6,1,1,7,61.12836456298828,43423,1033,07,06
Bfp8_b,LoFi,08,1,6,1,1,7,62.6141357421875,98201,2338,07,06
Bfp8_b,LoFi,01,1,1,1,1,8,10.553436279296875,606,75,08,01
Bfp8_b,LoFi,02,1,1,1,1,8,51.19312286376953,3375,421,08,01
Bfp8_b,LoFi,04,1,1,1,1,8,56.1434211730957,9005,1125,08,01
Bfp8_b,LoFi,08,1,1,1,1,8,57.74424743652344,20282,2535,08,01
Bfp8_b,LoFi,16,1,1,1,1,8,58.4160041809082,42837,5354,08,01
Bfp8_b,LoFi,32,1,1,1,1,8,58.725975036621094,87947,10993,08,01
Bfp8_b,LoFi,01,1,2,1,1,8,10.882112503051758,1176,73,08,02
Bfp8_b,LoFi,02,1,2,1,1,8,56.492584228515625,6117,382,08,02
Bfp8_b,LoFi,04,1,2,1,1,8,60.8738899230957,16611,1038,08,02
Bfp8_b,LoFi,08,1,2,1,1,8,62.5478401184082,37449,2340,08,02
Bfp8_b,LoFi,16,1,2,1,1,8,63.18619155883789,79207,4950,08,02
Bfp8_b,LoFi,01,1,3,1,1,8,9.986184120178223,1922,80,08,03
Bfp8_b,LoFi,02,1,3,1,1,8,56.32137680053711,9204,383,08,03
Bfp8_b,LoFi,04,1,3,1,1,8,60.950679779052734,24885,1036,08,03
Bfp8_b,LoFi,08,1,3,1,1,8,62.55525207519531,56167,2340,08,03
Bfp8_b,LoFi,01,1,4,1,1,8,13.080620765686035,1957,61,08,04
Bfp8_b,LoFi,02,1,4,1,1,8,55.28197479248047,12503,390,08,04
Bfp8_b,LoFi,04,1,4,1,1,8,60.612857818603516,33365,1042,08,04
Bfp8_b,LoFi,08,1,4,1,1,8,62.40690231323242,75068,2345,08,04
Bfp8_b,LoFi,01,1,5,1,1,8,9.705333709716797,3297,82,08,05
Bfp8_b,LoFi,02,1,5,1,1,8,57.048648834228516,15144,378,08,05
Bfp8_b,LoFi,04,1,5,1,1,8,61.32315444946289,41224,1030,08,05
Bfp8_b,LoFi,08,1,5,1,1,8,62.7255973815918,93359,2333,08,05
Bfp8_b,LoFi,01,1,6,1,1,8,9.862809181213379,3893,81,08,06
Bfp8_b,LoFi,02,1,6,1,1,8,56.769012451171875,18263,380,08,06
Bfp8_b,LoFi,04,1,6,1,1,8,61.27804946899414,49505,1031,08,06
Float16_b,HiFi2,01,1,1,1,1,1,2.5900444984436035,308,308,01,01
Float16_b,HiFi2,02,1,1,1,1,1,28.125,768,768,01,01
Float16_b,HiFi2,04,1,1,1,1,1,35.41453170776367,1784,1784,01,01
Float16_b,HiFi2,08,1,1,1,1,1,38.13648223876953,3838,3838,01,01
Float16_b,HiFi2,16,1,1,1,1,1,39.341156005859375,7950,7950,01,01
Float16_b,HiFi2,32,1,1,1,1,1,39.96757507324219,16153,16153,01,01
Float16_b,HiFi2,01,1,2,1,1,1,2.6087841987609863,613,306,01,02
Float16_b,HiFi2,02,1,2,1,1,1,38.40373611450195,1124,562,01,02
Float16_b,HiFi2,04,1,2,1,1,1,49.390525817871094,2559,1279,01,02
Float16_b,HiFi2,08,1,2,1,1,1,54.16587448120117,5405,2702,01,02
Float16_b,HiFi2,16,1,2,1,1,1,56.3596076965332,11100,5550,01,02
Float16_b,HiFi2,32,1,2,1,1,1,57.46977996826172,22467,11233,01,02
Float16_b,HiFi2,01,1,3,1,1,1,3.1295206546783447,766,255,01,03
Float16_b,HiFi2,02,1,3,1,1,1,43.1260986328125,1502,500,01,03
Float16_b,HiFi2,04,1,3,1,1,1,52.52680206298828,3609,1203,01,03
Float16_b,HiFi2,08,1,3,1,1,1,55.58042526245117,7902,2634,01,03
Float16_b,HiFi2,16,1,3,1,1,1,57.10892105102539,16431,5477,01,03
Float16_b,HiFi2,32,1,3,1,1,1,57.840431213378906,33485,11161,01,03
Float16_b,HiFi2,01,1,4,1,1,1,3.196204423904419,1001,250,01,04
Float16_b,HiFi2,02,1,4,1,1,1,44.632781982421875,1935,483,01,04
Float16_b,HiFi2,04,1,4,1,1,1,52.618534088134766,4804,1201,01,04
Float16_b,HiFi2,08,1,4,1,1,1,55.82546615600586,10489,2622,01,04
Float16_b,HiFi2,16,1,4,1,1,1,57.22837448120117,21863,5465,01,04
Float16_b,HiFi2,32,1,4,1,1,1,57.889156341552734,44609,11152,01,04
Float16_b,HiFi2,01,1,5,1,1,1,3.2529830932617188,1229,245,01,05
Float16_b,HiFi2,02,1,5,1,1,1,45.11616897583008,2393,478,01,05
Float16_b,HiFi2,04,1,5,1,1,1,52.939571380615234,5969,1193,01,05
Float16_b,HiFi2,08,1,5,1,1,1,55.989585876464844,13073,2614,01,05
Float16_b,HiFi2,16,1,5,1,1,1,57.30289077758789,27293,5458,01,05
Float16_b,HiFi2,32,1,5,1,1,1,57.9241828918457,55728,11145,01,05
Float16_b,HiFi2,01,1,6,1,1,1,3.3205785751342773,1445,240,01,06
Float16_b,HiFi2,02,1,6,1,1,1,45.184593200683594,2868,478,01,06
Float16_b,HiFi2,04,1,6,1,1,1,53.1236572265625,7138,1189,01,06
Float16_b,HiFi2,08,1,6,1,1,1,56.05177307128906,15671,2611,01,06
Float16_b,HiFi2,16,1,6,1,1,1,57.32979202270508,32736,5456,01,06
Float16_b,HiFi2,32,1,6,1,1,1,57.928245544433594,66868,11144,01,06
Float16_b,HiFi2,01,1,1,1,1,2,4.459444999694824,358,179,02,01
Float16_b,HiFi2,02,1,1,1,1,2,35.3729133605957,1221,610,02,01
Float16_b,HiFi2,04,1,1,1,1,2,42.209068298339844,2994,1497,02,01
Float16_b,HiFi2,08,1,1,1,1,2,44.169193267822266,6629,3314,02,01
Float16_b,HiFi2,16,1,1,1,1,2,45.09455871582031,13873,6936,02,01
Float16_b,HiFi2,32,1,1,1,1,2,45.50657653808594,28373,14186,02,01
Float16_b,HiFi2,01,1,2,1,1,2,4.847222328186035,660,165,02,02
Float16_b,HiFi2,02,1,2,1,1,2,44.924320220947266,1923,480,02,02
Float16_b,HiFi2,04,1,2,1,1,2,53.752655029296875,4703,1175,02,02
Float16_b,HiFi2,08,1,2,1,1,2,56.83173370361328,10304,2576,02,02
Float16_b,HiFi2,16,1,2,1,1,2,58.16863250732422,21509,5377,02,02
Float16_b,HiFi2,32,1,2,1,1,2,58.815650939941406,43906,10976,02,02
Float16_b,HiFi2,01,1,3,1,1,2,5.148401737213135,932,155,02,03
Float16_b,HiFi2,02,1,3,1,1,2,48.561065673828125,2668,444,02,03
Float16_b,HiFi2,04,1,3,1,1,2,55.3701057434082,6848,1141,02,03
Float16_b,HiFi2,08,1,3,1,1,2,57.58696365356445,15253,2542,02,03
Float16_b,HiFi2,16,1,3,1,1,2,58.52804183959961,32066,5344,02,03
Float16_b,HiFi2,32,1,3,1,1,2,58.96609878540039,65691,10948,02,03
Float16_b,HiFi2,01,1,4,1,1,2,5.24714469909668,1219,152,02,04
Float16_b,HiFi2,02,1,4,1,1,2,48.5714111328125,3557,444,02,04
Float16_b,HiFi2,04,1,4,1,1,2,55.050437927246094,9184,1148,02,04
Float16_b,HiFi2,08,1,4,1,1,2,57.483970642089844,20374,2546,02,04
Float16_b,HiFi2,16,1,4,1,1,2,58.45268249511719,42810,5351,02,04
Float16_b,HiFi2,01,1,5,1,1,2,5.365723609924316,1490,149,02,05
Float16_b,HiFi2,02,1,5,1,1,2,48.27363586425781,4474,447,02,05
Float16_b,HiFi2,04,1,5,1,1,2,55.31036376953125,11426,1142,02,05
Float16_b,HiFi2,08,1,5,1,1,2,57.56575012207031,25431,2543,02,05
Float16_b,HiFi2,16,1,5,1,1,2,58.49609375,53473,5347,02,05
Float16_b,HiFi2,01,1,6,1,1,2,5.870661735534668,1635,136,02,06
Float16_b,HiFi2,02,1,6,1,1,2,47.435672760009766,5464,455,02,06
Float16_b,HiFi2,04,1,6,1,1,2,54.77428436279297,13845,1153,02,06
Float16_b,HiFi2,08,1,6,1,1,2,57.348876953125,30633,2552,02,06
Float16_b,HiFi2,16,1,6,1,1,2,58.41007995605469,64262,5355,02,06
Float16_b,HiFi2,01,1,1,1,1,3,5.561287879943848,431,143,03,01
Float16_b,HiFi2,02,1,1,1,1,3,39.47139358520508,1641,547,03,01
Float16_b,HiFi2,04,1,1,1,1,3,44.720855712890625,4239,1413,03,01
Float16_b,HiFi2,08,1,1,1,1,3,46.56573486328125,9431,3143,03,01
Float16_b,HiFi2,16,1,1,1,1,3,47.34318542480469,19821,6607,03,01
Float16_b,HiFi2,32,1,1,1,1,3,47.71271514892578,40592,13530,03,01
Float16_b,HiFi2,01,1,2,1,1,3,6.147319316864014,780,130,03,02
Float16_b,HiFi2,02,1,2,1,1,3,47.874080657958984,2707,451,03,02
Float16_b,HiFi2,04,1,2,1,1,3,55.033538818359375,6890,1148,03,02
Float16_b,HiFi2,08,1,2,1,1,3,57.563079833984375,15259,2543,03,02
Float16_b,HiFi2,16,1,2,1,1,3,58.68156051635742,31982,5330,03,02
