input0_df,math_fidelity,z,t,mblock_m,mblock_n,ublock_rt,ublock_ct,math_utilization,runtime,tile_runtime,ublock_size,blocks
Bfp8_b,LoFi,01,1,1,1,1,1,2.689640522003174,297,297,01,01
Bfp8_b,LoFi,02,1,1,1,1,1,30.803855895996094,701,701,01,01
Bfp8_b,LoFi,04,1,1,1,1,1,37.849090576171875,1669,1669,01,01
Bfp8_b,LoFi,08,1,1,1,1,1,41.971351623535156,3488,3488,01,01
Bfp8_b,LoFi,16,1,1,1,1,1,43.28428649902344,7226,7226,01,01
Bfp8_b,LoFi,32,1,1,1,1,1,43.93088150024414,14695,14695,01,01
Bfp8_b,LoFi,01,1,2,1,1,1,2.9928393363952637,534,267,01,02
Bfp8_b,LoFi,02,1,2,1,1,1,42.66008377075195,1012,506,01,02
Bfp8_b,LoFi,04,1,2,1,1,1,53.087459564208984,2380,1190,01,02
Bfp8_b,LoFi,08,1,2,1,1,1,58.0340690612793,5045,2522,01,02
Bfp8_b,LoFi,16,1,2,1,1,1,60.28086471557617,10378,5189,01,02
Bfp8_b,LoFi,32,1,2,1,1,1,61.364261627197266,21041,10520,01,02
Bfp8_b,LoFi,01,1,3,1,1,1,3.1451239585876465,763,254,01,03
Bfp8_b,LoFi,02,1,3,1,1,1,47.700218200683594,1358,452,01,03
Bfp8_b,LoFi,04,1,3,1,1,1,55.818443298339844,3396,1132,01,03
Bfp8_b,LoFi,08,1,3,1,1,1,59.380126953125,7396,2465,01,03
Bfp8_b,LoFi,16,1,3,1,1,1,60.95219421386719,15395,5131,01,03
Bfp8_b,LoFi,32,1,3,1,1,1,61.6933479309082,31393,10464,01,03
Bfp8_b,LoFi,01,1,4,1,1,1,3.280421733856201,975,243,01,04
Bfp8_b,LoFi,02,1,4,1,1,1,48.39425277709961,1785,446,01,04
Bfp8_b,LoFi,04,1,4,1,1,1,56.230003356933594,4495,1123,01,04
Bfp8_b,LoFi,08,1,4,1,1,1,59.58282470703125,9828,2457,01,04
Bfp8_b,LoFi,16,1,4,1,1,1,61.0584602355957,20491,5122,01,04
Bfp8_b,LoFi,32,1,4,1,1,1,61.75456237792969,41817,10454,01,04
Bfp8_b,LoFi,01,1,5,1,1,1,3.278310537338257,1220,244,01,05
Bfp8_b,LoFi,02,1,5,1,1,1,48.71842956542969,2216,443,01,05
Bfp8_b,LoFi,04,1,5,1,1,1,56.451171875,5597,1119,01,05
Bfp8_b,LoFi,08,1,5,1,1,1,59.69430160522461,12262,2452,01,05
Bfp8_b,LoFi,16,1,5,1,1,1,61.11280822753906,25592,5118,01,05
Bfp8_b,LoFi,32,1,5,1,1,1,61.782962799072266,52247,10449,01,05
Bfp8_b,LoFi,01,1,6,1,1,1,3.350949764251709,1432,238,01,06
Bfp8_b,LoFi,02,1,6,1,1,1,48.91705322265625,2649,441,01,06
Bfp8_b,LoFi,04,1,6,1,1,1,56.57102584838867,6703,1117,01,06
Bfp8_b,LoFi,08,1,6,1,1,1,59.755069732666016,14700,2450,01,06
Bfp8_b,LoFi,16,1,6,1,1,1,61.136634826660156,30698,5116,01,06
Bfp8_b,LoFi,32,1,6,1,1,1,61.788875579833984,62690,10448,01,06
Bfp8_b,LoFi,01,1,1,1,1,2,4.274949550628662,374,187,02,01
Bfp8_b,LoFi,02,1,1,1,1,2,40.75291442871094,1060,530,02,01
Bfp8_b,LoFi,04,1,1,1,1,2,46.88631057739258,2695,1347,02,01
Bfp8_b,LoFi,08,1,1,1,1,2,49.12725830078125,5960,2980,02,01
Bfp8_b,LoFi,16,1,1,1,1,2,50.112770080566406,12483,6241,02,01
Bfp8_b,LoFi,32,1,1,1,1,2,50.578887939453125,25528,12764,02,01
Bfp8_b,LoFi,01,1,2,1,1,2,5.128783226013184,623,155,02,02
Bfp8_b,LoFi,02,1,2,1,1,2,50.064964294433594,1725,431,02,02
Bfp8_b,LoFi,04,1,2,1,1,2,57.938880920410156,4363,1090,02,02
Bfp8_b,LoFi,08,1,2,1,1,2,60.9201774597168,9612,2403,02,02
Bfp8_b,LoFi,16,1,2,1,1,2,62.24919128417969,20099,5024,02,02
Bfp8_b,LoFi,32,1,2,1,1,2,62.82229995727539,41106,10276,02,02
Bfp8_b,LoFi,01,1,3,1,1,2,5.590740203857422,858,143,02,03
Bfp8_b,LoFi,02,1,3,1,1,2,53.69464874267578,2413,402,02,03
