Test-ID,Unary-Type,Vector-Mode,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,nop,rc,HiFi4,Int8,1,1,1,4,4,1,1,r,2,Int8,1,1,1,4,4,1,1,r,2,0,127,2.410719871520996,679631,3.1884740201847297,N/A,3.181501025266176,3.182150313920348,N/A,3.182150313920348
1,nop,rc,HiFi4,Int8,1,1,1,2,2,1,1,r,2,Int8,1,1,1,2,2,1,1,r,2,0,127,2.1978023052215576,186368,2.9222916473734957,N/A,2.9027943118114328,2.901098901098901,N/A,2.901098901098901
2,nop,rc,HiFi4,Int8,1,1,1,4,4,4,1,r,2,Int8,1,1,1,4,4,4,1,r,2,0,127,7.604522228240967,861803,10.04561930387784,N/A,10.038029857379264,10.037969234268157,N/A,10.037969234268157
3,nop,rc,HiFi4,Int8,1,1,1,2,4,4,1,r,2,Int8,1,1,1,2,4,4,1,r,2,0,127,7.489006996154785,437548,9.900350190782461,N/A,9.889832441886993,9.885489134906342,N/A,9.885489134906342
4,nop,rc,HiFi4,Int8,1,1,1,4,2,4,1,r,2,Int8,1,1,1,4,2,4,1,r,2,0,127,7.116176128387451,460472,9.404006074191916,N/A,9.38919263056334,9.393352907451485,N/A,9.393352907451485
5,nop,rc,HiFi4,Int8,1,1,1,2,2,4,1,r,2,Int8,1,1,1,2,2,4,1,r,2,0,127,6.944991588592529,235911,9.190395833511792,N/A,9.170639143534842,9.167389396848812,N/A,9.167389396848812
6,nop,rc,HiFi4,Int8,1,1,1,2,4,1,2,r,2,Int8,1,1,1,2,4,1,2,r,2,0,127,4.184512615203857,391539,5.5325448821577465,N/A,5.517947926711669,5.523557040294836,N/A,5.523557040294836
7,nop,rc,HiFi4,Int8,1,1,1,2,4,1,4,r,2,Int8,1,1,1,2,4,1,4,r,2,0,127,7.472475528717041,438516,9.878791227004033,N/A,9.86763850407551,9.863667460252305,N/A,9.863667460252305
8,nop,rc,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,2,4,2,2,r,2,0,127,7.447070121765137,440012,9.844505054629453,N/A,9.833880222177411,9.830131905493486,N/A,9.830131905493486
9,nop,rc,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,0,127,6.902565956115723,237361,9.13417816353722,N/A,9.11477833140061,9.111387296143848,N/A,9.111387296143848
10,nop,rc,HiFi4,Int8,1,1,1,2,2,1,2,r,2,Int8,1,1,1,2,2,1,2,r,2,0,127,4.151190280914307,197341,5.501889695136022,N/A,5.482714743442334,5.479570895049686,N/A,5.479570895049686
11,nop,rc,HiFi4,Int8,1,1,1,4,2,1,2,r,2,Int8,1,1,1,4,2,1,2,r,2,0,127,4.218038558959961,388427,5.577150699030792,N/A,5.562663804702021,5.567810682573559,N/A,5.567810682573559
12,nop,rc,HiFi4,Int8,1,1,1,4,4,1,2,r,2,Int8,1,1,1,4,4,1,2,r,2,0,127,4.509461402893066,726650,5.9580425405490205,N/A,5.950797167966854,5.952488818550885,N/A,5.952488818550885
13,nop,rc,HiFi4,Int8,1,1,1,4,4,2,2,r,2,Int8,1,1,1,4,4,2,2,r,2,0,127,7.598552703857422,862480,10.037337275061862,N/A,10.030651143983714,10.030089973100825,N/A,10.030089973100825
14,nop,rc,HiFi4,Int8,1,1,1,4,2,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,0,127,7.110586643218994,460834,9.396058615019825,N/A,9.386030256041257,9.385974125173055,N/A,9.385974125173055
15,nop,rc,HiFi4,Int8,1,1,1,2,2,2,1,r,2,Int8,1,1,1,2,2,2,1,r,2,0,127,4.272162437438965,191753,5.6644703497212365,N/A,5.64325689038502,5.6392546661590695,N/A,5.6392546661590695
16,nop,rc,HiFi4,Int8,1,1,1,2,4,2,1,r,2,Int8,1,1,1,2,4,2,1,r,2,0,127,4.191986083984375,390841,5.542605483733485,N/A,5.5279412219325454,5.533421519236723,N/A,5.533421519236723
17,nop,rc,HiFi4,Int8,1,1,1,4,4,2,1,r,2,Int8,1,1,1,4,4,2,1,r,2,0,127,4.657535552978516,703548,6.155473767853608,N/A,6.15114184113552,6.1479472615940916,N/A,6.1479472615940916
18,nop,rc,HiFi4,Int8,1,1,1,4,2,2,1,r,2,Int8,1,1,1,4,2,2,1,r,2,0,127,4.21189022064209,388994,5.5689437705352,N/A,5.554743864208812,5.559695008149226,N/A,5.559695008149226
19,nop,rc,HiFi4,Int8,1,1,1,4,2,1,1,r,2,Int8,1,1,1,4,2,1,1,r,2,0,127,2.2637524604797363,361877,2.9987841588475503,N/A,2.9851673163443317,2.9881534333489004,N/A,2.9881534333489004
20,nop,rc,HiFi4,Int8,1,1,1,2,4,1,1,r,2,Int8,1,1,1,2,4,1,1,r,2,0,127,2.3847436904907227,343517,3.161052529234468,N/A,3.1502303443861446,3.1478616778791153,N/A,3.1478616778791153
21,nop,rc,HiFi4,Int8,1,1,1,2,2,1,4,r,2,Int8,1,1,1,2,2,1,4,r,2,0,127,6.373385906219482,257069,8.427230526340594,N/A,8.40172436070619,8.412869696462817,N/A,8.412869696462817
22,nop,rc,HiFi4,Int8,1,1,1,4,2,1,4,r,2,Int8,1,1,1,4,2,1,4,r,2,0,127,7.450506687164307,439809,9.849362667021634,N/A,9.83784775073814,9.834669140467794,N/A,9.834669140467794
23,nop,rc,HiFi4,Int8,1,1,1,4,4,1,4,r,2,Int8,1,1,1,4,4,1,4,r,2,0,127,7.57928991317749,864672,10.011463443652065,N/A,10.004706770966287,10.004663039857888,N/A,10.004663039857888
