Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,maximum,HiFi4,Int32,1,1,1,4,4,1,1,r,2,Int32,1,1,1,4,4,1,1,r,2,Int32,1,1,1,4,4,1,1,r,2,0,127,29.88494873046875,1315766,6.426093871378469,6.426093871378469,6.424681278028194,6.42526406671095,6.42526406671095,6.42526406671095
1,maximum,HiFi4,Int32,1,1,1,2,2,1,1,r,2,Int32,1,1,1,2,2,1,1,r,2,Int32,1,1,1,2,2,1,1,r,2,0,127,28.65696907043457,343037,6.16604918669066,6.16604918669066,6.160071910746074,6.161247912032813,6.161247912032813,6.161247912032813
2,maximum,HiFi4,Int32,1,1,1,4,4,2,2,r,2,Int32,1,1,1,4,4,2,2,r,2,Int32,1,1,1,4,4,2,2,r,2,0,127,31.416419982910156,5006503,6.755217959589956,6.755217959589956,6.754727016686312,6.754530257946515,6.754530257946515,6.754530257946515
3,maximum,HiFi4,Int32,1,1,1,4,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,0,127,31.362863540649414,2507526,6.744303528778944,6.744303528778944,6.7429535615337715,6.743016024559665,6.743016024559665,6.743016024559665
4,maximum,HiFi4,Int32,1,1,1,2,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,Int32,1,1,1,2,2,2,2,r,2,0,127,31.1433048248291,1262602,6.698077319266574,6.698077319266574,6.69530256626382,6.695810714698694,6.695810714698694,6.695810714698694
5,maximum,HiFi4,Int32,1,1,1,2,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,Int32,1,1,1,2,4,2,2,r,2,0,127,31.370548248291016,2506912,6.746082624089946,6.746082624089946,6.744729232936545,6.744667543176625,6.744667543176625,6.744667543176625
6,maximum,HiFi4,Int32,1,1,1,4,4,2,1,r,2,Int32,1,1,1,4,4,2,1,r,2,Int32,1,1,1,4,4,2,1,r,2,0,127,31.112884521484375,2527673,6.690344216184657,6.690344216184657,6.688247739811961,6.68927032887561,6.68927032887561,6.68927032887561
7,maximum,HiFi4,Int32,1,1,1,2,4,2,1,r,2,Int32,1,1,1,2,4,2,1,r,2,Int32,1,1,1,2,4,2,1,r,2,0,127,30.986312866210938,1268999,6.66437531730501,6.66437531730501,6.661654863833934,6.6620572593043805,6.6620572593043805,6.6620572593043805
8,maximum,HiFi4,Int32,1,1,1,2,4,1,1,r,2,Int32,1,1,1,2,4,1,1,r,2,Int32,1,1,1,2,4,1,1,r,2,0,127,29.015945434570312,677586,6.239750055791118,6.239750055791118,6.236938492355599,6.238428775092756,6.238428775092756,6.238428775092756
9,maximum,HiFi4,Int32,1,1,1,4,2,1,1,r,2,Int32,1,1,1,4,2,1,1,r,2,Int32,1,1,1,4,2,1,1,r,2,0,127,28.340465545654297,693736,6.0932721979114,6.0932721979114,6.091440273632383,6.093199718624953,6.093199718624953,6.093199718624953
10,maximum,HiFi4,Int32,1,1,1,2,2,1,4,r,2,Int32,1,1,1,2,2,1,4,r,2,Int32,1,1,1,2,2,1,4,r,2,0,127,30.812076568603516,1276175,6.62616023622607,6.62616023622607,6.623664404844348,6.624596156483241,6.624596156483241,6.624596156483241
11,maximum,HiFi4,Int32,1,1,1,4,2,1,4,r,2,Int32,1,1,1,4,2,1,4,r,2,Int32,1,1,1,4,2,1,4,r,2,0,127,31.352161407470703,2508382,6.742075559733358,6.742075559733358,6.740818572558801,6.740714930979412,6.740714930979412,6.740714930979412
12,maximum,HiFi4,Int32,1,1,1,4,4,1,4,r,2,Int32,1,1,1,4,4,1,4,r,2,Int32,1,1,1,4,4,1,4,r,2,0,127,31.4148006439209,5006761,6.754771892160028,6.754771892160028,6.7546168703241944,6.754182194836143,6.754182194836143,6.754182194836143
13,maximum,HiFi4,Int32,1,1,1,2,4,1,4,r,2,Int32,1,1,1,2,4,1,4,r,2,Int32,1,1,1,2,4,1,4,r,2,0,127,31.36993408203125,2506961,6.7457571096836455,6.7457571096836455,6.744645172443599,6.744535714755834,6.744535714755834,6.744535714755834
14,maximum,HiFi4,Int32,1,1,1,4,4,1,2,r,2,Int32,1,1,1,4,4,1,2,r,2,Int32,1,1,1,4,4,1,2,r,2,0,127,31.109058380126953,2527984,6.689674587901462,6.689674587901462,6.687701164912773,6.688447395236679,6.688447395236679,6.688447395236679
15,maximum,HiFi4,Int32,1,1,1,2,4,1,2,r,2,Int32,1,1,1,2,4,1,2,r,2,Int32,1,1,1,2,4,1,2,r,2,0,127,30.53644561767578,1287694,6.566728486733998,6.566728486733998,6.564606002930091,6.5653361745880625,6.5653361745880625,6.5653361745880625
16,maximum,HiFi4,Int32,1,1,1,2,2,1,2,r,2,Int32,1,1,1,2,2,1,2,r,2,Int32,1,1,1,2,2,1,2,r,2,0,127,30.052688598632812,654211,6.464764048061286,6.464764048061286,6.459865043658269,6.461328225908766,6.461328225908766,6.461328225908766
17,maximum,HiFi4,Int32,1,1,1,4,2,1,2,r,2,Int32,1,1,1,4,2,1,2,r,2,Int32,1,1,1,4,2,1,2,r,2,0,127,30.49285125732422,1289535,6.557518740858237,6.557518740858237,6.554715778023668,6.555963196035781,6.555963196035781,6.555963196035781
18,maximum,HiFi4,Int32,1,1,1,4,4,4,1,r,2,Int32,1,1,1,4,4,4,1,r,2,Int32,1,1,1,4,4,4,1,r,2,0,127,31.411956787109375,5007214,6.754083867079411,6.754083867079411,6.753714077524311,6.7535711475483176,6.7535711475483176,6.7535711475483176
19,maximum,HiFi4,Int32,1,1,1,2,4,4,1,r,2,Int32,1,1,1,2,4,4,1,r,2,Int32,1,1,1,2,4,4,1,r,2,0,127,31.36678123474121,2507213,6.744954308443037,6.744954308443037,6.743758597430037,6.743857821413657,6.743857821413657,6.743857821413657
20,maximum,HiFi4,Int32,1,1,1,2,2,4,1,r,2,Int32,1,1,1,2,2,4,1,r,2,Int32,1,1,1,2,2,4,1,r,2,0,127,30.815914154052734,1276016,6.627081605081653,6.627081605081653,6.62497225804872,6.625421624807212,6.625421624807212,6.625421624807212
21,maximum,HiFi4,Int32,1,1,1,4,2,4,1,r,2,Int32,1,1,1,4,2,4,1,r,2,Int32,1,1,1,4,2,4,1,r,2,0,127,31.361289978027344,2507652,6.744013429984627,6.744013429984627,6.742815342382064,6.74267721358466,6.74267721358466,6.74267721358466
22,maximum,HiFi4,Int32,1,1,1,4,2,2,1,r,2,Int32,1,1,1,4,2,2,1,r,2,Int32,1,1,1,4,2,2,1,r,2,0,127,30.524974822998047,1288178,6.564492979328501,6.564492979328501,6.561812378747105,6.562869417114715,6.562869417114715,6.562869417114715
23,maximum,HiFi4,Int32,1,1,1,2,2,2,1,r,2,Int32,1,1,1,2,2,2,1,r,2,Int32,1,1,1,2,2,2,1,r,2,0,127,29.315031051635742,670673,6.304080470049948,6.304080470049948,6.301144379290296,6.302731733646651,6.302731733646651,6.302731733646651
