Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,add,HiFi4,Int32,1,1,1,4,4,4,1,r,2,Int32,1,1,1,4,4,4,1,r,2,Int32,1,1,1,4,4,4,1,r,2,0,127,21.823081970214844,4804894,7.038476860160332,7.038476860160332,7.038202241534358,7.037944229362812,7.037944229362812,7.037944229362812
1,add,HiFi4,Int32,1,1,1,2,2,1,1,r,2,Int32,1,1,1,2,2,1,1,r,2,Int32,1,1,1,2,2,1,1,r,2,0,127,18.12840461730957,361510,5.84547712429232,5.84547712429232,5.842822354599812,5.846410887665625,5.846410887665625,5.846410887665625
2,add,HiFi4,Int32,1,1,1,2,4,1,1,r,2,Int32,1,1,1,2,4,1,1,r,2,Int32,1,1,1,2,4,1,1,r,2,0,127,19.521203994750977,671434,6.295185903988257,6.295185903988257,6.293258907470346,6.295588248435438,6.295588248435438,6.295588248435438
3,add,HiFi4,Int32,1,1,1,2,4,1,4,r,2,Int32,1,1,1,2,4,1,4,r,2,Int32,1,1,1,2,4,1,4,r,2,0,127,21.80506706237793,2404432,7.033276036993871,7.033276036993871,7.032279537457694,7.032133992560405,7.032133992560405,7.032133992560405
4,add,HiFi4,Int32,1,1,1,2,4,1,2,r,2,Int32,1,1,1,2,4,1,2,r,2,Int32,1,1,1,2,4,1,2,r,2,0,127,21.622264862060547,1212380,6.974955970470696,6.974955970470696,6.972213702387632,6.973180026064435,6.973180026064435,6.973180026064435
5,add,HiFi4,Int32,1,1,1,2,2,1,4,r,2,Int32,1,1,1,2,2,1,4,r,2,Int32,1,1,1,2,2,1,4,r,2,0,127,21.405067443847656,1224682,6.904538521500707,6.904538521500707,6.9026805596472665,6.903134038060492,6.903134038060492,6.903134038060492
6,add,HiFi4,Int32,1,1,1,4,2,1,4,r,2,Int32,1,1,1,4,2,1,4,r,2,Int32,1,1,1,4,2,1,4,r,2,0,127,21.794097900390625,2405642,7.029801306465408,7.029801306465408,7.027769341330108,7.02859694002682,7.02859694002682,7.02859694002682
7,add,HiFi4,Int32,1,1,1,4,4,1,4,r,2,Int32,1,1,1,4,4,1,4,r,2,Int32,1,1,1,4,4,1,4,r,2,0,127,21.828203201293945,4803767,7.040082183709798,7.040082183709798,7.03974835789342,7.039595384205771,7.039595384205771,7.039595384205771
8,add,HiFi4,Int32,1,1,1,4,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,Int32,1,1,1,4,2,2,2,r,2,0,127,21.805330276489258,2404403,7.033270139716308,7.033270139716308,7.031846236710126,7.032218808577431,7.032218808577431,7.032218808577431
9,add,HiFi4,Int32,1,1,1,4,2,2,1,r,2,Int32,1,1,1,4,2,2,1,r,2,Int32,1,1,1,4,2,2,1,r,2,0,127,21.359405517578125,1227300,6.8894424691321525,6.8894424691321525,6.8871797945528845,6.888408702028844,6.888408702028844,6.888408702028844
