Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,multiply,LoFi,Bfp8_b,1,1,1,4,4,8,1,r,2,Bfp8_b,1,1,1,4,4,8,1,r,2,Bfp8_b,1,1,1,4,4,8,1,r,2,0,127,9.514704704284668,1377573,13.301169048060865,13.301169048060865,13.319657679460036,13.320586277460432,13.320586277460432,13.320586277460432
1,multiply,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,2.51977801322937,162554,3.559292345419513,3.559292345419513,3.533496047050348,3.527689260184308,3.527689260184308,3.527689260184308
2,multiply,LoFi,Bfp8_b,1,1,1,2,7,2,4,r,2,Bfp8_b,1,1,1,2,7,2,4,r,2,Bfp8_b,1,1,1,2,7,2,4,r,2,0,127,9.526863098144531,1203838,13.322718119233832,13.322718119233832,13.332485279004295,13.33760854865854,13.33760854865854,13.33760854865854
3,multiply,LoFi,Bfp8_b,1,1,1,4,7,2,4,r,2,Bfp8_b,1,1,1,4,7,2,4,r,2,Bfp8_b,1,1,1,4,7,2,4,r,2,0,127,9.480199813842773,2419527,13.25521536455029,13.25521536455029,13.27418467845418,13.272280077882991,13.272280077882991,13.272280077882991
4,multiply,LoFi,Bfp8_b,1,1,1,4,4,2,4,r,2,Bfp8_b,1,1,1,4,4,2,4,r,2,Bfp8_b,1,1,1,4,4,2,4,r,2,0,127,9.501874923706055,1379433,13.283245285276434,13.283245285276434,13.302724006061466,13.302625064066177,13.302625064066177,13.302625064066177
5,multiply,LoFi,Bfp8_b,1,1,1,7,4,2,4,r,2,Bfp8_b,1,1,1,7,4,2,4,r,2,Bfp8_b,1,1,1,7,4,2,4,r,2,0,127,9.483597755432129,2418660,13.2572394842528,13.2572394842528,13.279108440061849,13.27703769856036,13.27703769856036,13.27703769856036
6,multiply,LoFi,Bfp8_b,1,1,1,7,2,2,4,r,2,Bfp8_b,1,1,1,7,2,2,4,r,2,Bfp8_b,1,1,1,7,2,2,4,r,2,0,127,9.391717910766602,1221161,13.13009865574338,13.13009865574338,13.144919476344578,13.148405492805617,13.148405492805617,13.148405492805617
7,multiply,LoFi,Bfp8_b,1,1,1,2,2,2,4,r,2,Bfp8_b,1,1,1,2,2,2,4,r,2,Bfp8_b,1,1,1,2,2,2,4,r,2,0,127,9.72459602355957,336960,13.627213230583148,13.627213230583148,13.613396619740215,13.614434947768281,13.614434947768281,13.614434947768281
8,multiply,LoFi,Bfp8_b,1,1,1,2,4,2,4,r,2,Bfp8_b,1,1,1,2,4,2,4,r,2,Bfp8_b,1,1,1,2,4,2,4,r,2,0,127,9.528005599975586,687825,13.325077761920445,13.325077761920445,13.326443226151177,13.33920692036492,13.33920692036492,13.33920692036492
9,multiply,LoFi,Bfp8_b,1,1,1,4,2,2,4,r,2,Bfp8_b,1,1,1,4,2,2,4,r,2,Bfp8_b,1,1,1,4,2,2,4,r,2,0,127,9.435274124145508,694585,13.194384455504956,13.194384455504956,13.201234367386714,13.209384020674216,13.209384020674216,13.209384020674216
