Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,maximum,HiFi4,Int8,1,1,1,4,4,1,1,r,2,Int8,1,1,1,4,4,1,1,r,2,Int8,1,1,1,4,4,1,1,r,2,0,127,51.80043411254883,822356,2.630891573710113,2.630891573710113,2.6296760626036315,2.629868329531249,2.629868329531249,2.629868329531249
1,maximum,HiFi4,Int8,1,1,1,2,2,1,1,r,2,Int8,1,1,1,2,2,1,1,r,2,Int8,1,1,1,2,2,1,1,r,2,0,127,44.48361587524414,239405,2.261003704780811,2.261003704780811,2.256353312302839,2.2583989473904054,2.2583989473904054,2.2583989473904054
2,maximum,HiFi4,Int8,1,1,1,2,4,2,1,r,2,Int8,1,1,1,2,4,2,1,r,2,Int8,1,1,1,2,4,2,1,r,2,0,127,59.816776275634766,712148,3.0392664261645868,3.0392664261645868,3.0373692077727954,3.036851890337402,3.036851890337402,3.036851890337402
3,maximum,HiFi4,Int8,1,1,1,4,4,2,1,r,2,Int8,1,1,1,4,4,2,1,r,2,Int8,1,1,1,4,4,2,1,r,2,0,127,59.09451675415039,1441704,3.000990171014282,3.000990171014282,3.0000608179383557,3.000183116645303,3.000183116645303,3.000183116645303
4,maximum,HiFi4,Int8,1,1,1,4,2,2,1,r,2,Int8,1,1,1,4,2,2,1,r,2,Int8,1,1,1,4,2,2,1,r,2,0,127,57.47438049316406,741172,2.919202623999913,2.919202623999913,2.9174998980271654,2.9179299811649657,2.9179299811649657,2.9179299811649657
5,maximum,HiFi4,Int8,1,1,1,2,2,2,1,r,2,Int8,1,1,1,2,2,2,1,r,2,Int8,1,1,1,2,2,2,1,r,2,0,127,59.39493179321289,358603,3.0201919260445727,3.0201919260445727,3.016421833926086,3.015434895971311,3.015434895971311,3.015434895971311
6,maximum,HiFi4,Int8,1,1,1,4,4,4,1,r,2,Int8,1,1,1,4,4,4,1,r,2,Int8,1,1,1,4,4,4,1,r,2,0,127,59.316688537597656,2872608,3.0121219480183132,3.0121219480183132,3.011561813175246,3.0114627544029675,3.0114627544029675,3.0114627544029675
7,maximum,HiFi4,Int8,1,1,1,4,2,4,1,r,2,Int8,1,1,1,4,2,4,1,r,2,Int8,1,1,1,4,2,4,1,r,2,0,127,59.065425872802734,1442414,2.999943378618788,2.999943378618788,2.9988847427780807,2.998706335351709,2.998706335351709,2.998706335351709
8,maximum,HiFi4,Int8,1,1,1,4,2,1,1,r,2,Int8,1,1,1,4,2,1,1,r,2,Int8,1,1,1,4,2,1,1,r,2,0,127,48.983158111572266,434827,2.488434500049866,2.488434500049866,2.4855866020150725,2.4868372939122914,2.4868372939122914,2.4868372939122914
9,maximum,HiFi4,Int8,1,1,1,4,4,1,2,r,2,Int8,1,1,1,4,4,1,2,r,2,Int8,1,1,1,4,4,1,2,r,2,0,127,59.36294174194336,1435185,3.014688547990317,3.014688547990317,3.013752808988764,3.0138107630723567,3.0138107630723567,3.0138107630723567
