Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,sigmoid,HiFi4,Float16_b,1,1,1,4,2,1,8,r,2,Float16_b,1,1,1,4,2,1,8,r,2,0,127,49.668006896972656,2243118,7.60107724609858,N/A,7.597910581780644,7.596283387677332,N/A,7.596283387677332
1,sigmoid,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,38.53266906738281,180709,3.197949571141113,N/A,3.175389835805735,3.173278586013978,N/A,3.173278586013978
2,sigmoid,LoFi,Bfp8_b,1,1,1,4,2,4,1,r,2,Bfp8_b,1,1,1,4,2,4,1,r,2,0,127,50.216983795166016,1109298,4.1397312077823685,N/A,4.136375491524468,4.1355163355563604,N/A,4.1355163355563604
3,sigmoid,HiFi4,Float16_b,1,1,1,4,2,4,1,r,2,Float16_b,1,1,1,4,2,4,1,r,2,0,127,49.487937927246094,1125640,7.577039914021134,N/A,7.570830549430472,7.568743115027895,N/A,7.568743115027895
4,sigmoid,HiFi4,Float16_b,1,1,1,4,2,4,2,r,2,Float16_b,1,1,1,4,2,4,2,r,2,0,127,49.66789627075195,2243123,7.601060158843986,N/A,7.597910581780644,7.596266455294694,N/A,7.596266455294694
5,sigmoid,HiFi4,Float16_b,1,1,1,4,7,4,1,r,2,Float16_b,1,1,1,4,7,4,1,r,2,0,127,49.50028610229492,3938757,7.573002911362402,N/A,7.571212221248073,7.570632054731988,N/A,7.570632054731988
6,sigmoid,HiFi4,Float16_b,1,1,1,4,4,4,1,r,2,Float16_b,1,1,1,4,4,4,1,r,2,0,127,49.503108978271484,2250590,7.575189612288964,N/A,7.5721326542129415,7.571063587770318,N/A,7.571063587770318
7,sigmoid,LoFi,Bfp8_b,1,1,1,4,4,4,1,r,2,Bfp8_b,1,1,1,4,4,4,1,r,2,0,127,50.357826232910156,2212391,4.1493052706809825,N/A,4.147603843181852,4.1471150443117875,N/A,4.1471150443117875
8,sigmoid,LoFi,Bfp8_b,1,1,1,4,7,4,1,r,2,Bfp8_b,1,1,1,4,7,4,1,r,2,0,127,50.36088943481445,3871449,4.148623451839043,N/A,4.147658915164623,4.147367045258765,N/A,4.147367045258765
9,sigmoid,LoFi,Bfp8_b,1,1,1,2,7,4,1,r,2,Bfp8_b,1,1,1,2,7,4,1,r,2,0,127,50.35702133178711,1935873,4.149531152323401,N/A,4.147640557674533,4.147048902484822,N/A,4.147048902484822
