Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,multiply,HiFi4,Int8,1,1,1,2,2,2,1,r,2,Int8,1,1,1,2,2,2,1,r,2,Int8,1,1,1,2,2,2,1,r,2,0,127,14.787870407104492,221587,4.897167765935595,4.897167765935595,4.872879546909986,4.87999747277593,4.87999747277593,4.87999747277593
1,multiply,HiFi4,Int8,1,1,1,2,2,1,1,r,2,Int8,1,1,1,2,2,1,1,r,2,Int8,1,1,1,2,2,1,1,r,2,0,127,8.857316970825195,184977,2.9431664188644255,2.9431664188644255,2.922896699776062,2.922914740751553,2.922914740751553,2.922914740751553
2,multiply,HiFi4,Int8,1,1,1,2,4,1,1,r,2,Int8,1,1,1,2,4,1,1,r,2,Int8,1,1,1,2,4,1,1,r,2,0,127,9.107155799865723,359805,3.015133333520685,3.015133333520685,3.003518908886295,3.0053612373368908,3.0053612373368908,3.0053612373368908
3,multiply,HiFi4,Int8,1,1,1,2,4,1,4,r,2,Int8,1,1,1,2,4,1,4,r,2,Int8,1,1,1,2,4,1,4,r,2,0,127,28.51988983154297,459581,9.416737613551586,9.416737613551586,9.412854661262305,9.411564011567059,9.411564011567059,9.411564011567059
4,multiply,HiFi4,Int8,1,1,1,2,2,1,4,r,2,Int8,1,1,1,2,2,1,4,r,2,Int8,1,1,1,2,2,1,4,r,2,0,127,27.751970291137695,236149,9.170051282051283,9.170051282051283,9.160733954354118,9.15815015096401,9.15815015096401,9.15815015096401
5,multiply,HiFi4,Int8,1,1,1,4,2,1,4,r,2,Int8,1,1,1,4,2,1,4,r,2,Int8,1,1,1,4,2,1,4,r,2,0,127,28.416324615478516,461256,9.383895831283414,9.383895831283414,9.380388453921915,9.377386960820022,9.377386960820022,9.377386960820022
6,multiply,HiFi4,Int8,1,1,1,4,4,1,4,r,2,Int8,1,1,1,4,4,1,4,r,2,Int8,1,1,1,4,4,1,4,r,2,0,127,30.258405685424805,866351,9.992337378852703,9.992337378852703,9.991023038384892,9.9852738670585,9.9852738670585,9.9852738670585
7,multiply,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,2,4,2,2,r,2,Int8,1,1,1,2,4,2,2,r,2,0,127,28.431364059448242,461012,9.3915555341582,9.3915555341582,9.387549572685096,9.38235013405291,9.38235013405291,9.38235013405291
8,multiply,HiFi4,Int8,1,1,1,2,4,2,1,r,2,Int8,1,1,1,2,4,2,1,r,2,Int8,1,1,1,2,4,2,1,r,2,0,127,16.858264923095703,388747,5.57425307899529,5.57425307899529,5.56380325148443,5.563227497575544,5.563227497575544,5.563227497575544
9,multiply,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,Int8,1,1,1,2,2,2,2,r,2,0,127,25.665870666503906,255343,8.485080469769464,8.485080469769464,8.480519788480235,8.469736785421961,8.469736785421961,8.469736785421961
10,multiply,HiFi4,Int8,1,1,1,2,2,1,2,r,2,Int8,1,1,1,2,2,1,2,r,2,Int8,1,1,1,2,2,1,2,r,2,0,127,16.28879165649414,201169,5.400039258517337,5.400039258517337,5.37412655717012,5.375301363530166,5.375301363530166,5.375301363530166
