Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,reciprocal,LoFi,Bfp8_b,1,1,1,4,2,2,4,r,2,Bfp8_b,1,1,1,4,2,2,4,r,2,0,127,78.86775970458984,6398396,1.434702122354779,N/A,1.4340410523110494,1.4339593860711342,N/A,1.4339593860711342
1,reciprocal,LoFi,Bfp8_b,1,1,1,7,2,1,1,r,2,Bfp8_b,1,1,1,7,2,1,1,r,2,0,127,78.16239929199219,1412280,1.4242617135255369,N/A,1.4212782054164392,1.4211346191973262,N/A,1.4211346191973262
2,reciprocal,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,78.13695526123047,403640,1.4316592562397306,N/A,1.4211742372203975,1.4206718858388663,N/A,1.4206718858388663
3,reciprocal,LoFi,Bfp8_b,1,1,1,2,2,1,2,r,2,Bfp8_b,1,1,1,2,2,1,2,r,2,0,127,78.54511260986328,803085,1.4337174067797678,N/A,1.4283795539075455,1.428092916690014,N/A,1.428092916690014
4,reciprocal,LoFi,Bfp8_b,1,1,1,2,2,1,4,r,2,Bfp8_b,1,1,1,2,2,1,4,r,2,0,127,78.75590515136719,1601871,1.4348147344901763,N/A,1.4321574678481328,1.4319255420692427,N/A,1.4319255420692427
5,reciprocal,LoFi,Bfp8_b,1,1,1,2,2,1,8,r,2,Bfp8_b,1,1,1,2,2,1,8,r,2,0,127,78.8631820678711,3199384,1.4353567862902437,N/A,1.434032693959311,1.4338760211340682,N/A,1.4338760211340682
6,reciprocal,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,75.9123764038086,830937,2.5726622978998996,N/A,2.563390942348934,2.5632749534561587,N/A,2.5632749534561587
7,reciprocal,HiFi4,Float16_b,1,1,1,7,2,1,2,r,2,Float16_b,1,1,1,7,2,1,2,r,2,0,127,78.15736389160156,2824742,2.6420812362251698,N/A,2.639283086490502,2.6390799584528426,N/A,2.6390799584528426
8,reciprocal,HiFi4,Float16_b,1,1,1,4,2,1,2,r,2,Float16_b,1,1,1,4,2,1,2,r,2,0,127,78.14193725585938,1614457,2.6438323859709043,N/A,2.6389231423374913,2.638558970601261,N/A,2.638558970601261
9,reciprocal,HiFi4,Float16_b,1,1,1,7,2,1,4,r,2,Float16_b,1,1,1,7,2,1,4,r,2,0,127,78.35795593261719,5635022,2.647407276962537,N/A,2.6460093856404994,2.645853024176303,N/A,2.645853024176303
10,reciprocal,HiFi4,Float16_b,1,1,1,7,2,1,8,r,2,Float16_b,1,1,1,7,2,1,8,r,2,0,127,78.45507049560547,11256093,2.649950182306604,N/A,2.6492409312322853,2.6491323410352066,N/A,2.6491323410352066
11,reciprocal,HiFi4,Float16_b,1,1,1,7,2,1,1,r,2,Float16_b,1,1,1,7,2,1,1,r,2,0,127,77.75373077392578,1419703,2.6312572794223845,N/A,2.6257796774434037,2.62545053437233,N/A,2.62545053437233
12,reciprocal,HiFi4,Float16_b,1,1,1,4,2,1,4,r,2,Float16_b,1,1,1,4,2,1,4,r,2,0,127,78.35546112060547,3220115,2.6484810849187546,N/A,2.646027134148823,2.645768862292185,N/A,2.645768862292185
13,reciprocal,HiFi4,Float16_b,1,1,1,4,2,1,8,r,2,Float16_b,1,1,1,4,2,1,8,r,2,0,127,78.45084381103516,6432400,2.650421763187409,N/A,2.6491949106594967,2.6489894907033147,N/A,2.6489894907033147
14,reciprocal,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,78.34113311767578,1610352,2.650713484298203,N/A,2.6458498963960864,2.645285006011108,N/A,2.645285006011108
15,reciprocal,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,78.44623565673828,3216389,2.6516880155943268,N/A,2.649255520562074,2.6488338319774134,N/A,2.6488338319774134
16,reciprocal,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,76.99887084960938,409606,2.619790246200382,N/A,2.600838360790511,2.5999619146203914,N/A,2.5999619146203914
17,reciprocal,HiFi4,Float16_b,1,1,1,4,2,1,1,r,2,Float16_b,1,1,1,4,2,1,1,r,2,0,127,77.74518585205078,811348,2.6353279195514676,N/A,2.6256981157862693,2.625162075952612,N/A,2.625162075952612
18,reciprocal,LoFi,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,0,127,78.15496063232422,807094,1.4264690028305742,N/A,1.4212541138706918,1.4209992888065084,N/A,1.4209992888065084
19,reciprocal,LoFi,Bfp8_b,1,1,1,7,2,1,4,r,2,Bfp8_b,1,1,1,7,2,1,4,r,2,0,127,78.76683807373047,5605770,1.4329480328230413,N/A,1.432192874528315,1.4321244003945934,N/A,1.4321244003945934
20,reciprocal,LoFi,Bfp8_b,1,1,1,7,2,1,2,r,2,Bfp8_b,1,1,1,7,2,1,2,r,2,0,127,78.56100463867188,2810229,1.4299876164347756,N/A,1.4284689523776732,1.4283818151474488,N/A,1.4283818151474488
21,reciprocal,LoFi,Bfp8_b,1,1,1,7,2,1,8,r,2,Bfp8_b,1,1,1,7,2,1,8,r,2,0,127,78.86969757080078,11196918,1.4344213474045926,N/A,1.4340422463692515,1.4339946045867265,N/A,1.4339946045867265
22,reciprocal,LoFi,Bfp8_b,1,1,1,4,2,1,4,r,2,Bfp8_b,1,1,1,4,2,1,4,r,2,0,127,78.76392364501953,3203416,1.4335119575333168,N/A,1.4321849561551312,1.4320712639257593,N/A,1.4320712639257593
23,reciprocal,LoFi,Bfp8_b,1,1,1,4,2,1,2,r,2,Bfp8_b,1,1,1,4,2,1,2,r,2,0,127,78.55689239501953,1605929,1.4311118936526102,N/A,1.428460242579142,1.4283072290244463,N/A,1.4283072290244463
24,reciprocal,LoFi,Bfp8_b,1,1,1,4,2,1,8,r,2,Bfp8_b,1,1,1,4,2,1,8,r,2,0,127,78.86788940429688,6398386,1.4347012179111966,N/A,1.4340406005057618,1.433961627197859,N/A,1.433961627197859
25,reciprocal,HiFi4,Float16_b,1,1,1,7,2,2,4,r,2,Float16_b,1,1,1,7,2,2,4,r,2,0,127,78.45453643798828,11256170,2.6499326184783545,N/A,2.649230730658128,2.649114219134928,N/A,2.649114219134928
26,reciprocal,HiFi4,Float16_b,1,1,1,7,2,2,2,r,2,Float16_b,1,1,1,7,2,2,2,r,2,0,127,78.3586654663086,5634971,2.6474271763170147,N/A,2.6460287906884146,2.6458769707954133,N/A,2.6458769707954133
27,reciprocal,HiFi4,Float16_b,1,1,1,7,2,4,2,r,2,Float16_b,1,1,1,7,2,4,2,r,2,0,127,78.45455932617188,11256167,2.6499335678685236,N/A,2.649231916767366,2.649114925178349,N/A,2.649114925178349
