Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,power,HiFi4,Float16_b,1,1,1,4,2,1,2,r,2,Float16_b,1,1,1,4,2,1,2,r,2,0,127,47.40708923339844,449283,9.498250494962729,N/A,9.483906869872728,9.481418170729807,N/A,9.481418170729807
1,power,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,30.657800674438477,173685,6.185149413176457,N/A,6.137760377336571,6.1315600080605694,N/A,6.1315600080605694
2,power,HiFi4,Float16_b,1,1,1,2,4,1,1,r,2,Float16_b,1,1,1,2,4,1,1,r,2,0,127,32.03445816040039,332442,6.435294726680858,N/A,6.410911363374368,6.406892029286311,N/A,6.406892029286311
3,power,HiFi4,Float16_b,1,1,1,7,4,1,1,r,2,Float16_b,1,1,1,7,4,1,1,r,2,0,127,33.0976676940918,1126170,6.62886415922581,N/A,6.623521647283646,6.619533462976283,N/A,6.619533462976283
4,power,HiFi4,Float16_b,1,1,1,4,4,1,1,r,2,Float16_b,1,1,1,4,4,1,1,r,2,0,127,32.2313232421875,660823,6.461296215612985,N/A,6.449376205473767,6.4462647335216845,N/A,6.4462647335216845
5,power,HiFi4,Float16_b,1,1,1,4,7,1,1,r,2,Float16_b,1,1,1,4,7,1,1,r,2,0,127,32.94420623779297,1131416,6.597879288766938,N/A,6.592040155717484,6.588840886110856,N/A,6.588840886110856
6,power,HiFi4,Float16_b,1,1,1,4,2,1,1,r,2,Float16_b,1,1,1,4,2,1,1,r,2,0,127,30.710491180419922,346774,6.166451710795842,N/A,6.1443810930490175,6.142098311868825,N/A,6.142098311868825
7,power,HiFi4,Float16_b,1,1,1,7,2,1,1,r,2,Float16_b,1,1,1,7,2,1,1,r,2,0,127,32.77088165283203,568700,6.571681409639025,N/A,6.558198013516317,6.554176191313522,N/A,6.554176191313522
8,power,HiFi4,Float16_b,1,1,1,7,7,1,1,r,2,Float16_b,1,1,1,7,7,1,1,r,2,0,127,33.17544937133789,1966177,6.640771578541793,N/A,6.638132191954345,6.635089312915368,N/A,6.635089312915368
9,power,HiFi4,Float16_b,1,1,1,2,7,1,1,r,2,Float16_b,1,1,1,2,7,1,1,r,2,0,127,31.988080978393555,582617,6.413941178715006,N/A,6.399889246530302,6.397616272782978,N/A,6.397616272782978
10,power,HiFi4,Float16_b,1,1,1,2,4,1,8,r,2,Float16_b,1,1,1,2,4,1,8,r,2,0,127,49.44841384887695,1722943,9.895491838061808,N/A,9.892347787213973,9.889682943660933,N/A,9.889682943660933
11,power,HiFi4,Float16_b,1,1,1,4,4,1,8,r,2,Float16_b,1,1,1,4,4,1,8,r,2,0,127,49.458160400390625,3445207,9.89443491294209,N/A,9.893586640511982,9.891632055780683,N/A,9.891632055780683
12,power,HiFi4,Float16_b,1,1,1,2,4,2,1,r,2,Float16_b,1,1,1,2,4,2,1,r,2,0,127,46.634117126464844,456730,9.341516944451199,N/A,9.328424751260252,9.326823287281327,N/A,9.326823287281327
13,power,HiFi4,Float16_b,1,1,1,2,4,2,2,r,2,Float16_b,1,1,1,2,4,2,2,r,2,0,127,49.034751892089844,868739,9.817519604563868,N/A,9.810091031895979,9.806950073612443,N/A,9.806950073612443
14,power,HiFi4,Float16_b,1,1,1,2,4,2,4,r,2,Float16_b,1,1,1,2,4,2,4,r,2,0,127,49.41090393066406,1724251,9.88773087225556,N/A,9.885493393489794,9.88218072658795,N/A,9.88218072658795
15,power,HiFi4,Float16_b,1,1,1,2,4,1,4,r,2,Float16_b,1,1,1,2,4,1,4,r,2,0,127,49.351226806640625,863168,9.881362212888723,N/A,9.87373294927592,9.870245421517016,N/A,9.870245421517016
16,power,HiFi4,Float16_b,1,1,1,2,4,4,2,r,2,Float16_b,1,1,1,2,4,4,2,r,2,0,127,49.438114166259766,1723302,9.893905087511184,N/A,9.890252863019661,9.88762271499714,N/A,9.88762271499714
17,power,HiFi4,Float16_b,1,1,1,2,4,4,1,r,2,Float16_b,1,1,1,2,4,4,1,r,2,0,127,49.358089447021484,863048,9.882736963694054,N/A,9.875094041616627,9.871617801095653,N/A,9.871617801095653
18,power,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,49.14585494995117,866775,9.84171743855854,N/A,9.83451536643026,9.829171353580803,N/A,9.829171353580803
19,power,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,48.82270812988281,436256,9.785629116840118,N/A,9.770743897561799,9.764541920340351,N/A,9.764541920340351
20,power,HiFi4,Float16_b,1,1,1,2,7,2,2,r,2,Float16_b,1,1,1,2,7,2,2,r,2,0,127,49.368125915527344,1510027,9.880060430628337,N/A,9.875654406571236,9.873624776245723,N/A,9.873624776245723
21,power,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,49.473655700683594,861032,9.906561113813087,N/A,9.899994261293832,9.894730973993997,N/A,9.894730973993997
22,power,HiFi4,Float16_b,1,1,1,2,7,2,4,r,2,Float16_b,1,1,1,2,7,2,4,r,2,0,127,49.4286003112793,3016359,9.88932390681829,N/A,9.887496257004749,9.885719836398785,N/A,9.885719836398785
23,power,HiFi4,Float16_b,1,1,1,2,7,1,8,r,2,Float16_b,1,1,1,2,7,1,8,r,2,0,127,49.44322204589844,3015467,9.892203908477642,N/A,9.89003135227975,9.88864411383046,N/A,9.88864411383046
24,power,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,48.87990951538086,871491,9.78781594581983,N/A,9.78057935196627,9.775981622300172,N/A,9.775981622300172
25,power,HiFi4,Float16_b,1,1,1,4,2,1,8,r,2,Float16_b,1,1,1,4,2,1,8,r,2,0,127,49.452980041503906,1722784,9.896864729938732,N/A,9.893291371611117,9.890595686981072,N/A,9.890595686981072
26,power,HiFi4,Float16_b,1,1,1,7,2,1,8,r,2,Float16_b,1,1,1,7,2,1,8,r,2,0,127,49.45258331298828,3014896,9.893725596681616,N/A,9.891929392844665,9.890516953155267,N/A,9.890516953155267
27,power,HiFi4,Float16_b,1,1,1,4,7,1,4,r,2,Float16_b,1,1,1,4,7,1,4,r,2,0,127,49.372406005859375,3019792,9.877721714319865,N/A,9.875459919763758,9.87448142123696,N/A,9.87448142123696
28,power,HiFi4,Float16_b,1,1,1,4,7,2,2,r,2,Float16_b,1,1,1,4,7,2,2,r,2,0,127,49.3689079284668,3020006,9.877022623470628,N/A,9.874728190579498,9.87378170771846,N/A,9.87378170771846
29,power,HiFi4,Float16_b,1,1,1,7,7,2,1,r,2,Float16_b,1,1,1,7,7,2,1,r,2,0,127,48.88787841796875,2668506,9.780809382559886,N/A,9.778374748153123,9.77757591701124,N/A,9.77757591701124
30,power,HiFi4,Float16_b,1,1,1,4,7,2,1,r,2,Float16_b,1,1,1,4,7,2,1,r,2,0,127,48.84113311767578,1526320,9.773910400623715,N/A,9.769585618666147,9.76822684627077,N/A,9.76822684627077
31,power,HiFi4,Float16_b,1,1,1,4,7,4,1,r,2,Float16_b,1,1,1,4,7,4,1,r,2,0,127,49.37026596069336,3019923,9.877335883076812,N/A,9.875103929858735,9.874053080161316,N/A,9.874053080161316
32,power,HiFi4,Float16_b,1,1,1,2,7,2,1,r,2,Float16_b,1,1,1,2,7,2,1,r,2,0,127,48.88411331176758,762489,9.788248247532916,N/A,9.779577136102624,9.776823009905717,N/A,9.776823009905717
33,power,HiFi4,Float16_b,1,1,1,2,7,8,1,r,2,Float16_b,1,1,1,2,7,8,1,r,2,0,127,49.454193115234375,3014798,9.893487388494819,N/A,9.892756293332754,9.890838457501962,N/A,9.890838457501962
34,power,HiFi4,Float16_b,1,1,1,2,7,4,1,r,2,Float16_b,1,1,1,2,7,4,1,r,2,0,127,49.36439514160156,1510141,9.879321421749927,N/A,9.874869913440286,9.87287941986874,N/A,9.87287941986874
35,power,HiFi4,Float16_b,1,1,1,2,7,1,2,r,2,Float16_b,1,1,1,2,7,1,2,r,2,0,127,48.76726150512695,764316,9.76487145161844,N/A,9.755984319684284,9.753452760376598,N/A,9.753452760376598
36,power,HiFi4,Float16_b,1,1,1,2,7,1,4,r,2,Float16_b,1,1,1,2,7,1,4,r,2,0,127,49.35916519165039,1510301,9.878318657939337,N/A,9.873736244445883,9.8718334954423,N/A,9.8718334954423
37,power,HiFi4,Float16_b,1,1,1,2,7,4,2,r,2,Float16_b,1,1,1,2,7,4,2,r,2,0,127,49.42681121826172,3016468,9.88892064208301,N/A,9.887089837216475,9.88536261614577,N/A,9.88536261614577
38,power,HiFi4,Float16_b,1,1,1,7,7,1,2,r,2,Float16_b,1,1,1,7,7,1,2,r,2,0,127,48.88331985473633,2668755,9.77988193578171,N/A,9.777370214456697,9.776663650278875,N/A,9.776663650278875
39,power,HiFi4,Float16_b,1,1,1,4,7,1,2,r,2,Float16_b,1,1,1,4,7,1,2,r,2,0,127,48.88610076904297,1524916,9.782940220273815,N/A,9.778536342237137,9.777220515753,N/A,9.777220515753
40,power,HiFi4,Float16_b,1,1,1,4,2,1,4,r,2,Float16_b,1,1,1,4,2,1,4,r,2,0,127,48.77737045288086,873323,9.765483842645434,N/A,9.758302751287447,9.755474205992513,N/A,9.755474205992513
41,power,HiFi4,Float16_b,1,1,1,4,4,1,4,r,2,Float16_b,1,1,1,4,4,1,4,r,2,0,127,49.36540985107422,1725840,9.878717759936425,N/A,9.87480564326676,9.873082093357437,N/A,9.873082093357437
42,power,HiFi4,Float16_b,1,1,1,7,4,1,4,r,2,Float16_b,1,1,1,7,4,1,4,r,2,0,127,49.369384765625,3019977,9.877098463447025,N/A,9.874833658367747,9.873876522900671,N/A,9.873876522900671
43,power,HiFi4,Float16_b,1,1,1,7,2,1,4,r,2,Float16_b,1,1,1,7,2,1,4,r,2,0,127,49.367271423339844,1510053,9.879908660855673,N/A,9.875417067768256,9.873454772779498,N/A,9.873454772779498
44,power,HiFi4,Float16_b,1,1,1,7,2,2,4,r,2,Float16_b,1,1,1,7,2,2,4,r,2,0,127,49.4603271484375,3014424,9.895724350518167,N/A,9.893394755075454,9.892065615188839,N/A,9.892065615188839
