Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
2106,nop,HiFi4,Float16_b,1,1,1,2,8,1,2,r,2,Float16_b,1,1,1,2,8,1,2,r,2,0,127,5.355587005615234,611847,13.936578175954839,N/A,13.929229379990838,13.924526883354826,N/A,13.924526883354826
1548,nop,HiFi4,Float16_b,1,1,1,2,8,1,4,r,2,Float16_b,1,1,1,2,8,1,4,r,2,0,127,5.412119388580322,1210912,14.031215816722025,N/A,14.059734310886535,14.071509738114743,N/A,14.071509738114743
1484,nop,HiFi4,Float16_b,1,1,1,2,8,1,8,r,2,Float16_b,1,1,1,2,8,1,8,r,2,0,127,5.4066162109375,2424289,14.04137770653555,N/A,14.051735351381902,14.057201926007997,N/A,14.057201926007997
920,nop,HiFi4,Float16_b,1,1,1,2,8,2,1,r,2,Float16_b,1,1,1,2,8,2,1,r,2,0,127,5.355088233947754,611904,13.936325432402445,N/A,13.928150678273019,13.923229787679112,N/A,13.923229787679112
2078,nop,HiFi4,Float16_b,1,1,1,2,8,2,2,r,2,Float16_b,1,1,1,2,8,2,2,r,2,0,127,5.418670177459717,1209448,14.047689675601521,N/A,14.077423899639202,14.088542872450903,N/A,14.088542872450903
1574,nop,HiFi4,Float16_b,1,1,1,2,8,2,4,r,2,Float16_b,1,1,1,2,8,2,4,r,2,0,127,5.407102584838867,2424071,14.0443463087594,N/A,14.054235143651514,14.058466109284753,N/A,14.058466109284753
935,nop,HiFi4,Float16_b,1,1,1,2,8,4,1,r,2,Float16_b,1,1,1,2,8,4,1,r,2,0,127,5.44314432144165,1204010,14.112065202057765,N/A,14.14131579453644,14.15217481582379,N/A,14.15217481582379
1520,nop,HiFi4,Float16_b,1,1,1,2,8,4,2,r,2,Float16_b,1,1,1,2,8,4,2,r,2,0,127,5.403451442718506,2425709,14.032974448662006,N/A,14.04325553693965,14.048972898233053,N/A,14.048972898233053
605,nop,HiFi4,Float16_b,1,1,1,2,8,8,1,r,2,Float16_b,1,1,1,2,8,8,1,r,2,0,127,5.407327651977539,2423970,14.040852936901771,N/A,14.053855445022739,14.059051885955684,N/A,14.059051885955684
1218,nop,HiFi4,Float16_b,1,1,1,4,2,1,1,r,2,Float16_b,1,1,1,4,2,1,1,r,2,0,127,2.962834358215332,276492,7.737466269775888,N/A,7.71219408943938,7.7033693560754015,N/A,7.7033693560754015
1645,nop,HiFi4,Float16_b,1,1,1,4,2,1,2,r,2,Float16_b,1,1,1,4,2,1,2,r,2,0,127,5.518244743347168,296906,14.382707647074838,N/A,14.362522385371605,14.347436562413693,N/A,14.347436562413693
1583,nop,HiFi4,Float16_b,1,1,1,4,2,1,4,r,2,Float16_b,1,1,1,4,2,1,4,r,2,0,127,5.549561977386475,590461,14.395150028949967,N/A,14.410782446814858,14.42886151667934,N/A,14.42886151667934
1448,nop,HiFi4,Float16_b,1,1,1,4,2,1,8,r,2,Float16_b,1,1,1,4,2,1,8,r,2,0,127,5.433450698852539,1206158,14.096815212270542,N/A,14.114539372126476,14.12697175660237,N/A,14.12697175660237
1021,nop,HiFi4,Float16_b,1,1,1,4,2,2,1,r,2,Float16_b,1,1,1,4,2,2,1,r,2,0,127,5.587308406829834,293236,14.56545487754026,N/A,14.542651875911806,14.52700214161972,N/A,14.52700214161972
1718,nop,HiFi4,Float16_b,1,1,1,4,2,2,2,r,2,Float16_b,1,1,1,4,2,2,2,r,2,0,127,5.533620834350586,592162,14.353572041071724,N/A,14.36374264236097,14.387414254882954,N/A,14.387414254882954
