Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
2210,tanh,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,41.16519546508789,129352,8.300457976889057,N/A,8.246688883859235,8.233038530521368,N/A,8.233038530521368
2055,tanh,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,46.8188362121582,227464,9.397743595216813,N/A,9.369618614384649,9.363767453311294,N/A,9.363767453311294
2205,tanh,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,48.860679626464844,435917,9.793156820356687,N/A,9.77820346425506,9.772135521211608,N/A,9.772135521211608
2206,tanh,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,49.489173889160156,860762,9.909731633318172,N/A,9.903601471518616,9.897834709245993,N/A,9.897834709245993
1097,tanh,HiFi4,Float16_b,1,1,1,2,2,2,1,r,2,Float16_b,1,1,1,2,2,2,1,r,2,0,127,47.202117919921875,225617,9.475487162931676,N/A,9.447275718398512,9.44042337235226,N/A,9.44042337235226
2040,tanh,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,49.1674690246582,433197,9.85485484318494,N/A,9.840262434315754,9.833493768424066,N/A,9.833493768424066
2202,tanh,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,49.385555267333984,862568,9.890033005308227,N/A,9.882425011895451,9.87711113790449,N/A,9.87711113790449
1945,tanh,HiFi4,Float16_b,1,1,1,2,2,4,1,r,2,Float16_b,1,1,1,2,2,4,1,r,2,0,127,48.993412017822266,434736,9.820051533337516,N/A,9.80499324923097,9.798682418755291,N/A,9.798682418755291
1949,tanh,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,49.489288330078125,860760,9.910870263590468,N/A,9.90325339456635,9.897857707142526,N/A,9.897857707142526
560,tanh,HiFi4,Float16_b,1,1,1,2,2,8,1,r,2,Float16_b,1,1,1,2,2,8,1,r,2,0,127,49.118995666503906,867249,9.836083123205869,N/A,9.828569302464025,9.823799162639565,N/A,9.823799162639565
