Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
2199,square,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,40.777130126953125,130583,8.222303496253181,N/A,8.169791626396567,8.155426050864202,N/A,8.155426050864202
2005,square,HiFi4,Float16_b,1,1,1,2,2,1,2,r,2,Float16_b,1,1,1,2,2,1,2,r,2,0,127,47.68399429321289,223337,9.573702760738975,N/A,9.544516356311508,9.53679864957441,N/A,9.53679864957441
1997,square,HiFi4,Float16_b,1,1,1,2,2,1,4,r,2,Float16_b,1,1,1,2,2,1,4,r,2,0,127,49.10795211791992,433722,9.842989487608232,N/A,9.828180771779698,9.821590788569637,N/A,9.821590788569637
1998,square,HiFi4,Float16_b,1,1,1,2,2,1,8,r,2,Float16_b,1,1,1,2,2,1,8,r,2,0,127,49.46653366088867,861156,9.905806527216265,N/A,9.899101563597867,9.893306207005468,N/A,9.893306207005468
1063,square,HiFi4,Float16_b,1,1,1,2,2,2,1,r,2,Float16_b,1,1,1,2,2,2,1,r,2,0,127,47.5364875793457,224030,9.543524991419643,N/A,9.514650530372611,9.507298129714771,N/A,9.507298129714771
2002,square,HiFi4,Float16_b,1,1,1,2,2,2,2,r,2,Float16_b,1,1,1,2,2,2,2,r,2,0,127,49.22212219238281,432716,9.86661064033429,N/A,9.8509730800606,9.844424518621913,N/A,9.844424518621913
1999,square,HiFi4,Float16_b,1,1,1,2,2,2,4,r,2,Float16_b,1,1,1,2,2,2,4,r,2,0,127,49.49164581298828,860719,9.911393191685944,N/A,9.903856743501601,9.898329187574575,N/A,9.898329187574575
1942,square,HiFi4,Float16_b,1,1,1,2,2,4,1,r,2,Float16_b,1,1,1,2,2,4,1,r,2,0,127,49.3407096862793,431676,9.890183433212666,N/A,9.874955608306387,9.868141847126084,N/A,9.868141847126084
1941,square,HiFi4,Float16_b,1,1,1,2,2,4,2,r,2,Float16_b,1,1,1,2,2,4,2,r,2,0,127,49.480262756347656,860917,9.909023026165404,N/A,9.901652555674774,9.896052697298346,N/A,9.896052697298346
628,square,HiFi4,Float16_b,1,1,1,2,2,8,1,r,2,Float16_b,1,1,1,2,2,8,1,r,2,0,127,49.45820236206055,861301,9.904645849200305,N/A,9.897073303805278,9.891640669173727,N/A,9.891640669173727
