Test-ID,quant_type,zero_point,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,dequantization,1,HiFi4,Int8,1,1,1,4,4,1,1,r,2,Float32,1,1,1,4,4,1,1,r,2,Float32,1,1,1,4,4,1,1,r,2,0,127,31.871864318847656,1285146,1.6832751268462125,6.580075495853376,6.575634214542897,1.6828344795066086,6.578352965344015,6.578352965344015
1,dequantization,1,HiFi4,Int8,1,1,1,2,2,1,1,r,2,Float32,1,1,1,2,2,1,1,r,2,Float32,1,1,1,2,2,1,1,r,2,0,127,28.339275360107422,361336,1.4969820261027533,5.851838829310763,5.844923169545428,1.4963136803418424,5.849226204972657,5.849226204972657
2,dequantization,1,HiFi4,Int8,1,1,1,2,4,1,1,r,2,Float32,1,1,1,2,4,1,1,r,2,Float32,1,1,1,2,4,1,1,r,2,0,127,30.52583885192871,670907,1.612240389860384,6.3023942512724105,6.297331547558273,1.6117643727073947,6.300533456947088,6.300533456947088
3,dequantization,1,HiFi4,Int8,1,1,1,2,4,2,1,r,2,Float32,1,1,1,2,4,2,1,r,2,Float32,1,1,1,2,4,2,1,r,2,0,127,36.52166748046875,1121526,1.9288312720284264,7.539976790656576,7.538275994083042,1.9283440597899648,7.5380722337244075,7.5380722337244075
4,dequantization,1,HiFi4,Int8,1,1,1,2,4,2,2,r,2,Float32,1,1,1,2,4,2,2,r,2,Float32,1,1,1,2,4,2,2,r,2,0,127,36.58549118041992,2239139,1.93218420560937,7.553083712836629,7.551397393141253,1.9317139311137004,7.551245367080829,7.551245367080829
5,dequantization,1,HiFi4,Int8,1,1,1,2,2,2,2,r,2,Float32,1,1,1,2,2,2,2,r,2,Float32,1,1,1,2,2,2,2,r,2,0,127,35.75004196166992,1145733,1.8881202319462898,7.38083363397186,7.378717025746044,1.8876020853025968,7.378808151637424,7.378808151637424
6,dequantization,1,HiFi4,Int8,1,1,1,4,2,2,2,r,2,Float32,1,1,1,4,2,2,2,r,2,Float32,1,1,1,4,2,2,2,r,2,0,127,36.492122650146484,2244868,1.927206330758985,7.5336247475123965,7.531899762588042,1.9267841138098099,7.531974263074711,7.531974263074711
7,dequantization,1,HiFi4,Int8,1,1,1,4,4,2,2,r,2,Float32,1,1,1,4,4,2,2,r,2,Float32,1,1,1,4,4,2,2,r,2,0,127,36.70234298706055,4464020,1.9380998863988153,7.5762086468317325,7.575276415855157,1.937883790843231,7.575363909659903,7.575363909659903
8,dequantization,1,HiFi4,Int8,1,1,1,2,2,1,4,r,2,Float32,1,1,1,2,2,1,4,r,2,Float32,1,1,1,2,2,1,4,r,2,0,127,35.61949920654297,1149932,1.8811515937861627,7.353592593891363,7.351717090092562,1.88070946803811,7.351864284148975,7.351864284148975
9,dequantization,1,HiFi4,Int8,1,1,1,4,2,1,4,r,2,Float32,1,1,1,4,2,1,4,r,2,Float32,1,1,1,4,2,1,4,r,2,0,127,36.58248519897461,2239323,1.9319310919799981,7.552094268649084,7.550687052448229,1.9315552066405783,7.550624898685897,7.550624898685897
10,dequantization,1,HiFi4,Int8,1,1,1,2,4,1,4,r,2,Float32,1,1,1,2,4,1,4,r,2,Float32,1,1,1,2,4,1,4,r,2,0,127,36.574989318847656,2239782,1.9315319856606303,7.550534125764282,7.549181843831463,1.9311593717602873,7.5490775441538505,7.5490775441538505
11,dequantization,1,HiFi4,Int8,1,1,1,4,4,1,4,r,2,Float32,1,1,1,4,4,1,4,r,2,Float32,1,1,1,4,4,1,4,r,2,0,127,36.6978645324707,4464565,1.9379117248025042,7.575473106046153,7.5742298537543835,1.937647228789367,7.574439167085707,7.574439167085707
12,dequantization,1,HiFi4,Int8,1,1,1,4,4,1,2,r,2,Float32,1,1,1,4,4,1,2,r,2,Float32,1,1,1,4,4,1,2,r,2,0,127,37.41105651855469,2189727,1.975670927753041,7.723077263034615,7.722423126496041,1.9753037707440242,7.721642012908458,7.721642012908458
13,dequantization,1,HiFi4,Int8,1,1,1,2,4,1,2,r,2,Float32,1,1,1,2,4,1,2,r,2,Float32,1,1,1,2,4,1,2,r,2,0,127,36.55086898803711,1120630,1.9304085917806642,7.546142676960778,7.544330529275319,1.9298858677708075,7.5440993012858835,7.5440993012858835
