Test-ID,quant_type,zero_point,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
14,dequantization,1,HiFi4,Int8,1,1,1,2,2,1,2,r,2,Float32,1,1,1,2,2,1,2,r,2,Float32,1,1,1,2,2,1,2,r,2,0,127,34.79655838012695,588564,1.83796895878302,7.184787747969986,7.182745167886612,1.8372581401512835,7.182009093318653,7.182009093318653
15,dequantization,1,HiFi4,Int8,1,1,1,4,2,1,2,r,2,Float32,1,1,1,4,2,1,2,r,2,Float32,1,1,1,4,2,1,2,r,2,0,127,36.49878692626953,1122229,1.927606248708666,7.535188063133877,7.533502957952793,1.9271360836335543,7.533350145112985,7.533350145112985
16,dequantization,1,HiFi4,Int8,1,1,1,4,2,1,1,r,2,Float32,1,1,1,4,2,1,1,r,2,Float32,1,1,1,4,2,1,1,r,2,0,127,30.49025535583496,671690,1.6104254006565408,6.295299293475569,6.289851768756861,1.6098855126620912,6.293188822224538,6.293188822224538
17,dequantization,1,HiFi4,Int8,1,1,1,4,2,4,1,r,2,Float32,1,1,1,4,2,4,1,r,2,Float32,1,1,1,4,2,4,1,r,2,0,127,36.57288360595703,2239911,1.9314928664656374,7.550381205274765,7.548668918882435,1.9310481532525177,7.5486427808962056,7.5486427808962056
18,dequantization,1,HiFi4,Int8,1,1,1,4,4,4,1,r,2,Float32,1,1,1,4,4,4,1,r,2,Float32,1,1,1,4,4,4,1,r,2,0,127,36.70597839355469,4463578,1.9382832697112526,7.576925508871261,7.575991390853188,1.9380756872625504,7.576114050208151,7.576114050208151
19,dequantization,1,HiFi4,Int8,1,1,1,4,4,2,1,r,2,Float32,1,1,1,4,4,2,1,r,2,Float32,1,1,1,4,4,2,1,r,2,0,127,37.44823455810547,2187553,1.9777240236114844,7.7311030013903475,7.730198160090129,1.9772668365063613,7.729315815433957,7.729315815433957
20,dequantization,1,HiFi4,Int8,1,1,1,4,2,2,1,r,2,Float32,1,1,1,4,2,2,1,r,2,Float32,1,1,1,4,2,2,1,r,2,0,127,36.5078010559082,1121952,1.9281050802316826,7.537138040905668,7.535695772673982,1.927611876443912,7.535210062462565,7.535210062462565
21,dequantization,1,HiFi4,Int8,1,1,1,2,2,2,1,r,2,Float32,1,1,1,2,2,2,1,r,2,Float32,1,1,1,2,2,2,1,r,2,0,127,34.83158874511719,587972,1.839847447628716,7.192130931639526,7.190022543565655,1.8391079847339669,7.1892403039600525,7.1892403039600525
22,dequantization,1,HiFi4,Int8,1,1,1,2,4,4,1,r,2,Float32,1,1,1,2,4,4,1,r,2,Float32,1,1,1,2,4,4,1,r,2,0,127,36.58597946166992,2239109,1.932145929876834,7.552934089518533,7.551410989481891,1.931739812577235,7.551346540074646,7.551346540074646
23,dequantization,1,HiFi4,Int8,1,1,1,2,2,4,1,r,2,Float32,1,1,1,2,2,4,1,r,2,Float32,1,1,1,2,2,4,1,r,2,0,127,35.716434478759766,1146811,1.8862729137126697,7.373612299058618,7.371830228376476,1.8858277431939525,7.371872087030906,7.371872087030906
