input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,2,2,1,1,5928
Bfp8_b,LoFi,1,2,2,1,2,11455
Bfp8_b,LoFi,1,2,2,1,4,23033
Bfp8_b,LoFi,1,2,2,1,8,45683
Bfp8_b,LoFi,1,2,2,2,1,11450
Bfp8_b,LoFi,1,2,2,2,2,23032
Bfp8_b,LoFi,1,2,2,2,4,45696
Bfp8_b,LoFi,1,2,2,4,1,23058
Bfp8_b,LoFi,1,2,2,4,2,45684
Bfp8_b,LoFi,1,2,2,8,1,45718
Bfp8_b,LoFi,1,2,4,1,1,11658
Bfp8_b,LoFi,1,2,4,1,2,22560
Bfp8_b,LoFi,1,2,4,1,4,45632
Bfp8_b,LoFi,1,2,4,1,8,90769
Bfp8_b,LoFi,1,2,4,2,1,22578
Bfp8_b,LoFi,1,2,4,2,2,45639
Bfp8_b,LoFi,1,2,4,2,4,90794
Bfp8_b,LoFi,1,2,4,4,1,45676
Bfp8_b,LoFi,1,2,4,4,2,90743
Bfp8_b,LoFi,1,2,4,8,1,90792
Bfp8_b,LoFi,1,2,8,1,1,23101
Bfp8_b,LoFi,1,2,8,1,2,44662
Bfp8_b,LoFi,1,2,8,1,4,90922
Bfp8_b,LoFi,1,2,8,1,8,180872
Bfp8_b,LoFi,1,2,8,2,1,44718
Bfp8_b,LoFi,1,2,8,2,2,90899
Bfp8_b,LoFi,1,2,8,2,4,180865
Bfp8_b,LoFi,1,2,8,4,1,90956
Bfp8_b,LoFi,1,2,8,4,2,180897
Bfp8_b,LoFi,1,2,8,8,1,180854
Bfp8_b,LoFi,1,4,2,1,1,11608
Bfp8_b,LoFi,1,4,2,1,2,22521
Bfp8_b,LoFi,1,4,2,1,4,45694
Bfp8_b,LoFi,1,4,2,1,8,90711
Bfp8_b,LoFi,1,4,2,2,1,22496
Bfp8_b,LoFi,1,4,2,2,2,45656
Bfp8_b,LoFi,1,4,2,2,4,90781
Bfp8_b,LoFi,1,4,2,4,1,45671
Bfp8_b,LoFi,1,4,2,4,2,90711
Bfp8_b,LoFi,1,4,2,8,1,90764
Bfp8_b,LoFi,1,4,4,1,1,23069
Bfp8_b,LoFi,1,4,4,1,2,44709
Bfp8_b,LoFi,1,4,4,1,4,90917
Bfp8_b,LoFi,1,4,4,1,8,180845
Bfp8_b,LoFi,1,4,4,2,1,44707
Bfp8_b,LoFi,1,4,4,2,2,90904
Bfp8_b,LoFi,1,4,4,2,4,180875
Bfp8_b,LoFi,1,4,4,4,1,90954
Bfp8_b,LoFi,1,4,4,4,2,180960
Bfp8_b,LoFi,1,4,4,8,1,180967
Bfp8_b,LoFi,1,4,8,1,1,45967
Bfp8_b,LoFi,1,4,8,1,2,89135
Bfp8_b,LoFi,1,4,8,1,4,181417
