Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,power,LoFi,Bfp8_b,1,1,1,7,2,1,4,r,2,Bfp8_b,1,1,1,7,2,1,4,r,2,0,127,38.709739685058594,1036969,9.313123326339584,N/A,9.308297423473206,9.305821408354541,N/A,9.305821408354541
1,power,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,14.51739501953125,197501,3.518078943171822,N/A,3.4885223423791065,3.489981721611536,N/A,3.489981721611536
2,power,LoFi,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,0,127,15.822918891906738,362411,3.8205607184257206,N/A,3.8043340787468156,3.803829795453228,N/A,3.803829795453228
3,power,LoFi,Bfp8_b,1,1,1,4,4,1,1,r,2,Bfp8_b,1,1,1,4,4,1,1,r,2,0,127,16.529720306396484,693829,3.9830455692405806,N/A,3.974781184751006,3.9737450005693047,N/A,3.9737450005693047
4,power,LoFi,Bfp8_b,1,1,1,7,4,1,1,r,2,Bfp8_b,1,1,1,7,4,1,1,r,2,0,127,16.84804344177246,1191260,4.056974101694915,N/A,4.052049830968128,4.050269596897403,N/A,4.050269596897403
5,power,LoFi,Bfp8_b,1,1,1,7,7,1,1,r,2,Bfp8_b,1,1,1,7,7,1,1,r,2,0,127,17.00363540649414,2065629,4.09197085582798,N/A,4.08936623901773,4.087673672280937,N/A,4.087673672280937
6,power,LoFi,Bfp8_b,1,1,1,4,7,1,1,r,2,Bfp8_b,1,1,1,4,7,1,1,r,2,0,127,16.85019302368164,1191108,4.056967225479279,N/A,4.0526055303097,4.050786461009413,N/A,4.050786461009413
7,power,LoFi,Bfp8_b,1,1,1,2,7,1,1,r,2,Bfp8_b,1,1,1,2,7,1,1,r,2,0,127,16.432559967041016,610690,3.9613511142886457,N/A,3.9513198277911306,3.9503873978614354,N/A,3.9503873978614354
8,power,LoFi,Bfp8_b,1,1,1,2,4,1,1,r,2,Bfp8_b,1,1,1,2,4,1,1,r,2,0,127,15.81131362915039,362677,3.817628223735625,N/A,3.7997050865349893,3.8010399336048333,N/A,3.8010399336048333
9,power,LoFi,Bfp8_b,1,1,1,7,2,1,1,r,2,Bfp8_b,1,1,1,7,2,1,1,r,2,0,127,16.428470611572266,610842,3.9601320918289686,N/A,3.9508437250866137,3.9494043958994305,N/A,3.9494043958994305
10,power,LoFi,Bfp8_b,1,1,1,7,4,2,1,r,2,Bfp8_b,1,1,1,7,4,2,1,r,2,0,127,27.799589157104492,1443935,6.6905552531339065,N/A,6.6838342455043005,6.683021271733145,N/A,6.683021271733145
11,power,LoFi,Bfp8_b,1,1,1,7,2,2,1,r,2,Bfp8_b,1,1,1,7,2,2,1,r,2,0,127,27.24983024597168,736533,6.563629937054144,N/A,6.550938653748785,6.5508594455374025,N/A,6.5508594455374025
12,power,LoFi,Bfp8_b,1,1,1,7,7,2,1,r,2,Bfp8_b,1,1,1,7,7,2,1,r,2,0,127,27.974376678466797,2511098,6.729496809019089,N/A,6.726052510833545,6.725040026315181,N/A,6.725040026315181
13,power,LoFi,Bfp8_b,1,1,1,7,7,4,1,r,2,Bfp8_b,1,1,1,7,7,4,1,r,2,0,127,39.249752044677734,3579457,9.438028138390365,N/A,9.43652917724303,9.435640411380833,N/A,9.435640411380833
14,power,LoFi,Bfp8_b,1,1,1,7,4,4,1,r,2,Bfp8_b,1,1,1,7,4,4,1,r,2,0,127,39.21995544433594,2046958,9.432639150374126,N/A,9.429958904723469,9.428477106027579,N/A,9.428477106027579
15,power,LoFi,Bfp8_b,1,1,1,7,2,4,1,r,2,Bfp8_b,1,1,1,7,2,4,1,r,2,0,127,38.82257843017578,1033955,9.340488971746716,N/A,9.335507236767693,9.332948068339531,N/A,9.332948068339531
16,power,LoFi,Bfp8_b,1,1,1,7,2,8,1,r,2,Bfp8_b,1,1,1,7,2,8,1,r,2,0,127,39.70321273803711,2022043,9.549967987097089,N/A,9.547039781746822,9.54465193865808,N/A,9.54465193865808
17,power,LoFi,Bfp8_b,1,1,1,7,4,8,1,r,2,Bfp8_b,1,1,1,7,4,8,1,r,2,0,127,39.74472427368164,4039862,9.557305905226594,N/A,9.555915625728273,9.55463163840745,N/A,9.55463163840745
18,power,LoFi,Bfp8_b,1,1,1,2,7,8,1,r,2,Bfp8_b,1,1,1,2,7,8,1,r,2,0,127,39.70317077636719,2022045,9.550020377853073,N/A,9.547087380480162,9.544642498065077,N/A,9.544642498065077
19,power,LoFi,Bfp8_b,1,1,1,2,4,8,1,r,2,Bfp8_b,1,1,1,2,4,8,1,r,2,0,127,39.54329299926758,1160126,9.51517222068596,N/A,9.510342528260102,9.506207153360927,N/A,9.506207153360927
20,power,LoFi,Bfp8_b,1,1,1,2,2,8,1,r,2,Bfp8_b,1,1,1,2,2,8,1,r,2,0,127,38.445587158203125,596625,9.257910103271417,N/A,9.248504584426474,9.242319782107689,N/A,9.242319782107689
21,power,LoFi,Bfp8_b,1,1,1,4,7,8,1,r,2,Bfp8_b,1,1,1,4,7,8,1,r,2,0,127,39.74458694458008,4039876,9.55726774464432,N/A,9.555805946791862,9.55459852728153,N/A,9.55459852728153
22,power,LoFi,Bfp8_b,1,1,1,4,4,8,1,r,2,Bfp8_b,1,1,1,4,4,8,1,r,2,0,127,39.71342468261719,2310312,9.551806174668886,N/A,9.549372082702984,9.547107126656485,N/A,9.547107126656485
23,power,LoFi,Bfp8_b,1,1,1,4,2,8,1,r,2,Bfp8_b,1,1,1,4,2,8,1,r,2,0,127,39.46206283569336,1162514,9.495610888039801,N/A,9.490776332383293,9.486679799125,N/A,9.486679799125
24,power,LoFi,Bfp8_b,1,1,1,7,7,1,2,r,2,Bfp8_b,1,1,1,7,7,1,2,r,2,0,127,27.923015594482422,2515717,6.716858002457391,N/A,6.713935056124757,6.712692468985979,N/A,6.712692468985979
25,power,LoFi,Bfp8_b,1,1,1,7,7,2,2,r,2,Bfp8_b,1,1,1,7,7,2,2,r,2,0,127,39.24992752075195,3579441,9.438094592725841,N/A,9.436584981091972,9.435682588426516,N/A,9.435682588426516
26,power,LoFi,Bfp8_b,1,1,1,7,7,1,4,r,2,Bfp8_b,1,1,1,7,7,1,4,r,2,0,127,39.25004959106445,3579430,9.43812914935013,N/A,9.436600925170037,9.43571158536415,N/A,9.43571158536415
27,power,LoFi,Bfp8_b,1,1,1,4,7,2,4,r,2,Bfp8_b,1,1,1,4,7,2,4,r,2,0,127,39.74465560913086,4039869,9.55727728476132,N/A,9.555879860581065,9.554615082815804,N/A,9.554615082815804
28,power,LoFi,Bfp8_b,1,1,1,2,7,2,4,r,2,Bfp8_b,1,1,1,2,7,2,4,r,2,0,127,39.702857971191406,2022061,9.54988702069575,N/A,9.547039781746822,9.544566973993366,N/A,9.544566973993366
29,power,LoFi,Bfp8_b,1,1,1,4,7,2,2,r,2,Bfp8_b,1,1,1,4,7,2,2,r,2,0,127,39.21918869018555,2046998,9.432615918131104,N/A,9.429907822981516,9.4282928659432,N/A,9.4282928659432
30,power,LoFi,Bfp8_b,1,1,1,4,7,4,2,r,2,Bfp8_b,1,1,1,4,7,4,2,r,2,0,127,39.744834899902344,4039851,9.557351221313848,N/A,9.555851248656055,9.554657654453097,N/A,9.554657654453097
31,power,LoFi,Bfp8_b,1,1,1,4,7,4,1,r,2,Bfp8_b,1,1,1,4,7,4,1,r,2,0,127,39.219417572021484,2046986,9.432639150374126,N/A,9.430005343150942,9.428348137212467,N/A,9.428348137212467
32,power,LoFi,Bfp8_b,1,1,1,4,7,2,1,r,2,Bfp8_b,1,1,1,4,7,2,1,r,2,0,127,27.88560676574707,1439481,6.711241793597498,N/A,6.705070776634641,6.703699680648789,N/A,6.703699680648789
33,power,LoFi,Bfp8_b,1,1,1,4,7,1,8,r,2,Bfp8_b,1,1,1,4,7,1,8,r,2,0,127,39.7447509765625,4039859,9.557310675320805,N/A,9.555937084945105,9.554638733678576,N/A,9.554638733678576
34,power,LoFi,Bfp8_b,1,1,1,4,7,1,4,r,2,Bfp8_b,1,1,1,4,7,1,4,r,2,0,127,39.21866989135742,2047025,9.432420771807733,N/A,9.429828879559752,9.428168507956668,N/A,9.428168507956668
35,power,LoFi,Bfp8_b,1,1,1,4,7,1,2,r,2,Bfp8_b,1,1,1,4,7,1,2,r,2,0,127,27.8116455078125,1443309,6.692472678139925,N/A,6.687377554705142,6.685919868856911,N/A,6.685919868856911
36,power,LoFi,Bfp8_b,1,1,1,2,7,1,8,r,2,Bfp8_b,1,1,1,2,7,1,8,r,2,0,127,39.70256423950195,2022076,9.549829868768446,N/A,9.546920786989928,9.544496171261613,N/A,9.544496171261613
37,power,LoFi,Bfp8_b,1,1,1,2,7,1,4,r,2,Bfp8_b,1,1,1,2,7,1,4,r,2,0,127,38.814544677734375,1034169,9.338539360144665,N/A,9.333550605325932,9.331016806730814,N/A,9.331016806730814
38,power,LoFi,Bfp8_b,1,1,1,2,7,1,2,r,2,Bfp8_b,1,1,1,2,7,1,2,r,2,0,127,27.104398727416992,740485,6.528016407213064,N/A,6.516464534817242,6.515897229518491,N/A,6.515897229518491
39,power,LoFi,Bfp8_b,1,1,1,2,7,4,1,r,2,Bfp8_b,1,1,1,2,7,4,1,r,2,0,127,39.142051696777344,1025516,9.418229292496074,N/A,9.412942204709392,9.409749160422654,N/A,9.409749160422654
40,power,LoFi,Bfp8_b,1,1,1,2,7,2,1,r,2,Bfp8_b,1,1,1,2,7,2,1,r,2,0,127,27.199459075927734,737897,6.551171737297877,N/A,6.539394912985275,6.538750204974407,N/A,6.538750204974407
41,power,LoFi,Bfp8_b,1,1,1,2,7,2,2,r,2,Bfp8_b,1,1,1,2,7,2,2,r,2,0,127,38.637046813964844,1038920,9.29576262086388,N/A,9.290558008379925,9.288345897662957,N/A,9.288345897662957
42,power,LoFi,Bfp8_b,1,1,1,2,7,4,2,r,2,Bfp8_b,1,1,1,2,7,4,2,r,2,0,127,39.702659606933594,2022071,9.549834631402927,N/A,9.54706834092987,9.544519772055482,N/A,9.544519772055482
43,power,LoFi,Bfp8_b,1,1,1,4,2,1,8,r,2,Bfp8_b,1,1,1,4,2,1,8,r,2,0,127,39.4306526184082,1163440,9.487896060293908,N/A,9.483110447833631,9.479129203053015,N/A,9.479129203053015
44,power,LoFi,Bfp8_b,1,1,1,7,2,1,8,r,2,Bfp8_b,1,1,1,7,2,1,8,r,2,0,127,39.702640533447266,2022072,9.54976795495247,N/A,9.54692554672325,9.544515051887371,N/A,9.544515051887371
45,power,LoFi,Bfp8_b,1,1,1,4,4,1,8,r,2,Bfp8_b,1,1,1,4,4,1,8,r,2,0,127,39.713287353515625,2310320,9.551710287985376,N/A,9.549388750346356,9.547074067661622,N/A,9.547074067661622
46,power,LoFi,Bfp8_b,1,1,1,7,4,1,8,r,2,Bfp8_b,1,1,1,7,4,1,8,r,2,0,127,39.74519729614258,4039814,9.557296365052457,N/A,9.555927547503503,9.554745164010026,N/A,9.554745164010026
