input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,2,2,1,1,1509
Bfp8_b,LoFi,1,2,2,1,2,1975
Bfp8_b,LoFi,1,2,2,1,4,3435
Bfp8_b,LoFi,1,2,2,1,8,6506
Bfp8_b,LoFi,1,2,2,2,1,1994
Bfp8_b,LoFi,1,2,2,2,2,3410
Bfp8_b,LoFi,1,2,2,2,4,6492
Bfp8_b,LoFi,1,2,2,4,1,3417
Bfp8_b,LoFi,1,2,2,8,1,6490
Bfp8_b,LoFi,1,2,4,1,1,3057
Bfp8_b,LoFi,1,2,4,1,2,3881
Bfp8_b,LoFi,1,2,4,1,4,6455
Bfp8_b,LoFi,1,2,4,1,8,12402
Bfp8_b,LoFi,1,2,4,2,1,4171
Bfp8_b,LoFi,1,2,4,2,2,6710
Bfp8_b,LoFi,1,2,4,2,4,12403
Bfp8_b,LoFi,1,2,4,4,1,6829
Bfp8_b,LoFi,1,2,4,4,2,12419
Bfp8_b,LoFi,1,2,4,8,1,12405
Bfp8_b,LoFi,1,2,8,1,1,6471
Bfp8_b,LoFi,1,2,8,1,2,8286
Bfp8_b,LoFi,1,2,8,1,4,12869
Bfp8_b,LoFi,1,2,8,1,8,24228
Bfp8_b,LoFi,1,2,8,2,1,8425
Bfp8_b,LoFi,1,2,8,2,2,12788
Bfp8_b,LoFi,1,2,8,2,4,24218
Bfp8_b,LoFi,1,2,8,4,1,12455
Bfp8_b,LoFi,1,2,8,4,2,24250
Bfp8_b,LoFi,1,2,8,8,1,24248
Bfp8_b,LoFi,1,4,2,1,1,3056
Bfp8_b,LoFi,1,4,2,1,2,4154
Bfp8_b,LoFi,1,4,2,1,4,6452
Bfp8_b,LoFi,1,4,2,1,8,12413
Bfp8_b,LoFi,1,4,2,2,1,4148
Bfp8_b,LoFi,1,4,2,2,2,6464
Bfp8_b,LoFi,1,4,2,2,4,12416
Bfp8_b,LoFi,1,4,2,4,1,6452
Bfp8_b,LoFi,1,4,2,4,2,12409
Bfp8_b,LoFi,1,4,2,8,1,12409
Bfp8_b,LoFi,1,4,4,1,1,6498
Bfp8_b,LoFi,1,4,4,1,2,8262
Bfp8_b,LoFi,1,4,4,1,4,12570
Bfp8_b,LoFi,1,4,4,1,8,24281
Bfp8_b,LoFi,1,4,4,2,1,7978
Bfp8_b,LoFi,1,4,4,2,2,13034
Bfp8_b,LoFi,1,4,4,2,4,24242
Bfp8_b,LoFi,1,4,4,4,1,12854
Bfp8_b,LoFi,1,4,4,4,2,24227
