Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,sigmoid,HiFi4,Float16_b,1,1,1,7,2,1,2,r,2,Float16_b,1,1,1,7,2,1,2,r,2,0,127,34.72526931762695,743113,12.074442472155184,N/A,12.060487082267876,12.058157292363342,N/A,12.058157292363342
1,sigmoid,LoFi,Bfp8_b,1,1,1,2,7,1,1,r,2,Bfp8_b,1,1,1,2,7,1,1,r,2,0,127,21.096935272216797,611577,3.9554726509568034,N/A,3.945262977455308,3.9446579580330847,N/A,3.9446579580330847
2,sigmoid,LoFi,Bfp8_b,1,1,1,4,7,1,1,r,2,Bfp8_b,1,1,1,4,7,1,1,r,2,0,127,21.68279266357422,1190105,4.060239497697724,N/A,4.055417233892412,4.054200394082875,N/A,4.054200394082875
3,sigmoid,LoFi,Bfp8_b,1,1,1,7,7,1,1,r,2,Bfp8_b,1,1,1,7,7,1,1,r,2,0,127,21.845476150512695,2067174,4.088992996002596,N/A,4.086220756796831,4.084618556541442,N/A,4.084618556541442
4,sigmoid,HiFi4,Float16_b,1,1,1,7,7,1,1,r,2,Float16_b,1,1,1,7,7,1,1,r,2,0,127,22.129234313964844,2040667,7.691913850145449,N/A,7.686555665232955,7.684253981663838,N/A,7.684253981663838
5,sigmoid,HiFi4,Float16_b,1,1,1,7,4,1,1,r,2,Float16_b,1,1,1,7,4,1,1,r,2,0,127,21.852344512939453,1180871,7.599387437965101,N/A,7.589883102791515,7.588105254511289,N/A,7.588105254511289
6,sigmoid,LoFi,Bfp8_b,1,1,1,7,4,1,1,r,2,Bfp8_b,1,1,1,7,4,1,1,r,2,0,127,21.683794021606445,1190050,4.0610558069381595,N/A,4.055977293715951,4.054387765219949,N/A,4.054387765219949
7,sigmoid,HiFi4,Float16_b,1,1,1,4,4,1,1,r,2,Float16_b,1,1,1,4,4,1,1,r,2,0,127,21.35771369934082,690411,7.432787497329927,N/A,7.417410117108738,7.416347190296794,N/A,7.416347190296794
8,sigmoid,HiFi4,Float16_b,1,1,1,4,7,1,1,r,2,Float16_b,1,1,1,4,7,1,1,r,2,0,127,21.886354446411133,1179036,7.611840629045404,N/A,7.602064619399501,7.599915049243619,N/A,7.599915049243619
9,sigmoid,HiFi4,Float16_b,1,1,1,4,2,1,1,r,2,Float16_b,1,1,1,4,2,1,1,r,2,0,127,20.37760353088379,361809,7.10745720409408,N/A,7.075287268918914,7.07600927561227,N/A,7.07600927561227
10,sigmoid,HiFi4,Float16_b,1,1,1,2,7,1,1,r,2,Float16_b,1,1,1,2,7,1,1,r,2,0,127,21.667953491210938,595460,7.543867847360579,N/A,7.526458558026213,7.524076713801095,N/A,7.524076713801095
11,sigmoid,HiFi4,Float16_b,1,1,1,2,2,1,1,r,2,Float16_b,1,1,1,2,2,1,1,r,2,0,127,20.352346420288086,181129,7.132202811143493,N/A,7.067078868004317,7.067238929160985,N/A,7.067238929160985
