Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,subtract,LoFi,Bfp8_b,1,1,1,2,2,4,2,r,2,Bfp8_b,1,1,1,2,2,4,2,r,2,Bfp8_b,1,1,1,2,2,4,2,r,2,0,127,15.543596267700195,421627,13.071103147412831,13.071103147412831,13.072040063459296,13.07838217191973,13.07838217191973,13.07838217191973
1,subtract,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,4.125933647155762,198549,3.500270854019306,3.500270854019306,3.469250693708181,3.4715605719494937,3.4715605719494937,3.4715605719494937
2,subtract,LoFi,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,0,127,4.4088640213012695,371615,3.7255704063649953,3.7255704063649953,3.7072127193041893,3.709618180105754,3.709618180105754,3.709618180105754
3,subtract,LoFi,Bfp8_b,1,1,1,8,2,1,1,r,2,Bfp8_b,1,1,1,8,2,1,1,r,2,Bfp8_b,1,1,1,8,2,1,1,r,2,0,127,4.55019474029541,720145,3.837443088404455,3.837443088404455,3.8278956338733736,3.8285338647078015,3.8285338647078015,3.8285338647078015
4,subtract,LoFi,Bfp8_b,1,1,1,8,2,1,8,r,2,Bfp8_b,1,1,1,8,2,1,8,r,2,Bfp8_b,1,1,1,8,2,1,8,r,2,0,127,17.78359031677246,1474078,14.968596618664783,14.968596618664783,14.966559482979706,14.963113322361501,14.963113322361501,14.963113322361501
5,subtract,LoFi,Bfp8_b,1,1,1,2,2,1,8,r,2,Bfp8_b,1,1,1,2,2,1,8,r,2,Bfp8_b,1,1,1,2,2,1,8,r,2,0,127,15.872661590576172,412886,13.376002347044802,13.376002347044802,13.352595926216985,13.355257964668214,13.355257964668214,13.355257964668214
6,subtract,LoFi,Bfp8_b,1,1,1,4,2,1,8,r,2,Bfp8_b,1,1,1,4,2,1,8,r,2,Bfp8_b,1,1,1,4,2,1,8,r,2,0,127,17.40435218811035,753099,14.654463433612388,14.654463433612388,14.647950469535417,14.644021675769055,14.644021675769055,14.644021675769055
7,subtract,LoFi,Bfp8_b,1,1,1,8,2,1,4,r,2,Bfp8_b,1,1,1,8,2,1,4,r,2,Bfp8_b,1,1,1,8,2,1,4,r,2,0,127,13.596539497375488,964010,11.45453117214292,11.45453117214292,11.44205036400026,11.4401282974243,11.4401282974243,11.4401282974243
8,subtract,LoFi,Bfp8_b,1,1,1,4,2,1,4,r,2,Bfp8_b,1,1,1,4,2,1,4,r,2,Bfp8_b,1,1,1,4,2,1,4,r,2,0,127,12.999667167663574,504136,10.95964263250041,10.95964263250041,10.936464266867095,10.937919608994397,10.937919608994397,10.937919608994397
9,subtract,LoFi,Bfp8_b,1,1,1,2,2,1,4,r,2,Bfp8_b,1,1,1,2,2,1,4,r,2,Bfp8_b,1,1,1,2,2,1,4,r,2,0,127,12.556184768676758,260971,10.60676786593617,10.60676786593617,10.567841240530486,10.564773557215169,10.564773557215169,10.564773557215169
10,subtract,LoFi,Bfp8_b,1,1,1,4,2,1,2,r,2,Bfp8_b,1,1,1,4,2,1,2,r,2,Bfp8_b,1,1,1,4,2,1,2,r,2,0,127,7.345454216003418,446099,6.198430837625274,6.198430837625274,6.183299420674441,6.180465591718431,6.180465591718431,6.180465591718431
11,subtract,LoFi,Bfp8_b,1,1,1,8,2,1,2,r,2,Bfp8_b,1,1,1,8,2,1,2,r,2,Bfp8_b,1,1,1,8,2,1,2,r,2,0,127,7.712576389312744,849729,6.500561238917444,6.500561238917444,6.491051845418813,6.489361949515669,6.489361949515669,6.489361949515669
12,subtract,LoFi,Bfp8_b,1,1,1,2,2,1,2,r,2,Bfp8_b,1,1,1,2,2,1,2,r,2,Bfp8_b,1,1,1,2,2,1,2,r,2,0,127,7.171213626861572,228469,6.071519811077867,6.071519811077867,6.036257976821981,6.033859123119547,6.033859123119547,6.033859123119547
13,subtract,LoFi,Bfp8_b,1,1,1,2,2,2,4,r,2,Bfp8_b,1,1,1,2,2,2,4,r,2,Bfp8_b,1,1,1,2,2,2,4,r,2,0,127,15.389275550842285,425855,12.935831447736456,12.935831447736456,12.949394934911243,12.948536567611042,12.948536567611042,12.948536567611042
14,subtract,LoFi,Bfp8_b,1,1,1,2,2,2,2,r,2,Bfp8_b,1,1,1,2,2,2,2,r,2,Bfp8_b,1,1,1,2,2,2,2,r,2,0,127,12.557387351989746,260946,10.593746824462482,10.593746824462482,10.579489194499017,10.565785718117924,10.565785718117924,10.565785718117924
15,subtract,LoFi,Bfp8_b,1,1,1,2,2,2,1,r,2,Bfp8_b,1,1,1,2,2,2,1,r,2,Bfp8_b,1,1,1,2,2,2,1,r,2,0,127,6.741138458251953,243045,5.703788292007573,5.703788292007573,5.666852443394858,5.671993910592689,5.671993910592689,5.671993910592689
16,subtract,LoFi,Bfp8_b,1,1,1,2,4,2,1,r,2,Bfp8_b,1,1,1,2,4,2,1,r,2,Bfp8_b,1,1,1,2,4,2,1,r,2,0,127,7.342985153198242,446249,6.196633617164901,6.196633617164901,6.177155928291908,6.178388119637242,6.178388119637242,6.178388119637242
17,subtract,LoFi,Bfp8_b,1,1,1,2,8,2,1,r,2,Bfp8_b,1,1,1,2,8,2,1,r,2,Bfp8_b,1,1,1,2,8,2,1,r,2,0,127,7.705575942993164,850501,6.494079797929441,6.494079797929441,6.482898909981977,6.483471553825334,6.483471553825334,6.483471553825334
18,subtract,LoFi,Bfp8_b,1,1,1,2,8,8,1,r,2,Bfp8_b,1,1,1,2,8,8,1,r,2,Bfp8_b,1,1,1,2,8,8,1,r,2,0,127,17.78917694091797,1473615,14.969047115491163,14.969047115491163,14.968780909543586,14.967814632722929,14.967814632722929,14.967814632722929
