input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,4,4,2,4,117496
Bfp8_b,LoFi,1,4,4,4,1,59137
Bfp8_b,LoFi,1,4,4,4,2,117493
Bfp8_b,LoFi,1,4,4,8,1,117488
Bfp8_b,LoFi,1,4,8,1,1,30157
Bfp8_b,LoFi,1,4,8,1,2,59582
Bfp8_b,LoFi,1,4,8,1,4,117874
Bfp8_b,LoFi,1,4,8,2,1,59572
Bfp8_b,LoFi,1,4,8,2,2,117892
Bfp8_b,LoFi,1,4,8,4,1,117840
Bfp8_b,LoFi,1,8,2,1,1,15177
Bfp8_b,LoFi,1,8,2,1,2,29924
Bfp8_b,LoFi,1,8,2,1,4,59163
Bfp8_b,LoFi,1,8,2,1,8,117509
Bfp8_b,LoFi,1,8,2,2,1,29916
Bfp8_b,LoFi,1,8,2,2,2,59160
Bfp8_b,LoFi,1,8,2,2,4,117469
Bfp8_b,LoFi,1,8,2,4,1,59140
Bfp8_b,LoFi,1,8,2,4,2,117459
Bfp8_b,LoFi,1,8,2,8,1,117516
Bfp8_b,LoFi,1,8,4,1,1,30151
Bfp8_b,LoFi,1,8,4,1,2,59570
Bfp8_b,LoFi,1,8,4,1,4,117861
Bfp8_b,LoFi,1,8,4,2,1,59576
Bfp8_b,LoFi,1,8,4,2,2,117890
Bfp8_b,LoFi,1,8,4,4,1,117845
Bfp8_b,LoFi,1,8,8,1,1,60105
Bfp8_b,LoFi,1,8,8,1,2,118878
Bfp8_b,LoFi,1,8,8,2,1,118857
Bfp8_b,LoFi,1,2,2,1,1,3949
Bfp8_b,LoFi,1,2,2,1,2,7670
Bfp8_b,LoFi,1,2,2,1,4,15064
Bfp8_b,LoFi,1,2,2,1,8,29786
Bfp8_b,LoFi,1,2,2,2,1,7676
Bfp8_b,LoFi,1,2,2,2,2,15049
Bfp8_b,LoFi,1,2,2,2,4,29773
Bfp8_b,LoFi,1,2,2,4,1,15074
Bfp8_b,LoFi,1,2,2,4,2,29772
Bfp8_b,LoFi,1,2,2,8,1,29792
Bfp8_b,LoFi,1,2,4,1,1,7696
Bfp8_b,LoFi,1,2,4,1,2,15083
Bfp8_b,LoFi,1,2,4,1,4,29751
Bfp8_b,LoFi,1,2,4,1,8,59016
Bfp8_b,LoFi,1,2,4,2,1,15099
Bfp8_b,LoFi,1,2,4,2,2,29751
Bfp8_b,LoFi,1,2,4,2,4,59010
Bfp8_b,LoFi,1,2,4,4,1,29758
Bfp8_b,LoFi,1,2,4,4,2,59010
Bfp8_b,LoFi,1,2,4,8,1,59012
Bfp8_b,LoFi,1,2,8,1,1,15183
Bfp8_b,LoFi,1,2,8,1,2,29911
Bfp8_b,LoFi,1,2,8,1,4,59116
Bfp8_b,LoFi,1,2,8,2,1,29938
Bfp8_b,LoFi,1,2,8,2,2,59126
Bfp8_b,LoFi,1,2,8,2,4,117458
Bfp8_b,LoFi,1,2,8,4,1,59106
Bfp8_b,LoFi,1,2,8,4,2,117463
Bfp8_b,LoFi,1,2,8,8,1,117481
Bfp8_b,LoFi,1,4,2,1,1,7696
Bfp8_b,LoFi,1,4,2,1,2,15093
Bfp8_b,LoFi,1,4,2,1,4,29757
Bfp8_b,LoFi,1,4,2,1,8,59003
Bfp8_b,LoFi,1,4,2,2,1,15099
Bfp8_b,LoFi,1,4,2,2,2,29757
Bfp8_b,LoFi,1,4,2,2,4,59001
Bfp8_b,LoFi,1,4,2,4,1,29739
Bfp8_b,LoFi,1,4,2,4,2,58998
Bfp8_b,LoFi,1,4,2,8,1,59010
Bfp8_b,LoFi,1,4,4,1,1,15175
Bfp8_b,LoFi,1,4,4,1,2,29929
Bfp8_b,LoFi,1,4,4,1,4,59103
Bfp8_b,LoFi,1,4,4,1,8,117482
Bfp8_b,LoFi,1,4,4,2,1,29924
Bfp8_b,LoFi,1,4,4,2,2,59114
Bfp8_b,LoFi,1,4,4,2,4,117471
Bfp8_b,LoFi,1,4,4,4,1,59122
Bfp8_b,LoFi,1,4,4,4,2,117484
Bfp8_b,LoFi,1,4,4,8,1,117457
Bfp8_b,LoFi,1,4,8,1,1,30153
Bfp8_b,LoFi,1,4,8,1,2,59564
Bfp8_b,LoFi,1,4,8,1,4,117861
