input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,2,2,1,1,12874
Bfp8_b,LoFi,1,2,2,1,2,25010
Bfp8_b,LoFi,1,2,2,1,4,50175
Bfp8_b,LoFi,1,2,2,1,8,100190
Bfp8_b,LoFi,1,2,2,2,1,24999
Bfp8_b,LoFi,1,2,2,2,2,50263
Bfp8_b,LoFi,1,2,2,2,4,100041
Bfp8_b,LoFi,1,2,2,4,1,50236
Bfp8_b,LoFi,1,2,2,4,2,100238
Bfp8_b,LoFi,1,2,2,8,1,100117
Bfp8_b,LoFi,1,2,4,1,1,25408
Bfp8_b,LoFi,1,2,4,1,2,49748
Bfp8_b,LoFi,1,2,4,1,4,100164
Bfp8_b,LoFi,1,2,4,1,8,199906
Bfp8_b,LoFi,1,2,4,2,1,49766
Bfp8_b,LoFi,1,2,4,2,2,100125
Bfp8_b,LoFi,1,2,4,2,4,199901
Bfp8_b,LoFi,1,2,4,4,1,100298
Bfp8_b,LoFi,1,2,4,4,2,199993
Bfp8_b,LoFi,1,2,4,8,1,199745
Bfp8_b,LoFi,1,2,8,1,1,50551
Bfp8_b,LoFi,1,2,8,1,2,99446
Bfp8_b,LoFi,1,2,8,1,4,199626
Bfp8_b,LoFi,1,2,8,1,8,399109
Bfp8_b,LoFi,1,2,8,2,1,99488
Bfp8_b,LoFi,1,2,8,2,2,199747
Bfp8_b,LoFi,1,2,8,2,4,398898
Bfp8_b,LoFi,1,2,8,4,1,199765
Bfp8_b,LoFi,1,2,8,4,2,399214
Bfp8_b,LoFi,1,2,8,8,1,398950
Bfp8_b,LoFi,1,4,2,1,1,25414
Bfp8_b,LoFi,1,4,2,1,2,49799
Bfp8_b,LoFi,1,4,2,1,4,100282
Bfp8_b,LoFi,1,4,2,1,8,199895
Bfp8_b,LoFi,1,4,2,2,1,49726
Bfp8_b,LoFi,1,4,2,2,2,100167
Bfp8_b,LoFi,1,4,2,2,4,199598
Bfp8_b,LoFi,1,4,2,4,1,100247
Bfp8_b,LoFi,1,4,2,4,2,199861
Bfp8_b,LoFi,1,4,2,8,1,199621
Bfp8_b,LoFi,1,4,4,1,1,50538
Bfp8_b,LoFi,1,4,4,1,2,99374
Bfp8_b,LoFi,1,4,4,1,4,200155
Bfp8_b,LoFi,1,4,4,1,8,398885
Bfp8_b,LoFi,1,4,4,2,1,99263
Bfp8_b,LoFi,1,4,4,2,2,200068
Bfp8_b,LoFi,1,4,4,2,4,398849
Bfp8_b,LoFi,1,4,4,4,1,199987
Bfp8_b,LoFi,1,4,4,4,2,399099
Bfp8_b,LoFi,1,4,4,8,1,398971
Bfp8_b,LoFi,1,4,8,1,1,100853
Bfp8_b,LoFi,1,4,8,1,2,198429
Bfp8_b,LoFi,1,4,8,1,4,399415
Bfp8_b,LoFi,1,4,8,2,1,198585
Bfp8_b,LoFi,1,4,8,2,2,399392
Bfp8_b,LoFi,1,4,8,4,1,399592
Bfp8_b,LoFi,1,8,2,1,1,50579
Bfp8_b,LoFi,1,8,2,1,2,99403
Bfp8_b,LoFi,1,8,2,1,4,199905
Bfp8_b,LoFi,1,8,2,1,8,399059
Bfp8_b,LoFi,1,8,2,2,1,99221
Bfp8_b,LoFi,1,8,2,2,2,199804
Bfp8_b,LoFi,1,8,2,2,4,398996
Bfp8_b,LoFi,1,8,2,4,1,199856
Bfp8_b,LoFi,1,8,2,4,2,398803
Bfp8_b,LoFi,1,8,2,8,1,399117
Bfp8_b,LoFi,1,8,4,1,1,100853
Bfp8_b,LoFi,1,8,4,1,2,198458
Bfp8_b,LoFi,1,8,4,1,4,399465
Bfp8_b,LoFi,1,8,4,2,1,198526
Bfp8_b,LoFi,1,8,4,2,2,399303
Bfp8_b,LoFi,1,8,4,4,1,399565
Bfp8_b,LoFi,1,8,8,1,1,201618
Bfp8_b,LoFi,1,8,8,1,2,396697
Bfp8_b,LoFi,1,8,8,2,1,396662
Bfp8_b,LoFi,1,2,2,1,1,12796
Bfp8_b,LoFi,1,2,2,1,2,25017
Bfp8_b,LoFi,1,2,2,1,4,50186
Bfp8_b,LoFi,1,2,2,1,8,100151
Bfp8_b,LoFi,1,2,2,2,1,25027
Bfp8_b,LoFi,1,2,2,2,2,50211
Bfp8_b,LoFi,1,2,2,2,4,100143
Bfp8_b,LoFi,1,2,2,4,1,50293
Bfp8_b,LoFi,1,2,2,4,2,100059
Bfp8_b,LoFi,1,2,2,8,1,100110
Bfp8_b,LoFi,1,2,4,1,1,25373
Bfp8_b,LoFi,1,2,4,1,2,49781
Bfp8_b,LoFi,1,2,4,1,4,100090
Bfp8_b,LoFi,1,2,4,1,8,199740
Bfp8_b,LoFi,1,2,4,2,1,49675
Bfp8_b,LoFi,1,2,4,2,2,100138
Bfp8_b,LoFi,1,2,4,2,4,199737
Bfp8_b,LoFi,1,2,4,4,1,100053
Bfp8_b,LoFi,1,2,4,4,2,199601
