Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
127,gelu_derivative,HiFi4,Float16_b,1,1,1,7,7,1,2,r,2,Float16_b,1,1,1,7,7,1,2,r,2,0,127,43.519493103027344,10376591,3.023646028190063,N/A,3.0224545169860497,3.022380571808217,N/A,3.022380571808217
128,gelu_derivative,HiFi4,Float16_b,1,1,1,4,7,1,2,r,2,Float16_b,1,1,1,4,7,1,2,r,2,0,127,43.49418640136719,5932931,3.0228756383886077,N/A,3.0207649725133074,3.020622838863287,N/A,3.020622838863287
129,gelu_derivative,HiFi4,Float16_b,1,1,1,2,7,1,2,r,2,Float16_b,1,1,1,2,7,1,2,r,2,0,127,43.43243408203125,2970683,3.020764459327958,N/A,3.016569358841901,3.0163344389152256,N/A,3.0163344389152256
130,gelu_derivative,HiFi4,Float16_b,1,1,1,4,7,1,4,r,2,Float16_b,1,1,1,4,7,1,4,r,2,0,127,43.59049606323242,11839645,3.028448635100999,N/A,3.0274331087364628,3.0273115249654867,N/A,3.0273115249654867
131,gelu_derivative,HiFi4,Float16_b,1,1,1,2,7,1,8,r,2,Float16_b,1,1,1,2,7,1,8,r,2,0,127,43.70884704589844,11807586,3.036742907148561,N/A,3.035703412660053,3.0355310357256764,N/A,3.0355310357256764
132,gelu_derivative,HiFi4,Float16_b,1,1,1,2,7,1,4,r,2,Float16_b,1,1,1,2,7,1,4,r,2,0,127,43.57155990600586,5922395,3.0282936452991476,N/A,3.0262269126683057,3.0259965571360907,N/A,3.0259965571360907
133,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,4,2,r,2,Bfp8_b,1,1,1,4,4,4,2,r,2,0,127,43.7122802734375,13493324,1.6352134869442065,N/A,1.6347134204623648,1.6346451148731032,N/A,1.6346451148731032
134,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,4,2,r,2,Bfp8_b,1,1,1,2,4,4,2,r,2,0,127,43.69565963745117,6749229,1.6351440896329912,N/A,1.634163383202953,1.634023394375861,N/A,1.634023394375861
135,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,4,1,r,2,Bfp8_b,1,1,1,4,4,4,1,r,2,0,127,43.57725143432617,6767568,1.6306784276024826,N/A,1.6296824377920802,1.6295954588117916,N/A,1.6295954588117916
136,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,4,1,r,2,Bfp8_b,1,1,1,2,4,4,1,r,2,0,127,43.54520797729492,3386274,1.630550369525735,N/A,1.6285870655918406,1.628397182271724,N/A,1.628397182271724
137,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,4,1,r,2,Bfp8_b,1,1,1,4,7,4,1,r,2,0,127,43.59148025512695,11839378,1.6307397734702052,N/A,1.6301852940122334,1.6301275827159163,N/A,1.6301275827159163
138,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,4,1,r,2,Bfp8_b,1,1,1,2,7,4,1,r,2,0,127,43.573143005371094,5922180,1.6306721439909528,N/A,1.6295486771571848,1.6294419149705006,N/A,1.6294419149705006
139,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,1,4,r,2,Bfp8_b,1,1,1,4,4,1,4,r,2,0,127,43.5770378112793,6767601,1.630681829799099,N/A,1.6296783116174225,1.6295875126207944,N/A,1.6295875126207944
140,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,1,8,r,2,Bfp8_b,1,1,1,4,4,1,8,r,2,0,127,43.71246337890625,13493268,1.6352123872929942,N/A,1.6347175721731784,1.6346518990062302,N/A,1.6346518990062302
