input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,2,2,1,1,1539
Bfp8_b,LoFi,1,2,2,1,2,2729
Bfp8_b,LoFi,1,2,2,1,4,5135
Bfp8_b,LoFi,1,2,2,1,8,9960
Bfp8_b,LoFi,1,2,2,2,1,2734
Bfp8_b,LoFi,1,2,2,2,2,5150
Bfp8_b,LoFi,1,2,2,2,4,9973
Bfp8_b,LoFi,1,2,2,4,1,5171
Bfp8_b,LoFi,1,2,2,4,2,9960
Bfp8_b,LoFi,1,2,2,8,1,10015
Bfp8_b,LoFi,1,2,4,1,1,3226
Bfp8_b,LoFi,1,2,4,1,2,5233
Bfp8_b,LoFi,1,2,4,1,4,9850
Bfp8_b,LoFi,1,2,4,1,8,19313
Bfp8_b,LoFi,1,2,4,2,1,5161
Bfp8_b,LoFi,1,2,4,2,2,9848
Bfp8_b,LoFi,1,2,4,2,4,19261
Bfp8_b,LoFi,1,2,4,4,1,9908
Bfp8_b,LoFi,1,2,4,4,2,19256
Bfp8_b,LoFi,1,2,4,8,1,19282
Bfp8_b,LoFi,1,2,8,1,1,6403
Bfp8_b,LoFi,1,2,8,1,2,10007
Bfp8_b,LoFi,1,2,8,1,4,19218
Bfp8_b,LoFi,1,2,8,1,8,37923
Bfp8_b,LoFi,1,2,8,2,1,9996
Bfp8_b,LoFi,1,2,8,2,2,19263
Bfp8_b,LoFi,1,2,8,2,4,37930
Bfp8_b,LoFi,1,2,8,4,1,19260
Bfp8_b,LoFi,1,2,8,4,2,37935
Bfp8_b,LoFi,1,2,8,8,1,37932
Bfp8_b,LoFi,1,4,2,1,1,3324
Bfp8_b,LoFi,1,4,2,1,2,5146
Bfp8_b,LoFi,1,4,2,1,4,9832
Bfp8_b,LoFi,1,4,2,1,8,19312
Bfp8_b,LoFi,1,4,2,2,1,5208
Bfp8_b,LoFi,1,4,2,2,2,9857
Bfp8_b,LoFi,1,4,2,2,4,19503
Bfp8_b,LoFi,1,4,2,4,1,9829
Bfp8_b,LoFi,1,4,2,4,2,19361
Bfp8_b,LoFi,1,4,2,8,1,19283
Bfp8_b,LoFi,1,4,4,1,1,6355
Bfp8_b,LoFi,1,4,4,1,2,10010
Bfp8_b,LoFi,1,4,4,1,4,19328
Bfp8_b,LoFi,1,4,4,1,8,37965
Bfp8_b,LoFi,1,4,4,2,1,9989
Bfp8_b,LoFi,1,4,4,2,2,19258
Bfp8_b,LoFi,1,4,4,2,4,37922
Bfp8_b,LoFi,1,4,4,4,1,19266
Bfp8_b,LoFi,1,4,4,4,2,37898
Bfp8_b,LoFi,1,4,4,8,1,37909
Bfp8_b,LoFi,1,4,8,1,1,12757
Bfp8_b,LoFi,1,4,8,1,2,19713
Bfp8_b,LoFi,1,4,8,1,4,38020
Bfp8_b,LoFi,1,4,8,2,1,19660
Bfp8_b,LoFi,1,4,8,2,2,38132
Bfp8_b,LoFi,1,4,8,4,1,38054
Bfp8_b,LoFi,1,8,2,1,1,6615
Bfp8_b,LoFi,1,8,2,1,2,9996
Bfp8_b,LoFi,1,8,2,1,4,19232
Bfp8_b,LoFi,1,8,2,1,8,37919
Bfp8_b,LoFi,1,8,2,2,1,9998
Bfp8_b,LoFi,1,8,2,2,2,19249
Bfp8_b,LoFi,1,8,2,2,4,37919
Bfp8_b,LoFi,1,8,2,4,1,19270
Bfp8_b,LoFi,1,8,2,4,2,37916
Bfp8_b,LoFi,1,8,2,8,1,37943
Bfp8_b,LoFi,1,8,4,1,1,12789
Bfp8_b,LoFi,1,8,4,1,2,19720
Bfp8_b,LoFi,1,8,4,1,4,38004
Bfp8_b,LoFi,1,8,4,2,1,19624
Bfp8_b,LoFi,1,8,4,2,2,38043
Bfp8_b,LoFi,1,8,4,4,1,38051
Bfp8_b,LoFi,1,8,8,1,1,25828
Bfp8_b,LoFi,1,8,8,1,2,39030
Bfp8_b,LoFi,1,8,8,2,1,39053
Bfp8_b,LoFi,1,2,2,1,1,1726
Bfp8_b,LoFi,1,2,2,1,2,2745
Bfp8_b,LoFi,1,2,2,1,4,5125
Bfp8_b,LoFi,1,2,2,1,8,9921
Bfp8_b,LoFi,1,2,2,2,1,2736
Bfp8_b,LoFi,1,2,2,2,2,5147
Bfp8_b,LoFi,1,2,2,2,4,9950
Bfp8_b,LoFi,1,2,2,4,1,5129
Bfp8_b,LoFi,1,2,2,4,2,9960
Bfp8_b,LoFi,1,2,2,8,1,9965
Bfp8_b,LoFi,1,2,4,1,1,3101
Bfp8_b,LoFi,1,2,4,1,2,5137
Bfp8_b,LoFi,1,2,4,1,4,9835
Bfp8_b,LoFi,1,2,4,1,8,19274
Bfp8_b,LoFi,1,2,4,2,1,5165
Bfp8_b,LoFi,1,2,4,2,2,9841
Bfp8_b,LoFi,1,2,4,2,4,19255
Bfp8_b,LoFi,1,2,4,4,1,9825
Bfp8_b,LoFi,1,2,4,4,2,19272
Bfp8_b,LoFi,1,2,4,8,1,19310
Bfp8_b,LoFi,1,2,8,1,1,6423
Bfp8_b,LoFi,1,2,8,1,2,9986
Bfp8_b,LoFi,1,2,8,1,4,19208
Bfp8_b,LoFi,1,2,8,1,8,37916
Bfp8_b,LoFi,1,2,8,2,1,9962
Bfp8_b,LoFi,1,2,8,2,2,19228
Bfp8_b,LoFi,1,2,8,2,4,37913
Bfp8_b,LoFi,1,2,8,4,1,19223
Bfp8_b,LoFi,1,2,8,4,2,37911
Bfp8_b,LoFi,1,2,8,8,1,37902
Bfp8_b,LoFi,1,4,2,1,1,3108
Bfp8_b,LoFi,1,4,2,1,2,5183
Bfp8_b,LoFi,1,4,2,1,4,9826
Bfp8_b,LoFi,1,4,2,1,8,19270
Bfp8_b,LoFi,1,4,2,2,1,5179
Bfp8_b,LoFi,1,4,2,2,2,9832
Bfp8_b,LoFi,1,4,2,2,4,19250
Bfp8_b,LoFi,1,4,2,4,1,9815
Bfp8_b,LoFi,1,4,2,4,2,19280
Bfp8_b,LoFi,1,4,2,8,1,19283
Bfp8_b,LoFi,1,4,4,1,1,6359
Bfp8_b,LoFi,1,4,4,1,2,9970
Bfp8_b,LoFi,1,4,4,1,4,19250
Bfp8_b,LoFi,1,4,4,1,8,37919
Bfp8_b,LoFi,1,4,4,2,1,9993
Bfp8_b,LoFi,1,4,4,2,2,19220
Bfp8_b,LoFi,1,4,4,2,4,37912
Bfp8_b,LoFi,1,4,4,4,1,19252
Bfp8_b,LoFi,1,4,4,4,2,37940
Bfp8_b,LoFi,1,4,4,8,1,37903
Bfp8_b,LoFi,1,4,8,1,1,12750
Bfp8_b,LoFi,1,4,8,1,2,19563
Bfp8_b,LoFi,1,4,8,1,4,38017
Bfp8_b,LoFi,1,4,8,2,1,19670
Bfp8_b,LoFi,1,4,8,2,2,38040
Bfp8_b,LoFi,1,4,8,4,1,38013
Bfp8_b,LoFi,1,8,2,1,1,6434
Bfp8_b,LoFi,1,8,2,1,2,9951
Bfp8_b,LoFi,1,8,2,1,4,19232
Bfp8_b,LoFi,1,8,2,1,8,37945
Bfp8_b,LoFi,1,8,2,2,1,9980
Bfp8_b,LoFi,1,8,2,2,2,19205
Bfp8_b,LoFi,1,8,2,2,4,37902
Bfp8_b,LoFi,1,8,2,4,1,19198
Bfp8_b,LoFi,1,8,2,4,2,37912
Bfp8_b,LoFi,1,8,2,8,1,37910
Bfp8_b,LoFi,1,8,4,1,1,12704
Bfp8_b,LoFi,1,8,4,1,2,19624
Bfp8_b,LoFi,1,8,4,1,4,38017
Bfp8_b,LoFi,1,8,4,2,1,19593
Bfp8_b,LoFi,1,8,4,2,2,38012
Bfp8_b,LoFi,1,8,4,4,1,38019
Bfp8_b,LoFi,1,8,8,1,1,25438
Bfp8_b,LoFi,1,8,8,1,2,38812
Bfp8_b,LoFi,1,8,8,2,1,38916
