Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,exp,LoFi,Bfp8_b,1,1,1,8,8,1,1,r,2,Bfp8_b,1,1,1,8,8,1,1,r,2,0,127,29.456693649291992,22025772,0.5005318564690366,N/A,0.500283925115109,0.5002877102332668,N/A,0.5002877102332668
1,exp,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,29.246612548828125,1386499,0.5006619554744713,N/A,0.49672985427136046,0.4967197524123711,N/A,0.4967197524123711
2,exp,LoFi,Bfp8_b,1,1,1,2,4,1,1,r,2,Bfp8_b,1,1,1,2,4,1,1,r,2,0,127,29.35759735107422,2762515,0.5005658645502847,N/A,0.49861464829882984,0.49860467001989134,N/A,0.49860467001989134
3,exp,LoFi,Bfp8_b,1,1,1,2,8,1,1,r,2,Bfp8_b,1,1,1,2,8,1,1,r,2,0,127,29.409717559814453,5515238,0.5004713683385216,N/A,0.49949623187229875,0.499489915031772,N/A,0.499489915031772
4,exp,LoFi,Bfp8_b,1,1,1,2,8,2,1,r,2,Bfp8_b,1,1,1,2,8,2,1,r,2,0,127,29.842397689819336,10870548,0.5074613184473667,N/A,0.506844582226252,0.5068384335361934,N/A,0.5068384335361934
5,exp,LoFi,Bfp8_b,1,1,1,2,8,8,1,r,2,Bfp8_b,1,1,1,2,8,8,1,r,2,0,127,29.720983505249023,43659820,0.5049375874294867,N/A,0.5047819852913255,0.5047763843277412,N/A,0.5047763843277412
6,exp,LoFi,Bfp8_b,1,1,1,2,8,4,1,r,2,Bfp8_b,1,1,1,2,8,4,1,r,2,0,127,29.64096450805664,21888843,0.5037326741810506,N/A,0.5034244159706737,0.5034173364028424,N/A,0.5034173364028424
7,exp,LoFi,Bfp8_b,1,1,1,2,4,2,1,r,2,Bfp8_b,1,1,1,2,4,2,1,r,2,0,127,29.832284927368164,5437116,0.5079136246270716,N/A,0.5066566322121561,0.5066667255213978,N/A,0.5066667255213978
8,exp,LoFi,Bfp8_b,1,1,1,2,2,2,1,r,2,Bfp8_b,1,1,1,2,2,2,1,r,2,0,127,29.812843322753906,2720331,0.5089320760745581,N/A,0.5063694100899514,0.5063365009625667,N/A,0.5063365009625667
9,exp,LoFi,Bfp8_b,1,1,1,2,4,4,1,r,2,Bfp8_b,1,1,1,2,4,4,1,r,2,0,127,29.631256103515625,10948007,0.5038812785051415,N/A,0.5032709379614967,0.5032524659511087,N/A,0.5032524659511087
