input0,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,4,2,4,1,4046
Bfp8_b,LoFi,1,4,2,4,2,6301
Bfp8_b,LoFi,1,4,2,8,1,5771
Bfp8_b,LoFi,1,4,4,1,1,6291
Bfp8_b,LoFi,1,4,4,1,2,6545
Bfp8_b,LoFi,1,4,4,1,4,7354
Bfp8_b,LoFi,1,4,4,1,8,13168
Bfp8_b,LoFi,1,4,4,2,1,6597
Bfp8_b,LoFi,1,4,4,2,2,7420
Bfp8_b,LoFi,1,4,4,2,4,11862
Bfp8_b,LoFi,1,4,4,4,1,8200
Bfp8_b,LoFi,1,4,4,4,2,13347
Bfp8_b,LoFi,1,4,4,8,1,13172
Bfp8_b,LoFi,1,4,8,1,1,12552
Bfp8_b,LoFi,1,4,8,1,2,13090
Bfp8_b,LoFi,1,4,8,1,4,15549
Bfp8_b,LoFi,1,4,8,2,1,13081
Bfp8_b,LoFi,1,4,8,2,2,14629
Bfp8_b,LoFi,1,4,8,4,1,14997
Bfp8_b,LoFi,1,8,2,1,1,6424
Bfp8_b,LoFi,1,8,2,1,2,6508
Bfp8_b,LoFi,1,8,2,1,4,9246
Bfp8_b,LoFi,1,8,2,1,8,12961
Bfp8_b,LoFi,1,8,2,2,1,6665
Bfp8_b,LoFi,1,8,2,2,2,7364
Bfp8_b,LoFi,1,8,2,2,4,13002
Bfp8_b,LoFi,1,8,2,4,1,7703
Bfp8_b,LoFi,1,8,2,4,2,11754
Bfp8_b,LoFi,1,8,2,8,1,12385
Bfp8_b,LoFi,1,8,4,1,1,12625
Bfp8_b,LoFi,1,8,4,1,2,13257
Bfp8_b,LoFi,1,8,4,1,4,18218
Bfp8_b,LoFi,1,8,4,2,1,12949
Bfp8_b,LoFi,1,8,4,2,2,16905
Bfp8_b,LoFi,1,8,4,4,1,14910
Bfp8_b,LoFi,1,8,8,1,1,25562
Bfp8_b,LoFi,1,8,8,1,2,26220
Bfp8_b,LoFi,1,8,8,2,1,26256
Bfp8_b,LoFi,1,2,2,1,1,1303
Bfp8_b,LoFi,1,2,2,1,2,1483
Bfp8_b,LoFi,1,2,2,1,4,1918
Bfp8_b,LoFi,1,2,2,1,8,2952
Bfp8_b,LoFi,1,2,2,2,1,1472
Bfp8_b,LoFi,1,2,2,2,2,1960
Bfp8_b,LoFi,1,2,2,2,4,2969
Bfp8_b,LoFi,1,2,2,4,1,1963
Bfp8_b,LoFi,1,2,2,4,2,2921
