Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
0,multiply,LoFi,Bfp8_b,1,1,1,4,2,1,4,r,2,Bfp8_b,1,1,1,4,2,1,4,r,2,Bfp8_b,1,1,1,4,2,1,4,r,2,0,127,13.792144775390625,475169,11.628037091587657,11.628037091587657,11.608349002459107,11.604711250102595,11.604711250102595,11.604711250102595
1,multiply,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,4.323982238769531,189455,3.6688586081843737,3.6688586081843737,3.6360297096556384,3.6381984112322185,3.6381984112322185,3.6381984112322185
2,multiply,LoFi,Bfp8_b,1,1,1,7,2,1,1,r,2,Bfp8_b,1,1,1,7,2,1,1,r,2,Bfp8_b,1,1,1,7,2,1,1,r,2,0,127,4.74700403213501,604002,4.004729352832623,4.004729352832623,3.996031238835522,3.9941292909626127,3.9941292909626127,3.9941292909626127
3,multiply,LoFi,Bfp8_b,1,1,1,7,4,1,1,r,2,Bfp8_b,1,1,1,7,4,1,1,r,2,Bfp8_b,1,1,1,7,4,1,1,r,2,0,127,4.854497909545898,1181255,4.090981250069433,4.090981250069433,4.0862426806242675,4.084574592276858,4.084574592276858,4.084574592276858
4,multiply,LoFi,Bfp8_b,1,1,1,7,7,1,1,r,2,Bfp8_b,1,1,1,7,7,1,1,r,2,Bfp8_b,1,1,1,7,7,1,1,r,2,0,127,4.869009971618652,2061035,4.100286229307449,4.100286229307449,4.097534734874366,4.096785003651078,4.096785003651078,4.096785003651078
5,multiply,LoFi,Bfp8_b,1,1,1,4,7,1,1,r,2,Bfp8_b,1,1,1,4,7,1,1,r,2,Bfp8_b,1,1,1,4,7,1,1,r,2,0,127,4.848816871643066,1182639,4.08555916650736,4.08555916650736,4.080624432622632,4.0797945611467235,4.0797945611467235,4.0797945611467235
6,multiply,LoFi,Bfp8_b,1,1,1,2,7,1,1,r,2,Bfp8_b,1,1,1,2,7,1,1,r,2,Bfp8_b,1,1,1,2,7,1,1,r,2,0,127,4.75901985168457,602477,4.014980131539441,4.014980131539441,4.00334957342579,4.004239298761613,4.004239298761613,4.004239298761613
7,multiply,LoFi,Bfp8_b,1,1,1,2,4,1,1,r,2,Bfp8_b,1,1,1,2,4,1,1,r,2,Bfp8_b,1,1,1,2,4,1,1,r,2,0,127,4.646335124969482,352622,3.9264979072531334,3.9264979072531334,3.9075516448355163,3.9094264112846053,3.9094264112846053,3.9094264112846053
8,multiply,LoFi,Bfp8_b,1,1,1,4,4,1,1,r,2,Bfp8_b,1,1,1,4,4,1,1,r,2,Bfp8_b,1,1,1,4,4,1,1,r,2,0,127,4.781074047088623,685369,4.032482749369454,4.032482749369454,4.02588945859554,4.022795778624362,4.022795778624362,4.022795778624362
9,multiply,LoFi,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,Bfp8_b,1,1,1,4,2,1,1,r,2,0,127,4.606193542480469,355695,3.892727396917192,3.892727396917192,3.8734904690566476,3.875651218037926,3.875651218037926,3.875651218037926
10,multiply,LoFi,Bfp8_b,1,1,1,7,7,4,1,r,2,Bfp8_b,1,1,1,7,7,4,1,r,2,Bfp8_b,1,1,1,7,7,4,1,r,2,0,127,14.467806816101074,2774491,12.178987566826944,12.178987566826944,12.178390046681168,12.173212715413387,12.173212715413387,12.173212715413387
