Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
1,maximum,LoFi,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,Bfp8_b,1,1,1,2,2,1,1,r,2,0,127,34.44353103637695,166487,4.170976067917347,4.170976067917347,4.143506673694797,4.1401123210821265,4.1401123210821265,4.1401123210821265
5,maximum,LoFi,Bfp8_b,1,1,1,2,2,1,2,r,2,Bfp8_b,1,1,1,2,2,1,2,r,2,Bfp8_b,1,1,1,2,2,1,2,r,2,0,127,38.5625114440918,297408,4.647412048520268,4.647412048520268,4.637642288000542,4.635214116634388,4.635214116634388,4.635214116634388
33,maximum,LoFi,Bfp8_b,1,1,1,2,2,1,4,r,2,Bfp8_b,1,1,1,2,2,1,4,r,2,Bfp8_b,1,1,1,2,2,1,4,r,2,0,127,41.981807708740234,546370,5.056580861014067,5.056580861014067,5.049049145713247,5.046213225469919,5.046213225469919,5.046213225469919
20,maximum,LoFi,Bfp8_b,1,1,1,2,2,1,8,r,2,Bfp8_b,1,1,1,2,2,1,8,r,2,Bfp8_b,1,1,1,2,2,1,8,r,2,0,127,41.95289993286133,1093493,5.0478798721219365,5.0478798721219365,5.044365996680804,5.042738307424007,5.042738307424007,5.042738307424007
10,maximum,LoFi,Bfp8_b,1,1,1,2,2,2,1,r,2,Bfp8_b,1,1,1,2,2,2,1,r,2,Bfp8_b,1,1,1,2,2,2,1,r,2,0,127,38.62016677856445,296964,4.654180385324722,4.654180385324722,4.644839560842589,4.642144367667461,4.642144367667461,4.642144367667461
4,maximum,LoFi,Bfp8_b,1,1,1,2,2,2,2,r,2,Bfp8_b,1,1,1,2,2,2,2,r,2,Bfp8_b,1,1,1,2,2,2,2,r,2,0,127,40.84541320800781,561571,4.918266822964236,4.918266822964236,4.910920802246174,4.909618765926303,4.909618765926303,4.909618765926303
7,maximum,LoFi,Bfp8_b,1,1,1,2,2,2,4,r,2,Bfp8_b,1,1,1,2,2,2,4,r,2,Bfp8_b,1,1,1,2,2,2,4,r,2,0,127,41.942848205566406,1093755,5.04657614205004,5.04657614205004,5.043059432324835,5.041530361004064,5.041530361004064,5.041530361004064
51,maximum,LoFi,Bfp8_b,1,1,1,2,2,4,1,r,2,Bfp8_b,1,1,1,2,2,4,1,r,2,Bfp8_b,1,1,1,2,2,4,1,r,2,0,127,41.967674255371094,546554,5.054329260519076,5.054329260519076,5.047474712435835,5.044514393820189,5.044514393820189,5.044514393820189
6,maximum,LoFi,Bfp8_b,1,1,1,2,2,4,2,r,2,Bfp8_b,1,1,1,2,2,4,2,r,2,Bfp8_b,1,1,1,2,2,4,2,r,2,0,127,41.946067810058594,1093671,5.0470975532581255,5.0470975532581255,5.043403444114944,5.041917578503956,5.041917578503956,5.041917578503956
50,maximum,LoFi,Bfp8_b,1,1,1,2,2,8,1,r,2,Bfp8_b,1,1,1,2,2,8,1,r,2,Bfp8_b,1,1,1,2,2,8,1,r,2,0,127,41.954891204833984,1093441,5.048196593948755,5.048196593948755,5.044263678959121,5.04297812136183,5.04297812136183,5.04297812136183
